;minnesotans;care;#stayhomemn;minnesota;#covid19;health;state;covid19;stay;home;providers;child;together;emergency;work;thank;support;lives;crisis;take;across;safety;order;families;healthy;minnesotas;safe;save;@mnhealth;workers;questions;priority;community;public;supplies;businesses;virus;signed;unprecedented;states;call;spread;top;working;neighbors;students;may;respond;protect;prepare;due;#oneminnesota;prepared;children;team;responders;challenge;mn;still;times;pandemic;legislature;essential;head;taking;access;place;comes;schools;weeks;outbreak;help;educators;ensure;proud;tune;sector;hospitals;important;response;reading;whats;challenges;thanks;facing;plan;professionals;combat;continue;national;clock;morning;guidance;daily;lets;good;strong;food;statewide;launching
minnesotans;0;20;20;12;16;22;12;10;4;4;10;6;8;8;12;14;4;6;12;2;6;10;6;2;6;0;10;4;2;4;4;10;8;8;4;0;2;4;4;2;4;2;10;2;6;4;4;2;4;6;2;2;4;2;2;4;2;2;4;6;2;0;4;2;2;6;2;2;4;4;4;2;2;4;2;2;6;4;2;4;0;2;6;2;2;4;4;4;2;4;2;2;0;0;2;0;4;0;2;2
care;0;0;12;10;10;24;6;6;4;4;14;12;6;6;8;6;12;2;6;2;6;4;2;6;8;2;6;2;0;6;4;2;2;4;4;0;2;2;6;2;4;0;2;4;2;0;4;4;2;2;0;4;2;4;0;4;0;2;2;0;6;4;2;2;2;4;0;0;0;4;2;4;2;2;2;0;6;2;4;2;0;0;4;0;2;0;4;0;2;2;4;0;4;0;2;0;2;4;4;4
#stayhomemn;0;0;0;16;8;14;6;10;12;14;4;2;10;0;8;8;2;10;4;4;8;4;2;4;6;2;6;10;0;2;2;2;2;2;2;2;6;2;4;2;0;4;2;4;6;2;0;0;4;2;0;2;2;0;2;4;6;0;6;2;4;2;2;4;0;0;0;0;0;4;0;2;4;2;0;2;2;2;4;2;0;2;2;2;0;4;2;4;2;2;4;2;0;0;2;2;2;2;0;0
minnesota;0;0;0;0;10;6;12;14;6;2;2;4;2;4;0;8;4;4;2;0;10;0;0;4;6;2;4;4;4;2;0;0;0;2;4;4;4;2;6;6;0;2;0;4;6;2;2;2;2;2;4;4;2;2;0;4;8;0;0;2;2;4;2;0;4;0;0;0;0;0;2;2;2;2;2;0;0;4;0;2;2;0;4;0;2;0;0;0;4;2;2;0;0;2;2;2;0;2;4;4
#covid19;0;0;0;0;0;6;14;2;10;4;4;4;10;8;6;0;6;0;8;6;2;4;6;4;6;2;4;0;10;4;4;6;2;6;0;0;0;6;0;0;2;4;4;4;2;0;4;4;4;4;2;2;4;2;4;0;2;2;6;2;4;2;0;2;2;4;2;2;0;2;4;2;0;4;2;2;0;0;2;0;0;2;0;0;0;0;0;4;0;0;2;2;4;4;4;0;2;2;0;0
health;0;0;0;0;0;0;8;10;2;4;10;6;0;0;6;4;6;2;6;0;6;8;2;4;4;4;6;2;0;2;4;6;2;6;4;2;4;0;2;4;4;2;6;2;4;0;2;2;4;4;2;0;2;0;0;4;0;4;2;0;4;0;2;2;0;4;0;0;0;6;4;6;2;2;2;2;6;2;4;2;0;0;2;0;0;0;4;0;2;2;4;0;4;0;0;0;4;0;0;0
state;0;0;0;0;0;0;0;4;2;0;2;0;2;4;2;0;2;0;2;0;8;4;0;2;2;0;2;0;6;2;0;4;6;6;0;0;2;0;0;0;0;2;4;4;0;0;2;0;2;4;2;0;4;2;0;0;2;0;2;0;0;4;0;2;2;0;0;0;0;2;6;0;0;2;2;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;4;2;0;0
covid19;0;0;0;0;0;0;0;0;4;6;2;2;0;2;6;2;4;2;2;0;6;4;4;4;2;2;2;2;2;4;2;4;2;0;0;4;4;4;6;4;2;4;4;2;4;0;0;0;0;0;8;4;0;2;2;0;2;2;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;4;0;4;2;0;0;2;0;0;2;0;0;2;0;2;6;0;0;0;0;2;0;0;0;2;0;0
stay;0;0;0;0;0;0;0;0;0;18;0;0;4;0;2;0;0;8;2;8;0;2;6;2;2;4;0;8;4;2;2;2;0;0;2;2;2;0;4;0;2;2;2;0;2;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;6;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;2;0;0;0;2;0;0;2;0;2;0;0;2;2;0
home;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;10;2;6;0;2;6;2;0;4;0;10;2;4;2;2;0;0;2;2;2;0;4;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;4;0;2;2;2;2;0;2;0;2;0;0;2;2;0
providers;0;0;0;0;0;0;0;0;0;0;0;10;2;2;2;4;4;0;4;0;2;2;0;6;4;0;6;0;0;2;4;0;0;4;0;0;0;0;0;0;4;0;0;2;0;0;4;2;2;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;0;2;0;2;0;0;0
child;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;6;0;4;0;0;2;0;6;2;0;2;0;0;2;4;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;4;2;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;0;0;0;2;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;2;2;0;0;2;2;2;4;4;2;0;4;4;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;4;0;0;2;0;4;2;2;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;4;4;0;0;0;0;0;2;4;0;4;2;0;2;2;0;6;2;2;0;2;2;2;0;0;0;0;0;0;0;2;2;4;0;2;0;0;2;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;2;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;2;2;4;2;2;0;4;2;0;4;2;2;4;0;0;0;2;2;2;0;2;2;2;2;0;2;2;0;0;0;2;0;2;0;0;0;0;0;4;0;4;0;0;2;0;4;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;2;0;0;2;2;4;2;0;2;2;0;0;2;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;2;4;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;4;0;4;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;2
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;4;4;2;0;0;0;4;2;0;2;0;2;0;0;4;2;2;2;0;0;2;0;0;2;2;2;0;2;2;0;2;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;4;2;2
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;12;0;4;0;0;2;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0
