kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
montana,10,montana,10,montanans,30,montana,29,montana,23,covid19,17,montana,108
state,5,national,7,covid19,26,montanans,27,montanans,20,montanans,16,montanans,99
people,5,public,5,health,23,covid19,20,testing,20,montana,16,covid19,76
future,5,lands,5,montana,20,continue,15,continue,17,continue,14,continue,59
fighting,5,guard,4,state,18,testing,14,covid19,13,mask,10,state,54
continue,4,future,4,public,15,home,13,businesses,10,help,10,health,50
communities,4,leaders,4,spread,14,stay,13,virus,10,distancing,10,testing,45
lives,4,montanas,4,home,14,health,13,social,9,virus,10,virus,41
justice,4,greatest,4,stay,11,virus,12,new,9,social,9,communities,35
hope,4,members,4,care,10,care,12,ensure,8,new,9,home,35
montanans,4,college,4,take,9,state,12,distancing,8,state,9,public,34
money,4,president,4,slow,9,protect,11,health,8,work,9,stay,34
nation,3,support,4,virus,9,together,11,safe,7,testing,9,care,33
history,3,americas,4,social,9,reopen,11,families,7,another,8,social,32
service,3,thanks,3,continue,9,another,10,stay,7,cases,8,spread,31
native,3,families,3,coronavirus,8,communities,10,honor,7,wear,7,distancing,31
women,3,saved,3,healthy,7,phase,9,state,7,together,7,together,30
montanas,3,great,3,help,7,community,9,communities,7,neighbors,7,montanas,30
respect,3,break,3,front,7,spread,9,tribal,7,normal,6,work,28
school,3,agree,3,montanas,7,montanan,8,part,7,safe,6,help,27
democracy,3,tax,3,measures,7,capacity,8,cases,6,communities,6,new,27
tom,3,country,3,distancing,7,workers,8,grants,6,community,6,community,26
family,3,state,3,emergency,6,take,8,thank,6,still,5,protect,26
politics,3,making,3,preparing,6,families,8,hands,6,spread,5,families,26
call,3,values,3,announced,6,neighbors,7,work,6,across,5,thank,25
new,3,protect,3,families,6,help,7,care,6,thank,5,another,25
elections,3,soldiers,3,states,6,montanas,7,masks,6,protect,5,take,25
towns,2,tribe,3,communities,6,across,7,wear,5,isnt,5,ensure,22
federal,2,courses,3,work,6,face,7,montanas,5,wearing,5,businesses,21
hot,2,land,3,friends,6,family,7,ramp,5,big,4,across,21
truly,2,fund,2,family,6,rural,7,drive,5,ensure,4,neighbors,21
difference,2,life,2,together,6,distancing,6,together,5,efforts,4,safe,19
thank,2,home,2,without,6,thank,6,thru,5,healthy,4,family,19
businesses,2,health,2,working,5,supplies,6,phase,5,folks,4,montanan,18
visit,2,air,2,doctors,5,vulnerable,6,take,5,lowest,4,workers,18
general,2,shared,2,students,5,crisis,6,lost,5,program,4,lives,17
honor,2,choosing,2,days,5,economy,6,workers,5,increase,4,friends,17
dark,2,especially,2,thank,5,especially,5,fight,4,ask,4,fight,16
leaders,2,citizen,2,food,5,slow,5,visit,4,montanas,4,phase,16
standing,2,attack,2,ensure,5,begin,5,critical,4,friends,4,national,16
spending,2,announced,2,governors,5,difficult,5,n95,4,safety,4,cases,16
story,2,decisions,2,fight,5,responders,5,remain,4,remain,4,slow,15
citizens,2,honor,2,community,5,public,5,women,4,season,4,states,15
friends,2,hard,2,schools,5,able,5,protect,4,montanan,3,part,15
across,2,services,2,face,4,plan,5,across,4,number,3,healthy,15
link,2,work,2,individuals,4,forward,5,nation,4,support,3,support,15
lisa,2,solutions,2,positive,4,due,5,supply,4,fire,3,mask,15
community,2,benefit,2,businesses,4,reminder,4,mask,4,precautions,3,reopen,15
