;montana;montanans;covid19;continue;testing;virus;state;health;distancing;together;stay;communities;social;care;new;another;protect;help;home;work;spread;neighbors;thank;community;families;montanas;phase;across;mask;reopen;ensure;safe;businesses;take;wear;cases;workers;capacity;public;montanan;part;remain;masks;still;tribal;especially;normal;actions;fight;family;lives;hands;loss;precautions;friends;may;reopening;face;honor;move;curve;healthy;plan;difficult;forward;response;ask;efforts;economic;grants;guard;national;lost;supplies;vulnerable;rural;important;due;ramp;maintain;grateful;support;states;isnt;big;safety;nation;asking;quickly;life;lets;local;slow;supply;responders;cloth;crisis;critical;able;economy
montana;0;28;42;34;12;22;16;14;14;12;8;12;14;10;10;14;14;18;6;12;12;10;14;16;12;6;12;18;4;4;10;10;8;8;0;6;6;6;4;12;4;8;6;2;2;2;4;6;8;12;6;4;8;2;6;2;4;4;2;6;8;4;8;6;6;10;6;6;4;2;8;8;6;0;8;4;4;10;4;0;2;4;6;4;2;6;4;2;4;8;4;6;4;6;2;0;2;6;0;4
montanans;0;0;42;32;4;16;22;12;16;16;16;20;16;10;4;16;18;10;10;6;18;18;12;10;6;4;12;8;8;10;2;8;6;14;10;4;2;2;8;12;10;8;4;4;4;10;4;10;8;8;8;6;8;14;6;4;6;14;6;2;6;6;4;4;2;2;12;2;8;4;2;2;6;0;8;2;4;4;2;8;6;4;2;4;4;6;2;6;2;4;2;4;8;0;2;4;8;0;2;2
covid19;0;0;0;28;10;18;14;14;12;6;2;16;12;8;6;14;14;16;4;12;20;14;14;18;12;10;0;6;6;0;8;6;4;6;2;2;6;2;4;12;4;4;6;4;6;6;4;4;16;12;6;0;14;6;10;2;4;6;4;0;2;4;0;4;0;12;12;4;6;2;6;4;6;2;6;2;4;12;4;4;6;4;2;4;4;8;4;4;2;6;4;2;8;2;2;0;0;0;0;0
continue;0;0;0;0;18;22;14;10;14;10;6;18;12;10;8;12;18;8;4;12;10;8;6;8;2;6;6;10;8;4;10;10;4;8;4;6;4;4;4;6;10;6;4;2;10;0;4;6;4;4;4;8;6;2;4;6;6;4;4;6;6;4;0;4;2;6;8;4;2;0;2;2;4;6;6;2;0;6;6;2;4;6;2;0;2;4;2;0;4;0;4;0;2;4;0;4;4;2;0;0
testing;0;0;0;0;0;18;12;4;6;4;0;6;6;0;16;4;0;10;0;8;4;0;10;12;0;6;4;4;2;2;8;2;0;0;0;16;4;14;2;0;4;4;0;4;16;0;6;2;0;0;0;0;0;2;0;0;4;0;0;2;0;2;2;0;2;2;0;10;0;0;4;4;0;6;0;0;2;0;12;0;2;2;0;2;0;0;2;0;4;0;0;0;0;6;2;0;0;6;0;0
virus;0;0;0;0;0;0;16;4;10;2;6;2;8;8;8;14;12;6;4;4;18;10;8;14;4;0;4;4;4;8;8;2;6;10;2;10;2;6;2;2;8;6;2;8;2;0;4;8;2;2;0;2;6;6;2;4;2;2;0;2;2;0;2;4;0;2;2;4;0;0;2;2;0;2;2;2;2;8;2;4;0;0;2;0;2;4;2;2;4;4;4;0;2;6;0;2;0;6;4;0
state;0;0;0;0;0;0;0;4;4;0;4;12;4;4;4;4;8;8;4;4;6;4;14;6;4;2;6;18;2;8;2;2;2;0;2;2;2;6;4;4;0;4;2;4;8;2;2;6;6;0;2;2;0;4;2;6;2;0;2;4;0;4;0;2;0;0;6;4;0;0;2;0;0;0;0;2;0;0;4;2;2;6;2;0;4;0;2;0;0;0;0;4;2;2;2;0;4;4;2;0
health;0;0;0;0;0;0;0;0;2;0;8;10;2;22;0;2;8;6;8;2;6;2;4;6;6;6;0;0;0;2;8;6;4;2;0;0;18;4;8;2;0;2;8;2;4;4;0;0;6;2;2;0;0;0;2;2;0;6;2;0;2;2;0;0;0;2;2;0;8;2;2;2;2;4;0;4;2;0;2;0;0;0;2;0;0;6;0;0;2;0;0;4;4;0;4;2;4;2;0;2
distancing;0;0;0;0;0;0;0;0;0;8;6;0;38;2;10;2;6;8;4;0;8;4;0;0;2;0;10;0;16;6;4;4;8;4;10;8;0;4;6;0;4;6;4;2;0;4;8;0;0;0;2;10;0;6;0;4;6;4;0;2;6;0;2;6;0;2;2;4;0;0;2;0;0;0;2;0;6;0;2;12;0;0;0;6;4;2;4;2;2;0;8;0;0;0;0;8;0;0;2;0
together;0;0;0;0;0;0;0;0;0;0;2;4;8;4;6;4;0;2;2;12;2;12;2;0;2;2;6;0;0;6;4;2;2;6;0;2;0;2;0;2;2;2;0;2;0;0;4;2;2;2;0;2;2;2;4;2;8;2;0;4;6;4;6;0;2;0;0;2;0;0;4;4;0;0;2;0;0;0;2;2;0;2;0;2;2;2;0;2;0;0;2;0;2;2;2;0;4;2;2;0
stay;0;0;0;0;0;0;0;0;0;0;0;6;6;10;4;0;6;0;28;0;4;2;0;4;2;4;4;2;6;8;4;10;4;4;10;0;10;0;2;0;4;2;6;2;0;0;4;2;0;0;2;8;0;4;0;0;2;2;0;2;2;2;2;2;2;0;0;0;0;2;2;0;0;2;6;6;0;0;0;6;0;0;0;4;4;0;0;2;2;0;2;2;2;0;2;2;0;2;4;4
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;12;2;6;8;4;4;10;8;4;4;2;6;0;0;4;6;2;0;0;2;8;0;2;4;4;0;0;0;8;4;0;0;2;2;4;2;2;2;2;0;2;2;4;4;0;4;2;2;2;0;4;2;2;0;2;2;2;0;2;6;2;0;0;0;2;4;4;0;2;2;0;0;0;0;0;4;4;0;0;0;0;2;0;2
