;wyoming;state;thank;great;students;inspiring;capitol;issues;return;together;signing;help;wonderful;future;game;reported;challenges;cases;drive;conversation;school;process;investment;2020;big;importance;improving;mountain;breakfast;todays;president;diligence;@senatorenzi;officials;experience;underlying;outlook;imagery;healthcare;natural;steps;dedication;deliver;elementary;presidents;@s29perkins;ensure;joining;standard;federation;house;138;significant;congratulations;viewed;morning;incredible;outbreak;ones;#cte;democracytruth;announce;chatting;surrounding;session;plow;happy;migration;#presidentsday;shows;park;coordinating;4th;presenting;george;fish;broadband;university;method;teton;energy;virus;national;card;#coronavirus;roundtable;@ajitpaifcc;inviting;spoke;shape;policy;equally;department;goats;republican;grand;removal;risk;kate;fans
wyoming;0;8;8;4;4;0;2;2;4;2;2;2;2;2;2;4;4;4;2;2;4;2;2;4;2;2;2;2;0;0;2;2;2;2;0;2;0;2;2;0;0;0;2;2;0;2;2;2;2;2;2;0;2;0;2;0;0;2;2;0;0;2;2;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0;2;2;0;2;2;2;2;2;2;2;0;0;2;2;2;2;2;2;2;2;0;0
state;0;0;0;2;4;2;0;0;4;0;2;2;0;4;0;0;2;0;2;2;2;2;2;2;2;2;2;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;2;0;0;0;2;2;2;0;2;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
thank;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0
great;0;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
students;0;0;0;0;0;2;0;0;0;0;2;2;2;4;0;0;0;0;0;2;4;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
inspiring;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
capitol;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
issues;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
return;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
