;states;state;wyoming;wyomings;trade;commerce;constitution;rights;access;international;united;ensure;agreement;great;win;#usmca;ranchers;businesses;america;protect;species;meet;products;farmers;signed;hosting;montanas;help;census;export;1;@potus;ports;ensuring;citizens;invasive;may;foreign;decision;national;contributions;filing;americans;political;millennium;exporters;honor;engage;holocaust;casper;stake;forget;@pedoneryann;young;manage;joint;@jillian4supt;roughshod;case;school;celebrate;@nationalwestern;topics;thank;martin;sole;show;morning;officers;rashly;kemmerer;volunteerism;auschwitz;lands;agricultural;country;computer;code;review;part;bluffs;stand;petroleum;3;embrace;challenged;port;bulk;critical;forests;authority;science;interior;knowledge;proper;#nepa;modernize;ground;manner;legacy
states;0;4;2;4;2;6;6;2;4;0;4;4;0;0;0;0;0;0;2;2;0;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;4;4;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0
state;0;0;6;2;4;4;2;0;0;2;2;2;2;2;2;2;2;2;0;0;0;0;0;2;0;0;0;4;2;2;0;0;0;2;2;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0
wyoming;0;0;0;2;4;0;0;0;0;2;2;2;4;2;2;2;2;2;0;0;0;0;0;2;4;0;0;2;2;2;2;4;0;2;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0
wyomings;0;0;0;0;6;2;2;0;4;0;2;4;4;0;4;4;4;4;2;0;2;2;4;4;2;0;4;2;0;4;0;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0
trade;0;0;0;0;0;4;0;0;2;4;2;2;6;0;4;4;4;4;2;0;0;0;2;4;4;0;2;2;0;4;2;4;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
commerce;0;0;0;0;0;0;4;2;2;2;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
constitution;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2
rights;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
access;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
international;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
