;state;covid19;health;wyoming;help;#covid19wy;cases;social;#slowthespread;distancing;home;confirmed;public;measures;spread;staying;critical;together;information;protect;additional;possible;provide;impacts;states;may;working;facebook;order;wyomings;statewide;close;please;wyomingites;testing;response;number;practicing;travel;issued;support;another;case;facilities;local;whenever;#covid19;county;best;disease;healthcare;economic;visit;steps;officials;residents;continue;necessary;supplies;lady;important;page;take;risk;weeks;facing;stay;practice;care;businesses;officer;understand;federal;impact;conference;office;least;remain;recognize;joined;people;live;department;vulnerable;resident;contact;resources;communities;food;available;proper;website;neighbors;planning;efforts;april;increased;business;lives;lander
state;0;22;20;12;6;10;10;4;4;4;6;8;6;0;8;2;4;2;8;4;10;6;4;2;2;2;6;4;4;0;2;0;4;8;2;2;2;2;6;6;2;4;4;2;2;2;0;8;2;4;4;2;2;2;4;2;4;4;2;4;2;2;2;4;4;0;4;2;2;0;8;2;4;2;0;0;2;2;0;4;2;4;0;4;4;0;2;0;0;2;2;4;0;4;2;0;0;0;0;0
covid19;0;0;14;14;6;10;10;4;8;4;10;8;8;2;10;6;2;0;8;2;10;8;4;4;4;2;4;6;2;2;4;0;2;6;2;4;4;2;2;2;0;0;6;0;0;8;0;6;4;4;0;4;6;0;0;2;0;2;0;2;2;4;2;4;2;2;4;2;2;2;4;4;2;6;4;2;0;0;0;2;0;2;0;4;4;0;4;4;0;2;2;2;2;2;0;2;2;2;2;0
health;0;0;0;14;6;2;4;6;4;6;2;0;14;6;8;2;4;2;8;8;4;4;4;0;2;6;4;0;4;0;4;4;2;4;2;4;2;2;2;6;0;0;6;4;4;2;4;6;2;4;2;0;2;4;8;6;4;4;2;0;0;0;2;4;4;2;0;0;6;2;8;2;4;0;2;2;0;0;0;2;2;0;6;4;4;2;0;2;0;4;6;2;0;2;2;2;2;0;2;4
wyoming;0;0;0;0;8;6;4;6;6;6;6;4;6;6;4;2;2;6;4;6;6;4;0;0;0;6;4;0;2;0;2;4;2;2;4;0;0;0;2;2;4;4;4;2;2;2;2;2;0;4;4;4;4;4;4;4;0;2;2;2;4;0;0;6;0;2;4;2;4;4;0;4;2;0;2;0;2;2;0;4;2;0;4;0;2;2;4;2;2;4;4;0;4;2;2;2;2;2;4;2
help;0;0;0;0;0;8;6;8;12;8;8;6;4;2;4;6;2;10;0;2;0;4;0;2;2;2;2;2;2;2;0;2;0;4;4;0;4;2;0;2;0;6;2;2;0;4;4;0;0;2;2;0;2;2;0;2;0;2;2;4;2;2;2;0;4;0;2;0;2;0;4;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;6;0;2;0;2;0;2;0
#covid19wy;0;0;0;0;0;0;8;10;12;10;6;6;0;4;2;2;4;2;2;2;2;6;2;4;0;0;2;2;4;0;2;6;4;4;2;0;4;2;2;2;2;4;0;2;2;4;0;2;4;0;0;2;2;2;0;0;2;2;0;2;0;2;0;0;0;0;4;4;2;4;0;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;2;0;2;0;0;2;4;0;0;2;0;2;0;0
cases;0;0;0;0;0;0;0;6;10;6;10;16;4;2;2;8;2;2;2;2;2;8;0;4;4;2;4;2;0;0;2;0;2;4;4;0;10;4;2;0;0;2;0;0;0;6;0;2;4;2;0;0;4;2;0;0;2;0;0;2;0;2;2;2;2;2;2;2;0;0;0;2;0;2;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
social;0;0;0;0;0;0;0;0;6;22;8;4;4;8;4;6;4;4;0;0;0;4;0;4;2;2;0;0;2;2;4;2;4;6;8;0;2;8;4;0;2;2;2;0;4;2;2;0;4;4;2;0;0;2;0;0;2;0;2;2;0;0;2;0;2;0;2;4;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;2;2;2;0
#slowthespread;0;0;0;0;0;0;0;0;0;6;10;10;4;4;0;8;0;6;0;0;2;10;0;0;0;0;2;2;2;0;4;4;2;0;4;0;8;2;0;2;0;2;2;0;0;10;4;2;4;2;0;0;2;2;0;0;2;2;2;2;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;0;2;4;4;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;8;4;4;8;4;6;4;4;0;0;0;4;0;4;2;2;0;0;2;2;4;2;4;6;8;0;2;8;2;0;2;2;2;0;2;2;2;0;4;4;2;0;0;2;0;0;2;0;2;2;0;0;2;0;2;0;2;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;2;2;2;2;0
home;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;12;2;2;0;0;4;12;0;2;2;0;2;0;0;0;2;0;0;6;4;0;4;6;2;0;0;0;0;0;0;10;0;2;4;0;0;0;2;2;0;0;0;2;0;2;2;0;2;0;2;0;6;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0
confirmed;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;0;2;2;0;4;6;0;4;2;0;2;2;0;0;2;0;2;2;4;0;8;2;0;0;0;2;2;0;0;6;0;4;4;2;0;0;2;2;0;0;2;0;0;2;0;2;2;2;2;0;0;2;0;0;0;2;0;2;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;2;2;4;0;2;0;0;2;2;2;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;2;0;4;2;2;0;0;2;0;0;2;2;4;2;2;2;0;0;0;0;0;2;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;2;2;0;0;2
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;4;0;0;0;0;0;0;2;0;0;2;2;0;4;0;6;0;2;4;0;0;2;0;2;2;2;0;2;0;2;4;0;0;0;2;2;2;2;2;2;0;0;0;4;0;0;0;0;4;2;2;0;4;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;4;2;0;2;0;0;0;0;0;2;4;4;0
