;#alpolitics;al;state;alabama;thank;economic;proud;great;development;year;new;work;workforce;governor;forward;als;states;local;news;lost;economy;@potus;join;continue;best;excited;facing;hope;bridges;issues;everyone;success;dr;2020;involved;share;part;office;cities;phase;rep;@us_eda;making;grateful;represent;world;congressman;full;major;pleasure;important;able;regional;commission;#alwx;awarded;biggest;#strongstartstrongfinish;award;support;god;challenges;american;county;business;effort;team;companies;@secretarycarson;congratulations;future;national;applaud;members;talk;address;decade;@drakeeileen;enjoyed;supporting;#aledchat;#rebuildal;big;community;strengthen;city;successes;century;technology;education;strong;council;life;word;learn;stay;working;apprenticeship;spread;alabamians
#alpolitics;0;20;18;20;10;16;14;8;10;4;2;6;10;4;8;10;10;6;8;2;8;8;6;2;4;8;2;2;4;4;6;6;4;4;6;6;4;4;6;4;2;4;4;4;6;2;0;4;6;4;4;4;4;2;2;4;4;4;4;0;0;2;4;4;4;0;0;2;2;2;2;2;2;2;4;2;2;0;4;4;4;4;2;2;2;0;4;4;0;2;0;4;0;2;4;0;4;2;2;2
al;0;0;8;0;2;8;8;2;6;4;2;4;4;2;4;4;4;2;0;0;2;2;2;4;2;2;4;2;2;4;2;4;0;4;2;4;2;4;2;0;0;0;2;0;2;2;0;2;4;2;2;2;2;0;0;2;2;2;4;0;0;2;0;0;2;0;0;2;2;2;2;2;0;2;0;2;2;0;2;0;0;4;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;2;2;0
state;0;0;0;6;4;6;8;8;6;2;4;2;0;0;6;0;4;2;4;0;2;4;2;2;2;2;4;2;0;4;0;0;2;4;2;4;0;0;0;4;0;2;2;0;6;0;0;2;2;2;2;0;0;0;2;0;2;0;0;0;0;4;2;2;0;0;0;2;0;0;4;0;2;2;0;2;0;0;2;2;2;0;0;0;0;0;4;2;2;4;4;0;0;2;2;2;0;0;2;2
alabama;0;0;0;0;2;4;6;0;2;2;0;2;6;0;0;0;2;2;2;2;4;4;2;0;2;4;0;0;0;0;2;0;0;0;2;2;2;0;0;4;0;2;2;4;2;0;0;2;0;0;0;2;2;2;2;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;2;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;2
thank;0;0;0;0;0;4;0;2;2;0;0;2;0;4;2;0;0;0;2;2;0;6;0;2;0;0;0;2;2;0;2;0;0;0;4;0;2;0;0;0;2;2;2;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;4;0;4;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
economic;0;0;0;0;0;0;8;0;10;4;0;2;2;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;4;2;2;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;2;2;0
proud;0;0;0;0;0;0;0;0;6;2;0;2;2;0;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0
great;0;0;0;0;0;0;0;0;0;2;4;2;0;2;2;0;2;0;4;0;0;2;2;0;0;0;2;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0
development;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0
year;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;2;0;0;0;2;0;0;4;4;0;0;0;4;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0
