;idaho;thank;idahos;#idahocovid19;help;covid19;idahoans;coronavirus;state;businesses;work;information;thanks;rebound;health;people;great;continue;stayhome;economy;spread;forest;may;new;order;blood;federal;stay;neighbors;supplies;primary;available;example;important;friends;19;take;statewide;across;families;community;putting;opportunity;election;efforts;conference;home;pandemic;another;business;lives;service;facing;educators;group;soon;host;challenging;#supportlocalgems;public;counties;distance;lunches;morning;working;sooner;actions;medical;enjoy;lesson;find;@idnationalguard;love;due;cash;ballot;elementary;call;video;donate;boise;together;communities;relief;testing;regarding;related;press;happy;opening;year;share;questions;slow;truckers;newsletter;helping;11;box;protect
idaho;0;4;4;8;6;10;2;4;4;4;2;2;4;4;4;2;2;0;0;2;2;4;2;4;0;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;4;2;0;0;2;2;0;4;0;2;0;0;2;0;4;0;2;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;2;4;2;2;2;2;0;0;0;0;4;0;2;2;0;2;0;0
thank;0;0;4;6;2;2;6;0;2;0;4;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;2;4;0;2;2;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;2;0;2;2;0;0;0;0;4;0;0;0;0;2;2;2;0;4;4;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0
idahos;0;0;0;8;2;4;0;2;2;0;2;0;2;4;2;2;2;0;2;4;0;2;2;0;2;0;0;2;0;2;2;4;2;0;2;2;2;0;2;2;0;2;4;2;2;2;0;0;2;2;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;4;2;2;0;2;0;2;0;2;2;0;2;0;2;0;2;0;0;0;2;0;2;0;0
#idahocovid19;0;0;0;0;6;8;0;0;4;2;2;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;2;4;4;0;0;2;0;2;0;0;0;2;2;0;2;2;0;2;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0
help;0;0;0;0;0;4;4;4;8;2;2;0;0;2;2;0;2;2;2;0;2;0;0;0;2;0;0;4;4;2;0;0;0;0;2;0;0;2;2;4;0;2;4;0;2;0;2;2;2;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;2;0;2;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2
covid19;0;0;0;0;0;0;2;0;2;2;0;2;0;6;2;0;0;4;0;0;2;2;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;4;0;4;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;2;0;0;0;2
idahoans;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4;2;0;0;2;0;0;0;0;2;2;2;2;0;0;0;4;2;2;0;2;0;2;2;0;0;2;0;0;2;4;0;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;4;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2
coronavirus;0;0;0;0;0;0;0;0;2;2;4;0;0;2;0;2;2;2;0;6;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2
state;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;0;0;4;4;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
