kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
pennsylvania,27,students,21,#covid19,78,#covid19,64,#covid19,60,#covid19,36,#covid19,238
health,18,program,17,home,43,home,34,phase,51,pennsylvania,31,pennsylvania,147
pa,16,pennsylvanians,16,stay,41,pennsylvanians,33,counties,46,masks,29,pennsylvanians,136
plan,11,pennsylvania,13,pennsylvania,34,stay,29,yellow,38,phase,28,help,110
mental,11,scholarship,12,businesses,32,pennsylvania,25,reopening,33,businesses,25,health,106
wage,10,gun,12,help,30,help,21,pennsylvanians,30,pennsylvanians,23,home,97
state,8,debt,12,spread,28,mask,20,red,24,guidance,22,phase,88
address,8,help,11,health,27,people,20,vote,22,health,22,counties,87
legislation,8,bly,11,pennsylvanians,26,health,16,continue,21,green,21,stay,84
pennsylvanians,8,new,11,order,22,safe,15,help,21,safety,21,businesses,83
year,8,nellie,11,counties,21,food,15,health,21,help,20,people,77
violence,8,school,10,latest,19,plan,15,move,20,reopening,18,pa,70
new,7,college,10,close,18,order,14,2,20,people,17,reopening,64
care,7,pa,10,information,16,continue,14,thank,20,safe,17,thank,63
help,7,proposing,10,resources,15,resources,13,june,20,yellow,16,safe,61
legislators,7,less,9,stop,14,thank,13,people,19,place,16,yellow,59
#raisethewage,7,@statesystem,9,nonlifesustaining,14,reopening,13,businesses,18,care,16,guidance,58
communities,6,plan,9,vote,13,lives,11,safety,18,counties,15,continue,57
commonwealth,6,violence,9,@pahealthdept,13,protect,11,election,17,wear,15,work,56
schools,6,people,9,coronavirus,13,making,10,pennsylvania,17,cases,14,vote,56
law,6,education,8,lives,13,together,10,commonwealth,17,business,13,spread,54
public,6,schools,8,pa,12,work,10,may,17,mask,13,plan,54
people,6,graduate,8,guidance,12,spread,10,reopen,17,thank,12,safety,52
minimum,6,affordable,8,save,11,public,9,work,16,new,12,new,51
school,6,pass,7,thank,11,care,9,pa,16,face,12,care,49
workers,5,vote,7,workers,11,vote,9,green,16,required,12,commonwealth,49
1,5,continue,6,montgomery,11,guidance,9,mail,16,sports,11,lives,47
bill,5,increase,6,work,10,phase,9,primary,15,distancing,11,masks,47
proposal,5,calling,6,care,10,commonwealth,9,guidance,15,follow,11,resources,45
#pafarmshow,5,work,6,travel,9,paians,9,county,15,pandemic,11,students,45
learn,5,tell,6,students,9,equipment,9,safe,14,work,11,order,44
register,5,guns,6,safe,9,pandemic,9,food,14,social,11,food,42
@johnfetterman,5,legislator,6,sign,9,staying,9,social,13,million,10,mask,42
sexual,5,student,5,efforts,9,wear,9,assistance,13,continue,10,election,40
restore,5,legislation,5,cases,9,normal,8,restrictions,13,inperson,9,green,40
proud,5,high,5,mental,8,unemployment,8,sign,13,restrictions,9,public,39
safe,5,laws,5,residents,8,reopen,8,register,12,still,9,may,38
frances,5,access,5,taking,8,pa,8,plan,12,food,9,program,38
election,4,charter,5,nonessential,8,masks,8,pandemic,12,employees,9,protect,37
fight,4,life,5,business,8,businesses,8,virus,12,indoor,9,place,35
innovation,4,legislature,5,new,8,restrictions,8,ballot,11,public,9,wear,35
working,4,prevent,5,part,7,working,7,risk,11,community,9,pandemic,35
2020,4,@johnfetterman,5,ballot,7,recovery,7,wear,11,covid19,8,social,34
million,4,making,4,commonwealth,7,new,7,home,11,lives,8,move,34
lead,4,public,4,may,7,place,7,distancing,10,pa,8,red,34
students,4,workforce,4,staying,7,status,7,available,10,wearing,8,2,33
hour,4,year,4,primary,7,please,7,resources,10,entering,8,cases,33
gun,4,rights,4,delaware,7,#maskuppa,7,signed,10,philadelphia,8,june,33
protections,4,mailin,4,debt,7,may,7,everyone,10,across,8,business,33
workforce,4,enough,4,election,7,part,6,masks,10,12,8,primary,32
families,4,#raisethewage,4,responders,7,protects,6,together,9,spread,8,workers,32
budget,4,across,4,protect,7,sacrifices,6,registration,9,declaration,8,mail,32
#otd,4,minimum,4,county,7,support,6,week,9,dining,8,schools,31
enough,4,address,4,mail,7,mail,6,working,9,police,8,mental,31
child,4,check,4,essential,7,meals,6,mask,9,enforcement,7,reopen,31
tell,4,take,4,schools,7,still,6,public,8,commonwealth,7,violence,30
criminal,4,action,4,state,7,celebrating,6,business,8,provide,7,restrictions,30
legislature,4,lives,4,facilities,6,essential,6,place,8,law,7,county,30
thank,4,funding,4,across,6,assistance,6,details,8,resources,7,sign,30
could,4,state,4,everyone,6,check,6,contact,8,disaster,7,register,30
costs,3,without,4,safety,6,find,6,still,8,allowed,7,together,29
taking,3,learn,4,8,6,social,6,spread,8,measures,7,distancing,29
prevent,3,legislators,4,employees,6,take,6,lives,8,protect,7,state,29
lives,3,protections,3,together,6,2,6,heres,8,#maskuppa,7,stop,28
initiative,3,april,3,physical,6,available,6,voters,8,school,6,information,28
works,3,huge,3,bucks,6,election,6,workers,8,reopen,6,still,27
vote,3,act,3,include,6,fewer,6,proud,8,criminal,6,working,27
boost,3,reform,3,actions,6,announcing,6,provide,8,please,6,school,27
efforts,3,someone,3,paians,6,june,5,good,8,unemployment,6,learn,27
states,3,lead,3,chester,6,isnt,5,update,8,pennsylvanias,6,take,26
