;#covid19;pennsylvania;masks;phase;businesses;pennsylvanians;guidance;health;green;safety;help;reopening;people;safe;yellow;place;care;counties;wear;cases;business;mask;thank;new;face;required;sports;distancing;follow;pandemic;work;social;million;continue;inperson;restrictions;still;food;employees;indoor;public;community;covid19;lives;pa;wearing;entering;philadelphia;across;12;spread;declaration;dining;police;enforcement;commonwealth;provide;law;resources;disaster;allowed;measures;protect;#maskuppa;school;reopen;criminal;please;unemployment;pennsylvanias;@pahealthdept;states;days;sacrifices;may;move;gatherings;stay;facilities;learn;reminder;state;lgbtq;prek;heres;programs;address;practice;black;congregate;june;customers;racism;available;restaurants;shopping;3;services;child;without
#covid19;0;24;16;8;16;10;2;12;8;4;10;16;12;8;6;0;4;6;6;26;6;10;8;14;4;6;0;8;4;4;10;8;12;8;2;2;6;6;2;0;8;2;0;8;6;10;2;2;6;0;10;2;0;0;2;6;2;2;2;2;0;2;6;0;0;6;0;6;0;2;4;8;8;8;0;0;0;2;0;4;0;6;0;0;8;6;0;6;0;0;2;2;0;4;0;2;2;0;0;4
pennsylvania;0;0;18;6;14;6;2;4;4;2;4;8;16;6;2;4;6;8;8;10;12;10;8;6;6;14;2;8;0;0;6;8;2;2;0;0;2;0;0;0;10;2;2;4;2;10;6;2;10;0;4;4;0;2;0;2;0;0;0;4;0;0;8;8;0;2;0;2;0;0;0;2;4;2;0;0;0;4;2;4;2;4;2;0;2;4;0;4;2;0;2;0;6;4;2;0;0;0;0;4
masks;0;0;0;10;18;10;6;6;4;8;4;0;10;2;6;8;2;2;20;8;14;12;0;2;12;24;0;8;10;0;0;8;2;6;8;0;0;0;2;2;12;2;6;2;0;14;14;0;4;0;10;0;0;0;0;0;2;0;0;0;8;8;6;14;0;0;0;6;0;0;0;2;2;0;2;0;8;2;0;0;2;0;0;0;0;0;0;6;0;0;0;2;0;0;2;0;0;0;0;0
phase;0;0;0;0;14;0;10;6;34;12;0;20;0;2;24;18;8;20;0;4;8;0;0;2;0;8;2;6;12;0;0;6;0;2;8;12;12;0;0;8;4;0;4;0;0;4;10;6;0;4;4;0;4;0;0;0;0;0;0;0;10;10;0;0;0;0;0;2;0;0;4;2;0;0;0;8;8;0;8;2;4;4;0;0;4;0;0;0;0;8;8;0;0;0;0;0;4;4;0;0
businesses;0;0;0;0;0;2;14;0;6;10;6;4;8;0;4;8;2;2;2;4;12;8;0;4;6;18;0;4;14;4;0;4;4;0;10;0;2;0;0;0;4;0;0;0;2;6;10;0;2;0;4;2;0;0;0;2;2;0;0;2;8;8;4;4;0;2;0;0;0;0;4;0;0;0;0;0;8;0;0;0;6;2;2;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0
pennsylvanians;0;0;0;0;0;0;4;4;2;0;6;2;2;10;2;4;2;0;8;6;2;8;4;2;2;4;0;2;0;2;4;2;4;4;0;2;4;0;2;0;4;4;4;6;0;4;0;2;4;0;4;0;0;2;0;4;2;0;0;0;0;0;2;6;0;2;0;2;2;0;0;2;4;6;2;2;0;0;0;0;0;4;2;0;0;0;2;2;4;0;2;0;2;2;0;0;2;0;0;2
guidance;0;0;0;0;0;0;0;8;8;14;6;4;2;12;2;8;0;2;2;0;4;2;0;2;0;4;6;8;14;4;0;8;0;2;4;0;0;0;6;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;2;4;2;2;0;0;4;4;2;0;4;4;0;2;0;2;6;2;0;0;0;0;4;2;0;2;4;0;0;2;0;0;2;2;0;0;0;4;0;0;4;0;0;0;0;0
health;0;0;0;0;0;0;0;0;6;12;8;2;0;8;4;6;12;2;6;4;0;6;4;0;2;0;8;2;4;4;0;2;0;4;4;4;4;4;4;8;6;4;2;0;2;4;0;0;4;4;2;0;4;0;2;0;0;2;6;0;0;2;4;0;2;2;0;6;0;4;4;2;0;0;0;2;0;0;6;0;0;0;0;4;2;0;0;2;2;6;0;4;0;2;0;4;2;10;4;0
green;0;0;0;0;0;0;0;0;0;8;0;20;0;4;16;10;8;18;0;4;4;0;0;2;0;4;6;0;4;0;0;0;0;0;8;8;8;0;0;8;2;0;2;0;0;2;6;6;0;8;4;0;8;0;0;2;0;0;0;0;6;6;0;0;0;2;0;0;0;0;0;2;0;0;0;8;4;0;4;2;0;4;0;4;4;0;0;0;0;4;8;0;0;0;0;4;4;4;4;0
safety;0;0;0;0;0;0;0;0;0;0;0;4;0;4;6;14;0;2;2;0;8;2;0;0;2;8;6;4;14;4;0;4;0;0;10;0;0;2;6;2;0;0;0;0;0;0;8;0;0;0;0;0;2;0;2;0;0;2;0;0;10;12;4;0;4;2;0;0;0;0;4;0;0;0;0;0;8;0;2;2;0;0;0;0;2;0;0;0;0;2;0;6;0;0;0;0;2;0;0;0
