;#covid19;pennsylvania;pennsylvanians;help;health;home;phase;counties;stay;businesses;people;pa;reopening;thank;safe;yellow;guidance;continue;work;vote;spread;plan;safety;new;care;commonwealth;lives;masks;resources;students;order;food;mask;election;green;public;may;program;protect;place;wear;pandemic;social;move;red;2;cases;june;business;primary;workers;mail;schools;mental;reopen;violence;restrictions;county;sign;register;together;distancing;state;stop;information;still;working;school;learn;take;paians;across;assistance;available;@pahealthdept;everyone;ballot;million;support;latest;making;heres;efforts;part;prevent;proud;unemployment;please;signed;pennsylvanian;find;registration;follow;close;law;possible;employees;provide;virus;families
#covid19;0;84;104;74;66;82;36;58;64;54;52;36;42;50;36;30;42;48;44;4;70;14;24;32;24;32;46;34;40;2;32;24;24;2;22;28;16;10;38;16;22;30;30;16;20;12;50;6;18;4;10;2;10;10;28;2;22;22;6;2;20;26;16;32;26;22;20;4;10;20;28;16;18;22;40;18;0;16;18;34;20;20;30;26;20;12;10;24;6;20;10;0;14;18;6;14;12;14;26;12
pennsylvania;0;0;30;26;30;22;18;32;18;34;38;12;34;20;22;12;18;14;22;14;20;24;14;20;14;22;8;20;10;10;12;0;12;12;8;18;10;2;10;14;10;2;12;12;14;6;18;6;24;12;6;10;8;8;20;6;12;4;12;2;8;10;16;8;12;8;6;6;12;8;0;18;4;12;6;6;10;8;2;14;10;14;2;4;6;14;0;2;4;2;8;0;4;10;2;6;4;0;2;4
pennsylvanians;0;0;0;32;28;32;4;12;20;8;26;12;8;42;42;6;12;30;8;8;14;12;8;20;14;26;24;18;26;6;14;12;18;8;4;14;8;10;16;6;18;18;12;10;4;6;16;8;4;6;4;6;2;6;12;12;2;6;8;4;14;10;12;10;12;8;10;6;8;8;2;16;6;10;14;10;2;10;10;14;10;4;12;10;16;12;8;8;4;2;2;0;2;2;0;20;4;4;18;4
help;0;0;0;0;26;16;0;4;18;22;22;32;6;18;12;2;14;8;4;2;32;16;4;24;10;18;14;16;30;32;14;22;12;2;2;4;2;32;2;2;14;14;0;2;4;4;6;2;10;2;10;2;10;16;4;6;0;2;2;2;0;0;10;20;10;0;0;8;8;4;14;10;16;18;2;4;0;8;14;2;8;2;4;2;12;8;4;10;4;18;10;0;2;0;2;6;4;10;2;16
health;0;0;0;0;0;14;10;12;14;6;8;32;12;12;12;8;16;14;14;0;14;18;32;12;48;6;10;14;18;2;8;6;12;0;6;28;2;0;18;6;12;10;12;8;4;0;12;0;4;0;18;0;8;38;8;0;6;4;0;0;4;12;4;8;6;12;8;4;2;8;2;10;2;8;12;8;0;4;10;8;0;10;2;6;4;4;0;14;2;6;2;0;4;0;4;2;8;4;10;6
home;0;0;0;0;0;0;10;40;106;16;20;10;12;16;28;10;16;16;18;8;26;2;16;4;6;0;20;6;2;0;46;2;10;8;2;10;6;0;14;12;10;0;12;4;8;8;8;8;2;8;0;8;2;0;2;2;12;4;8;2;14;10;2;12;10;4;2;0;8;8;4;2;2;2;4;4;6;4;0;4;2;4;2;8;4;2;0;12;8;0;2;0;6;2;4;8;0;0;4;2
phase;0;0;0;0;0;0;0;74;8;32;6;6;62;0;6;88;34;14;0;0;6;6;28;12;12;2;4;16;0;0;0;0;4;0;52;8;18;0;0;28;4;0;12;44;48;0;4;14;10;0;2;0;0;0;8;0;36;12;0;0;0;10;4;2;2;16;2;0;2;4;4;0;0;4;6;4;0;0;0;2;6;6;4;0;4;0;0;6;0;2;0;0;16;0;0;6;0;0;4;0
counties;0;0;0;0;0;0;0;0;38;18;6;10;52;0;6;64;24;12;4;2;14;8;14;14;4;4;8;10;0;0;26;2;2;2;30;10;22;0;2;6;4;0;16;38;44;2;6;10;8;0;2;2;2;0;12;0;18;4;0;0;2;14;2;6;6;10;4;2;10;2;6;0;2;4;4;6;0;0;0;8;4;2;10;0;6;2;0;4;2;0;2;0;2;6;4;4;2;0;6;0
stay;0;0;0;0;0;0;0;0;0;14;12;2;12;12;32;8;16;14;16;2;20;2;14;4;6;6;16;4;2;0;40;2;8;2;2;8;2;0;6;12;8;2;10;2;6;2;4;2;0;4;4;2;2;0;4;0;10;4;2;2;8;10;0;8;8;4;0;0;6;4;4;4;2;2;4;4;0;2;0;4;0;6;2;4;2;0;0;8;0;0;6;0;6;2;2;4;0;0;0;4
businesses;0;0;0;0;0;0;0;0;0;0;12;8;16;4;8;24;44;8;12;0;22;4;28;6;4;4;8;22;6;0;22;4;10;0;6;8;2;2;12;16;6;4;12;6;16;6;6;2;20;0;10;0;0;0;4;0;10;6;2;0;2;10;4;8;0;2;0;0;4;2;10;4;8;8;6;2;0;4;0;6;0;4;4;4;2;0;0;4;4;0;0;0;20;20;2;6;4;2;2;2
