;#covid19;pennsylvania;pennsylvanians;help;home;health;stay;pa;students;businesses;spread;new;plan;vote;program;order;counties;schools;people;latest;debt;close;lives;mental;work;care;state;scholarship;school;thank;information;violence;stop;nellie;commonwealth;bly;gun;workers;college;resources;safe;tell;election;nonlifesustaining;coronavirus;less;public;year;wage;@statesystem;graduate;legislation;proposing;@pahealthdept;protect;funding;save;life;continue;register;efforts;access;guidance;#raisethewage;address;minimum;legislators;frances;part;primary;across;sign;learn;montgomery;education;taking;affordable;ballot;million;@johnfetterman;take;calling;action;pass;voters;proud;everyone;law;increase;business;county;travel;charter;families;workforce;communities;working;april;prevent;legislature
#covid19;0;28;34;24;34;22;26;8;0;24;40;8;0;2;2;14;20;6;6;28;0;16;18;0;12;10;8;0;2;14;18;0;22;0;8;0;0;6;0;14;12;0;2;10;24;0;2;0;0;0;0;0;0;24;12;6;14;2;6;2;16;2;18;0;0;0;0;2;12;2;4;2;2;14;2;14;0;0;2;0;6;0;4;0;0;2;8;0;0;6;12;12;0;4;0;2;6;2;2;0
pennsylvania;0;0;18;16;4;18;6;10;10;14;12;14;10;12;2;6;8;8;6;12;2;8;2;8;6;4;12;4;6;10;10;4;6;4;14;4;2;2;6;8;4;12;10;8;8;0;4;8;10;2;0;2;0;4;2;10;2;4;4;2;0;4;8;12;4;8;8;2;2;8;8;10;6;4;6;8;4;10;4;0;6;2;2;4;10;6;4;2;2;6;4;0;4;4;0;6;2;4;0;2
pennsylvanians;0;0;0;14;14;10;12;8;6;2;8;12;4;4;8;4;6;0;14;12;4;2;10;0;0;8;8;4;6;4;4;6;6;4;2;4;6;2;2;6;10;2;4;0;10;4;6;2;4;6;4;4;6;12;6;0;2;4;8;2;8;6;6;6;0;4;2;2;2;4;0;4;6;6;2;4;6;2;4;0;2;4;2;10;2;4;2;0;2;0;4;4;0;2;4;6;2;0;6;4
help;0;0;0;0;6;12;10;20;26;6;16;20;6;2;20;2;2;8;2;2;14;0;8;6;2;6;6;18;6;6;2;2;12;16;4;16;0;4;14;6;4;4;2;2;6;18;2;6;0;18;18;0;16;0;0;14;6;2;4;2;4;2;4;0;2;0;0;2;2;2;8;2;4;0;6;2;4;0;2;0;0;0;2;2;0;2;2;2;4;4;0;0;2;6;4;8;0;0;2;0
home;0;0;0;0;0;6;54;8;0;4;14;2;0;2;0;24;26;2;8;4;0;2;10;0;8;2;2;0;0;4;8;2;8;0;0;0;2;0;0;0;8;0;2;0;4;0;0;0;0;0;0;2;0;2;2;0;6;4;2;0;2;0;4;0;0;0;0;4;4;2;0;2;2;6;0;6;0;2;0;2;6;2;2;2;0;0;4;0;0;0;2;8;0;0;0;2;0;4;2;0
health;0;0;0;0;0;0;8;16;0;6;2;8;6;0;0;4;2;4;2;4;2;0;6;18;6;20;4;0;2;8;2;0;2;0;2;0;0;6;2;4;2;6;0;0;4;0;6;0;0;0;0;0;0;0;8;2;4;4;2;0;2;6;4;0;6;0;2;2;4;0;2;0;2;2;0;4;2;0;2;0;2;0;0;0;0;2;2;0;4;0;4;2;0;2;2;0;4;0;0;0
stay;0;0;0;0;0;0;0;2;0;6;14;2;0;2;0;22;24;2;4;4;0;2;10;0;10;2;0;0;0;4;6;0;6;0;2;0;0;2;0;0;10;0;2;0;4;0;2;0;0;0;0;0;0;2;0;0;4;4;4;2;2;0;4;0;0;0;0;0;2;2;2;2;0;8;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;6;0;0;0;0;0;4;0;0
pa;0;0;0;0;0;0;0;0;10;2;2;14;10;0;8;4;4;14;4;2;4;2;4;12;4;8;2;6;4;4;0;4;6;6;2;6;4;4;6;2;2;4;0;2;0;4;4;4;2;6;4;4;6;0;0;2;0;0;0;0;2;6;2;0;8;2;4;0;2;0;4;0;6;0;4;0;4;0;2;2;0;6;2;6;0;4;0;0;4;0;2;4;0;0;6;4;4;2;4;2
students;0;0;0;0;0;0;0;0;0;0;0;18;8;0;26;0;0;10;0;0;24;0;0;0;0;0;8;26;14;2;0;2;0;24;2;24;0;0;18;0;0;2;0;0;0;24;2;4;0;26;24;2;24;0;0;8;2;0;2;0;0;2;0;0;0;0;0;0;0;0;6;0;2;0;10;2;10;0;2;0;0;2;0;0;0;0;0;4;2;2;0;0;6;2;0;2;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;14;0;0;0;6;0;20;4;0;8;0;0;0;0;4;0;0;8;0;2;0;0;0;0;4;2;0;0;22;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;2;0;8;2;0;2;0;0;4;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;6;2;0;0;2;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;6;4;0;2;10;0;8;8;0;6;0;0;0;0;8;4;0;28;0;4;0;0;2;0;6;6;0;4;8;10;0;0;0;0;0;0;0;0;4;0;0;6;2;2;4;6;0;10;0;0;0;0;0;8;4;2;4;2;2;0;6;0;2;0;0;0;0;2;0;0;0;4;0;0;4;2;4;0;0;0;2;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;6;0;16;2;2;2;4;2;12;0;0;6;4;2;6;16;8;0;2;0;2;14;4;14;0;0;14;2;2;2;0;0;4;12;2;2;0;16;12;2;14;2;0;4;0;0;0;0;4;4;4;0;2;0;2;2;0;0;6;4;4;2;6;0;6;0;0;0;0;0;0;2;0;0;0;2;4;0;2;0;2;4;4;0;0;0;0;0
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;2;0;2;0;0;0;0;2;4;6;10;0;0;2;0;6;8;6;2;0;4;0;2;2;0;0;0;2;4;4;0;4;2;0;6;0;2;6;2;0;0;0;0;0;0;2;8;0;2;0;2;0;4;0;4;0;6;0;6;0;6;0;0;0;0;0;0;4;0;4;2;2;2;0;6;2;2;2;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;20;0;14;2;0;0;2;0;18;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0;0;0;0;0;8;0;0
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;20;0;0;0;0;0;10;26;10;0;0;0;0;24;2;24;0;0;18;0;0;4;0;0;0;20;0;0;0;22;18;0;22;0;0;4;0;0;2;0;0;2;0;0;0;0;0;2;0;0;4;0;4;0;8;0;10;0;2;0;0;0;0;0;2;2;0;2;2;2;0;0;2;2;0;0;2;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;2;4;0;10;4;0;4;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;12;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;0;4;0;0
counties;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;6;6;0;2;4;2;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;4;4;2;0;6;0;2;0;0;0;0;0;0;0;0;0;2;12;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;10;0;0;0;0;0;2;0;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;4;2;2;6;0;0;2;2;2;2;2;2;2;4;0;0;0;0;0;0;4;6;4;0;2;4;0;2;0;2;8;2;0;2;0;0;0;0;0;10;2;0;0;0;0;4;0;2;6;6;0;2;0;4;0;0;4;2;0;0;2;0;2;2;0;4;0;6;0;2;4;0;2;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;2;2;2;0;2;0;0;2;0;2;2;2;2;0;0;2;2;0;2;0;0;2;0;4;0;0;0;0;0;2;2;0;0;2;4;2;0;2;6;4;0;0;0;0;0;2;0;2;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;4;2;8;2;0;2;2
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;4;0;0;6;12;0;8;0;4;0;0;0;0;2;4;0;0;0;12;0;0;0;0;0;0;0;0;16;6;0;0;0;0;0;6;2;10;0;0;0;0;0;4;0;0;0;2;6;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2;2;0;0
debt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;22;6;0;0;0;0;22;2;22;0;2;16;0;0;6;0;0;0;22;0;0;0;18;20;0;20;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
close;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;4;0;0;0;0;0;0;0;0;0;0;16;0;0;2;0;0;0;0;0;0;4;4;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;2;0;0;6;0;4;2;0;0;0;2;0;0;2
