;#covid19;virginia;virginians;health;continue;help;testing;care;virginias;public;federal;work;support;working;home;new;commonwealth;important;state;together;workers;crisis;may;local;pandemic;ensure;people;week;signed;benefits;provide;students;stay;response;ppe;#askgovnortham;times;businesses;unemployment;updates;medical;use;additional;watch;briefing;economy;nursing;weeks;facilities;capacity;across;safely;proud;announced;data;safety;remain;fight;team;information;move;protect;year;funding;april;act;give;forward;take;school;access;thanks;individuals;visit;supplies;next;resources;education;200;holding;economic;cant;latest;thank;@vaemploy;assembly;million;services;place;elections;cases;states;increase;update;homes;actions;general;q;laws;great
#covid19;0;48;26;24;12;26;14;10;22;10;14;10;22;10;10;10;4;10;14;12;8;10;8;12;18;8;8;8;4;6;16;4;2;20;6;8;0;14;4;16;2;8;8;16;16;8;14;6;8;4;8;4;4;8;8;2;6;10;8;10;8;6;2;10;4;2;4;8;8;0;2;6;2;4;6;2;8;0;12;14;6;4;14;8;2;4;6;4;4;4;4;6;6;8;10;4;4;0;0;8
virginia;0;0;16;10;14;16;6;2;0;8;12;6;14;6;10;14;12;12;8;8;6;10;6;4;2;6;6;4;12;4;8;2;4;4;4;4;8;4;0;10;4;6;6;8;8;6;2;6;0;4;4;0;10;2;6;2;4;8;4;0;2;2;2;4;6;8;4;4;4;4;0;4;0;2;0;6;2;0;8;10;4;4;8;2;0;4;6;4;0;2;4;4;2;4;0;6;4;4;6;0
virginians;0;0;0;8;12;14;4;4;6;2;4;4;10;12;4;6;8;10;4;10;0;8;12;0;6;0;4;6;0;8;4;0;6;2;2;2;8;4;8;0;0;2;4;0;0;8;2;10;4;2;2;2;4;2;2;0;0;2;2;0;4;4;2;0;6;0;4;2;8;2;0;2;4;4;0;6;0;2;0;0;2;4;0;4;8;2;2;0;2;4;0;2;2;0;2;6;2;0;0;2
health;0;0;0;0;10;8;6;12;12;14;2;10;2;6;2;4;6;6;4;2;6;12;8;6;6;6;2;4;4;2;2;2;2;0;6;0;4;2;0;2;2;4;4;0;2;4;2;0;4;2;6;4;2;8;2;6;4;4;2;2;8;0;2;4;0;2;0;8;2;2;2;0;0;0;4;0;0;0;0;0;4;2;0;2;0;0;2;2;2;2;4;2;4;0;2;4;0;0;0;0
continue;0;0;0;0;0;2;2;4;2;6;4;8;12;6;6;0;4;4;4;6;4;2;4;2;2;4;0;6;2;0;2;4;6;0;6;0;4;4;2;0;2;4;2;0;0;4;0;0;2;4;6;4;0;2;6;0;2;6;4;0;4;4;0;0;0;2;2;4;0;2;0;0;2;2;4;2;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2
help;0;0;0;0;0;0;4;8;0;4;4;2;8;8;2;0;8;0;6;2;2;6;4;4;6;0;4;4;2;4;8;4;0;2;0;2;0;6;2;0;2;2;4;0;0;4;8;2;10;0;2;2;4;2;0;0;0;2;2;0;0;6;0;8;2;2;0;0;0;2;0;2;2;2;4;0;4;0;0;0;0;0;0;4;4;2;4;4;0;2;2;2;6;0;6;0;2;2;0;2
testing;0;0;0;0;0;0;0;4;2;4;0;6;0;2;2;2;2;4;10;2;0;0;0;2;0;4;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;8;6;2;0;4;0;0;2;2;2;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;10;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0
care;0;0;0;0;0;0;0;0;4;2;4;2;0;8;4;4;4;2;2;4;6;0;4;2;0;4;0;2;2;4;4;0;2;0;8;0;2;6;2;2;4;0;2;0;2;2;10;0;10;2;2;2;0;6;2;2;2;0;2;2;0;4;0;6;0;4;0;0;4;0;2;0;2;2;4;0;2;2;0;0;2;0;0;0;4;0;2;4;2;2;0;0;4;0;8;4;0;0;0;0
virginias;0;0;0;0;0;0;0;0;0;4;4;4;2;0;2;6;0;4;4;0;2;2;6;4;4;0;0;4;2;2;2;2;2;16;4;0;2;0;2;6;2;2;0;8;8;2;4;4;2;0;0;2;4;4;0;0;0;2;0;2;2;2;4;4;0;0;2;0;2;0;2;2;0;0;2;0;0;2;6;4;0;2;2;2;0;0;0;2;0;2;0;2;0;6;4;2;0;0;4;0
public;0;0;0;0;0;0;0;0;0;0;2;6;0;0;4;0;6;2;4;0;4;4;2;10;2;4;2;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;4;2;2;4;8;2;2;0;0;2;2;4;2;0;2;4;2;0;4;0;0;4;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;2;8;0;4;2;6;4;4;2;8;4;0;6;4;2;0;4;2;6;4;0;2;2;0;2;0;4;6;0;2;2;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;6;0;10;2;0;0;0;2;2;2;2;0;4;2;2;0;0;4;0;0;2;2;0;4;4;2;0;2;6;0;0;0;0;0;2;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;4;8;4;8;2;0;0;4;4;6;4;6;2;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;2;2;6;6;2;0;2;2;6;2;4;4;2;2;2;2;0;0;2;0;2;0;2;0;0;2;2;4;0;0;4;0;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0
