;virginia;#covid19;phase;health;virginians;public;continue;work;commonwealth;restrictions;may;northern;briefing;watch;stay;200;people;safe;thank;across;care;forward;businesses;working;tests;tune;help;safely;face;data;live;ppe;week;home;full;update;ease;remain;region;virginias;communities;safety;localities;starting;testing;plan;latest;lives;service;local;response;#forwardvirginia;virus;critical;crisis;move;science;together;@vdhgov;join;tomorrow;holding;state;still;friday;protect;available;key;distancing;reduce;delay;based;country;new;announced;order;able;proud;spread;wear;emergency;next;extend;guidelines;positive;commitment;reported;months;todays;different;justice;pandemic;important;cases;place;beaches;officers;nonessential;reopen;continues
virginia;0;24;14;6;6;4;6;10;6;6;8;18;8;6;2;8;2;4;4;4;6;8;2;6;0;8;6;6;2;2;8;10;6;0;6;0;2;4;6;0;4;0;8;4;4;6;8;4;4;2;0;2;4;6;2;4;0;6;0;6;4;4;6;0;4;0;0;4;0;0;6;0;0;2;2;2;4;4;2;0;4;4;4;2;4;4;6;8;0;4;2;2;4;4;0;0;0;2;2;0
#covid19;0;0;4;8;14;4;0;6;6;4;2;2;12;18;2;16;0;0;2;4;4;4;4;4;0;14;8;4;0;0;12;6;2;2;0;12;2;4;2;6;6;2;0;0;8;2;12;6;0;0;10;2;6;2;4;0;0;2;4;6;0;10;2;4;0;0;2;2;0;2;0;0;2;4;4;0;2;4;8;0;4;0;2;0;4;0;2;4;2;0;0;6;2;2;0;2;0;2;2;2
phase;0;0;0;8;4;8;8;2;4;14;4;12;6;2;6;4;0;0;2;0;0;2;8;2;0;2;0;8;10;4;2;0;2;4;2;2;8;4;4;0;0;2;6;2;0;12;2;0;0;6;2;8;2;0;0;4;2;2;0;0;4;2;0;4;2;0;0;4;6;0;8;2;0;0;0;6;0;0;2;4;0;0;0;6;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0
health;0;0;0;0;8;12;8;2;2;12;6;2;0;2;0;2;2;2;2;0;8;2;4;6;2;0;6;6;0;4;0;4;2;0;0;0;8;2;6;2;2;8;2;2;2;4;0;0;2;0;0;6;0;2;8;4;4;2;4;0;0;0;2;0;2;2;0;4;0;2;2;2;0;4;2;0;0;2;2;0;0;0;2;2;2;2;0;0;0;0;2;0;2;0;0;0;0;2;0;4
virginians;0;0;0;0;0;4;6;6;4;4;0;0;6;2;2;2;2;2;0;0;2;0;2;8;0;4;2;0;2;0;2;0;0;2;2;6;2;2;0;0;0;2;0;0;0;0;4;0;2;0;6;0;6;0;2;0;2;6;2;2;0;4;0;6;0;0;2;0;2;2;0;0;0;4;2;2;0;4;4;2;0;0;0;0;0;2;2;2;0;0;2;2;2;0;4;0;0;2;2;0
public;0;0;0;0;0;0;6;2;0;10;6;0;0;2;2;2;10;2;2;0;0;0;4;0;0;0;2;6;8;2;0;0;4;4;0;0;10;4;0;2;0;2;0;8;0;4;0;0;2;0;0;6;2;0;0;0;4;0;0;0;4;0;2;6;6;4;0;2;4;0;0;2;0;0;2;2;2;2;2;8;0;0;2;0;2;0;0;2;0;0;0;0;0;0;6;6;0;2;2;0
continue;0;0;0;0;0;0;0;8;4;4;6;4;2;0;6;2;2;6;0;0;2;2;4;2;0;0;2;4;2;2;0;0;4;2;2;0;2;0;2;0;0;2;2;2;0;2;0;2;0;4;0;2;2;0;0;0;4;2;0;0;4;0;0;2;2;2;0;2;2;2;4;2;0;2;2;2;2;0;0;2;0;2;4;0;2;2;0;0;0;0;0;0;2;0;2;0;2;2;0;0
work;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;2;6;4;2;0;4;4;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;4;2;0;2;2;2;0;0;0;2;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;2;2;0;4;2;4;0;2;4;0;0;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2
commonwealth;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;0;0;2;8;2;0;0;0;0;4;0;0;2;2;2;0;4;0;0;4;0;0;2;0;2;0;2;0;2;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;0;4;2;0;0;2;0;0;0
restrictions;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;2;2;0;0;0;0;0;8;2;0;0;0;8;2;2;0;0;2;2;0;0;10;0;4;0;0;2;6;2;0;8;0;0;0;2;0;8;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;2;4;0;2;2;0;0;0;4;0;0;4;0;0;0;2;4;2;0;2;2;0;0;0;0;0;0;2;2;0;4;0;0
