kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
colorado,22,#unitedwaychat,9,covid19,50,colorado,14,colorado,7,continue,5,colorado,85,colorado,60,colorado,25,colorado,85
state,22,health,8,colorado,33,home,12,home,5,colorado,4,state,63,state,54,home,17,state,63
health,17,care,8,state,28,stay,11,violence,4,drop,3,covid19,63,covid19,50,covid19,13,covid19,63
@ltgovofco,16,resources,6,cases,17,covid19,9,george,4,enforcement,3,health,41,health,40,stay,12,health,41
@kerrydonovansd5,15,#211colorado,6,positive,16,#doingmypartco,8,state,4,coloradans,3,coloradans,38,coloradans,28,continue,11,coloradans,38
@mccluskieforco,15,money,6,health,15,watch,6,covid19,4,law,3,home,28,care,24,#doingmypartco,10,home,28
care,15,colorado,5,coloradans,14,masks,6,floyd,4,reform,3,care,24,help,20,coloradans,10,care,24
year,11,coloradans,5,update,13,face,5,coloradans,4,elijah,2,help,23,people,18,live,9,help,23
coloradans,9,211,5,help,13,live,5,hard,3,individuals,2,#doingmypartco,22,@ltgovofco,17,state,9,#doingmypartco,22
money,9,#team211,5,spread,12,#covid19colorado,5,peaceful,3,sb20217,2,live,21,cases,17,masks,7,live,21
work,7,work,4,#doingmypartco,12,continue,5,peacefully,3,22,2,people,21,@kerrydonovansd5,16,#covid19colorado,7,people,21
people,6,individuals,4,home,11,possible,4,join,3,criminal,2,stay,19,positive,16,watch,7,stay,19
thanks,6,#colorado,4,testing,10,#saferathome,4,news,3,death,2,work,18,money,15,important,6,work,18
saving,6,critical,4,coronavirus,10,wear,4,facebook,3,person,2,important,18,year,15,work,5,important,18
working,5,year,4,order,10,lives,4,work,3,state,2,year,18,@mccluskieforco,15,together,5,year,18
together,5,state,4,presumptive,9,update,4,command,3,box,2,update,18,work,13,update,5,update,18
bipartisan,5,saving,4,@cdphe,9,presentation,3,thank,3,statement,2,cases,17,update,13,facebook,5,cases,17
change,4,help,4,provide,9,coloradans,3,together,3,still,2,@ltgovofco,17,important,12,thank,5,@ltgovofco,17
next,4,important,4,people,9,unless,3,space,3,justice,2,watch,16,spread,12,still,5,watch,16
future,4,connect,3,case,9,seniors,3,important,2,create,2,positive,16,#doingmypartco,12,face,5,positive,16
special,4,12,3,tested,8,social,3,murder,2,process,2,@kerrydonovansd5,16,live,12,social,5,@kerrydonovansd5,16
reinsurance,4,people,3,watch,8,staying,3,protest,2,live,2,@mccluskieforco,15,saving,11,times,4,@mccluskieforco,15
tax,4,available,3,latest,7,easter,3,hope,2,moment,2,money,15,provide,11,george,4,money,15
life,4,families,3,la,7,providing,3,strict,2,court,2,together,15,home,11,peaceful,4,together,15
important,4,22,3,lab,7,important,3,unjust,2,12,2,continue,14,@cdphe,10,individuals,4,continue,14
costs,4,cost,2,stay,7,mask,3,damage,2,order,2,spread,14,together,10,#saferathome,4,spread,14
cannabis,4,reflect,2,live,7,state,3,justice,2,losing,1,order,14,coronavirus,10,new,4,order,14
energy,4,february,2,public,6,critical,2,demonstrations,2,black,1,saving,13,order,10,violence,4,saving,13
take,4,appreciate,2,new,6,stayathome,2,still,2,americans,1,provide,13,testing,10,lives,4,provide,13
school,4,theres,2,march,6,instagram,2,killing,2,perceived,1,new,12,watch,9,possible,4,new,12
economy,4,data,2,number,6,happy,2,turn,2,injustice,1,#covid19colorado,12,presumptive,9,floyd,4,#covid19colorado,12
live,3,callers,2,press,6,order,2,proud,2,victory,1,testing,11,case,9,enforcement,4,testing,11
larry,3,talking,2,emergency,5,phase,2,#covid19colorado,2,7,1,thank,11,#unitedwaychat,9,states,4,thank,11
enroll,3,program,2,protect,5,address,2,best,2,glad,1,@cdphe,11,resources,8,law,4,@cdphe,11
historic,3,expected,2,#covid19colorado,5,id,2,unfortunately,2,activities,1,coronavirus,10,family,8,justice,4,coronavirus,10
deadline,3,inform,2,de,5,colorados,2,force,2,virus,1,working,10,working,8,mask,4,working,10
relief,3,discuss,2,tests,5,absolutely,2,president,2,build,1,resources,10,new,8,critical,4,resources,10
january,3,month,2,confirmed,5,inperson,2,#doingmypartco,2,weiser,1,case,10,tested,8,order,4,case,10
build,3,seeking,2,thank,4,saferathome,2,working,2,63,1,individuals,10,public,7,unless,4,individuals,10
climate,3,resource,2,1,4,covering,2,stand,2,government,1,facebook,9,economy,7,join,4,facebook,9
save,3,lucky,2,results,4,week,2,information,2,support,1,protect,9,great,7,wear,4,protect,9
