;colorado;state;health;@ltgovofco;@kerrydonovansd5;@mccluskieforco;care;year;coloradans;money;work;people;thanks;saving;working;together;bipartisan;change;next;future;special;reinsurance;tax;life;important;costs;cannabis;energy;take;school;economy;live;larry;enroll;historic;deadline;relief;january;build;climate;save;kindergarten;renewable;job;programs;safe;fight;child;making;delivered;bold;savings;family;walker;leave;high;graduate;free;plan;opportunity;legislation;everyone;strong;help;beer;international;program;led;system;transportation;samantha;8;100;taxpayers;less;house;honor;adopted;investment;still;reach;lost;universal;cut;quality;pathway;#copolitics;air;insurance;prosperity;states;address;families;represent;comes;issues;looks;affordable;born;able
colorado;0;10;4;6;6;6;6;8;4;6;2;2;4;2;4;2;2;0;2;2;4;2;4;2;0;0;4;0;4;0;2;2;4;0;2;0;2;4;2;0;2;4;0;0;2;2;2;2;2;4;2;6;0;4;0;0;0;4;0;2;2;0;2;4;2;0;0;2;0;0;2;0;2;4;0;2;2;4;0;2;2;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0;2;4;2
state;0;0;2;12;12;12;2;4;4;4;2;2;2;2;6;8;2;0;0;2;2;0;0;2;2;2;2;0;0;2;2;4;2;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;2;2;2;2;2;0;2;2;4;0;0;0;2;2;2;2;2;4;0;2;0;2;0;0;2;4;0;0;2;0;4;2;0;0;2;0;2;2;2
health;0;0;0;12;10;10;22;6;6;8;2;6;8;4;4;2;6;4;0;0;2;8;2;0;0;8;0;0;2;0;0;2;0;4;2;4;2;0;0;0;2;2;0;0;0;0;2;0;0;4;0;2;0;0;0;4;0;2;4;0;4;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;0;2;0;4;0;2;0;0;2;2;0;0;4;0;0
@ltgovofco;0;0;0;0;30;30;12;4;6;6;4;8;6;4;2;0;6;6;2;4;2;4;0;0;2;6;0;4;0;0;2;0;0;0;2;0;2;0;0;4;0;0;4;0;0;0;2;2;2;0;4;2;2;0;2;2;0;0;0;2;4;2;2;2;0;2;2;2;4;2;0;0;2;2;2;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;4;0;2;2;0;2;4;0;0;2
@kerrydonovansd5;0;0;0;0;0;30;10;4;6;4;2;6;4;2;2;0;4;4;2;4;2;4;0;0;2;6;0;4;0;0;2;0;0;0;2;0;2;0;0;4;0;0;4;0;0;0;2;2;2;0;4;2;2;0;2;2;0;0;0;2;4;2;2;2;0;2;2;2;4;2;0;0;2;2;2;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;4;0;2;2;0;2;4;0;0;2
@mccluskieforco;0;0;0;0;0;0;10;4;6;4;2;6;4;2;2;0;4;4;2;4;2;4;0;0;2;6;0;4;0;0;2;0;0;0;2;0;2;0;0;4;0;0;4;0;0;0;2;2;2;0;4;2;2;0;2;2;0;0;0;2;4;2;2;2;0;2;2;2;4;2;0;0;2;2;2;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;4;0;2;2;0;2;4;0;0;2
care;0;0;0;0;0;0;0;6;6;10;2;6;6;4;4;2;6;4;0;0;2;6;2;0;0;8;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;2;0;0;0;0;2;0;2;4;0;4;0;0;0;4;0;2;2;0;4;0;0;2;0;0;2;2;2;2;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;0;2;0;2;0;2;0;0;2;2;0;0;4;0;0
year;0;0;0;0;0;0;0;0;2;0;0;0;2;0;6;6;4;0;2;0;0;2;2;0;0;4;0;0;6;0;2;0;0;0;2;0;2;2;0;0;0;4;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;4;0;0;4;0;2;0;0;0;2;2;0;2;0;0;2;2;0;0;0;2;2;0;0;0;2;2;0;2;2;0;0;2;0;2;0;0;0;0;0;2;2;0
coloradans;0;0;0;0;0;0;0;0;0;6;0;0;4;4;2;0;2;0;2;0;0;4;0;0;2;2;0;0;2;0;0;0;0;2;2;2;2;0;2;0;0;0;0;2;0;0;0;2;2;0;0;2;2;0;2;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;2;0;0;4;0;0;0;0;0;0;0
money;0;0;0;0;0;0;0;0;0;0;2;4;4;8;2;0;4;4;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;4;0;2;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;2;2;0;0;2;0;0;0;2;2;0;0
