;colorado;home;covid19;stay;continue;#doingmypartco;coloradans;live;state;masks;#covid19colorado;watch;important;work;together;update;facebook;thank;still;face;social;times;george;peaceful;individuals;#saferathome;new;violence;lives;possible;floyd;enforcement;states;law;justice;mask;critical;order;unless;join;wear;shopping;providing;year;peacefully;create;happy;president;colorados;week;facts;response;drop;life;inperson;stand;protect;space;presentation;proud;difficult;reform;news;seniors;absolutely;real;easter;people;person;moment;distancing;help;staying;feel;safe;free;hard;begin;command;heres;process;general;whenever;americans;country;unfortunately;house;community;7;black;future;2020;working;precautions;service;force;best;salons;policies;lost
colorado;0;6;12;2;4;4;2;8;6;2;4;8;2;2;6;6;2;4;2;2;2;2;0;0;0;2;0;0;0;0;0;2;4;2;0;2;2;0;0;2;0;0;4;0;0;4;2;4;2;0;2;2;2;0;0;0;0;6;2;4;2;0;4;0;0;2;2;0;2;0;2;0;0;0;0;0;4;0;6;2;2;0;0;0;0;0;2;2;2;0;0;0;2;0;2;4;2;0;4;0
home;0;0;2;18;8;12;2;4;4;2;2;0;4;0;0;0;0;0;4;2;0;2;0;0;0;8;2;0;2;6;0;0;0;0;0;2;4;0;8;0;4;2;0;0;0;0;0;2;2;2;0;0;0;0;4;0;2;4;0;2;0;0;2;2;4;2;0;0;0;0;0;2;6;0;0;2;0;4;4;4;0;0;4;0;0;0;2;2;0;0;0;2;0;4;2;2;4;4;0;0
covid19;0;0;0;4;2;2;2;8;2;2;10;8;4;2;0;10;6;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;6;0;0;0;0;0;2;4;0;0;6;0;0;0;0;0;2;2;0;6;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
stay;0;0;0;0;6;8;2;4;0;2;2;0;4;0;0;0;2;0;4;4;0;4;0;0;0;6;0;0;2;6;0;0;0;0;0;2;2;0;8;0;6;4;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;0;2;4;2;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0
continue;0;0;0;0;0;4;4;0;2;8;2;0;0;2;0;0;0;0;2;0;4;2;0;0;2;4;2;0;2;6;0;0;0;0;0;0;2;0;2;0;4;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;4;2;4;0;0;0;2;2;2;0;0;2;2;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0
#doingmypartco;0;0;0;0;0;0;2;2;4;2;4;0;2;0;2;0;0;0;2;0;0;2;0;0;0;8;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;2;2;0;0;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
coloradans;0;0;0;0;0;0;0;2;4;4;2;2;2;4;0;0;0;2;0;0;4;2;4;4;4;0;2;2;2;4;4;2;0;2;4;0;0;0;0;2;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;2;0;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;0;6;10;2;0;0;8;2;0;6;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;2;0;2;4;0;0;2;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0
state;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;2;2;0;2;0;2;4;0;0;2;2;0;2;2;0;2;0;0;2;0;0;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;2;0;2;2;2;4;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0
masks;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;2;2;4;0;0;0;2;0;2;0;2;4;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#covid19colorado;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;6;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;2;2;2;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;2;2;0;2;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;2;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;4;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
george;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;8;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0
peaceful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0
individuals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
#saferathome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
violence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
