;#covid19;iowa;spread;updateread;limit;proclamation;measures;todays;new;dr;health;signed;additional;public;iowans;help;part;fauci;@potus;state;continuing;thank;plants;challenge;declaration;association;school;#testiowachallenge;tomorrow;test;play;critical;food;closures;fight;states;role;appreciate;sundays;may;schools;earlier;prayer;support;assessment;visit;efforts;update;team;provide;emergency;combat;athletic;keeping;good;heres;high;holding;supply;ias;social;providing;hit;@thecarsonkingf1;rmcc;named;effect;action;@iowanatguard;launch;launching;working;announced;1100;biofuels;class;easy;forward;w;processing;able;double;ashton;reliefread;manage;reopen;kicking;call;resuming;unite;pork;productive;@chuckgrassley;conference;49;people;supportive;site;mitigate;@mikehousholder
#covid19;0;0;12;10;8;0;4;8;0;4;0;0;2;0;4;4;6;2;4;2;2;2;0;0;0;0;0;0;2;0;4;0;0;4;4;2;4;4;4;0;2;0;0;0;0;0;4;4;4;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
iowa;0;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;0;2;2;0;0;0;0;0;0;4;2;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0
spread;0;0;0;0;8;0;2;0;0;0;0;0;2;0;0;4;4;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;4;2;0;4;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
updateread;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
limit;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
proclamation;0;0;0;0;0;0;4;0;8;0;6;8;4;4;0;0;0;0;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
measures;0;0;0;0;0;0;0;0;4;0;2;4;2;2;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;6;8;4;4;0;0;0;0;0;4;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
dr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0
