;iowa;#opportunityliveshere;iowans;state;thank;next;life;2020;year;opportunity;work;funding;@potus;decade;communities;new;@futurereadyiowa;workforce;trade;taxes;agreement;condition;reduce;future;morning;1;ia;people;act;historic;take;ingenuity;lets;strong;entire;learning;justice;workbased;10;million;vision;students;opportunities;health;phase;support;session;increase;schools;general;tax;ready;path;making;proud;thousands;school;legislative;families;ensure;mental;investment;care;#usmca;great;cut;court;comes;nation;build;seize;promote;calling;china;additional;access;across;help;providing;able;best;reciprocal;incredible;another;bold;believe;part;iowas;address;proposing;@potuss;citizens;regulation;fund;leave;focus;looking;steps;days;world
iowa;0;10;4;8;2;6;4;8;4;2;2;6;6;2;2;4;2;4;8;2;8;0;2;0;6;4;0;2;2;4;0;2;0;4;6;4;0;4;0;4;0;4;6;2;4;0;0;0;2;0;0;0;0;2;2;2;0;2;2;0;2;2;0;6;4;2;2;6;6;6;4;4;0;4;2;0;2;0;0;0;4;6;2;2;0;0;2;0;0;0;4;2;0;2;0;0;0;0;0;2
#opportunityliveshere;0;0;6;12;0;10;2;6;2;4;0;8;0;8;2;4;2;6;0;4;0;4;4;2;2;0;2;4;6;2;2;4;2;4;0;0;0;0;2;4;2;0;2;2;0;2;2;2;0;0;0;0;4;0;0;4;0;2;2;0;2;0;0;0;0;2;0;2;0;2;0;0;2;0;2;2;0;0;0;2;0;0;0;4;0;0;4;0;2;0;0;2;0;2;0;4;2;0;0;2
iowans;0;0;0;2;2;10;2;6;10;4;0;0;0;2;0;0;4;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;2;0;0;0;0;2;0;4;0;0;4;0;0;0;2;4;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;4;0;0;0
state;0;0;0;0;0;4;4;6;0;0;0;4;0;4;2;2;0;0;0;0;0;8;2;0;6;0;0;0;0;0;4;0;0;4;0;2;0;2;4;2;2;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;2;2;2;0;4;0;4;2;0;0;0;2;0;0;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;6;0;6;0;2;0;0;0;2;0;0;2;0;2;2;0;6;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;4;0
next;0;0;0;0;0;0;0;6;8;2;0;0;0;10;0;2;0;2;0;2;0;4;0;0;0;0;2;4;2;0;2;4;6;2;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;4;0;0;6;0;2;0;2;2;0;0;0;0;2;0;0;2;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0
life;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
opportunity;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;6;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2
@potus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;0;0;0;2;4;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;4;0;0;2;0;4;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0
decade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;2;4;0;0;2;4;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
