;iowa;#covid19;iowans;health;thank;signed;new;proclamation;public;county;test;appreciate;great;emergency;measures;@potus;continuing;spread;food;work;businesses;state;todays;part;#99countytour;covid19;updateread;grateful;additional;continue;team;statement;sites;dr;freedom;full;disaster;meat;support;@iowanatguard;community;forward;limit;supporting;clinic;pandemic;iowas;2020;thanks;outstanding;proud;country;program;visit;week;managers;fauci;rural;site;efforts;partnership;reopen;serve;find;states;help;welcome;pass;shows;working;behind;message;economy;governors;care;provide;conversation;class;@whitehouse;effort;challenge;response;legislation;impressed;assessment;vulnerable;dallas;recovery;role;processing;association;declaration;mike;status;meeting;providing;workers;moines;started;entire
iowa;0;2;12;6;2;4;6;4;4;6;12;10;8;2;4;4;0;0;2;2;2;0;0;0;0;4;0;2;0;6;2;2;4;0;0;2;0;0;4;6;2;0;0;2;6;2;0;2;2;2;2;0;6;2;4;2;0;4;6;2;4;4;4;2;0;0;2;4;4;2;0;0;2;2;0;0;0;2;0;0;0;0;4;0;0;0;4;0;0;0;4;0;2;2;0;0;0;2;2;2
#covid19;0;0;4;2;2;0;0;0;2;2;2;6;0;2;4;6;2;12;0;0;2;2;8;6;2;0;10;4;2;4;4;0;2;4;0;0;0;0;0;2;0;0;8;4;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;4;0;0;0;2;4;0;0;0;0;0;2
iowans;0;0;0;2;0;0;0;0;2;2;4;4;4;2;2;0;2;0;2;6;0;2;2;2;2;0;0;2;0;4;0;2;2;0;0;2;0;0;2;0;0;0;0;0;4;0;0;2;2;0;0;0;4;0;2;2;0;0;2;2;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0
health;0;0;0;0;2;14;14;14;18;6;2;2;0;14;8;0;10;0;0;0;6;4;0;0;2;2;0;4;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0
thank;0;0;0;0;0;0;0;0;2;4;2;2;0;2;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0
signed;0;0;0;0;0;0;18;18;12;0;0;0;0;8;10;0;10;0;0;0;6;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;18;12;2;2;0;0;8;10;0;10;0;0;0;6;4;0;0;0;2;0;0;8;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0
proclamation;0;0;0;0;0;0;0;0;12;2;0;0;0;8;10;0;10;0;0;0;6;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0
public;0;0;0;0;0;0;0;0;0;6;2;2;0;14;8;0;10;0;0;0;6;4;0;0;2;2;0;4;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0
county;0;0;0;0;0;0;0;0;0;0;6;4;0;6;0;0;0;0;2;0;0;0;0;0;2;4;0;4;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;4;2;0;0;2;0;0;0;0;0;2;6;0;2;2;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0
test;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;0;2;6;2;0;0;2;0;0;0;2;0;2;2;0;2;6;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0
appreciate;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;0;0;0;0;2;2;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;2;2;0;2;4;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;0;2;4;0;0;2;2;0;4;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;8;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0
@potus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;6;0;2;2;0;0;0;2;2;2;0;2;0;4;0;4;2;0;0;2;0;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;2
continuing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4;4;0;2;2;0;2;0;0;0;0;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
