;west;#wvgov;governor;virginia;state;@jimjusticewv;president;@realdonaldtrump;great;virginians;coronavirus;jobs;covid19;life;across;justice;novel;#covid19;year;law;online;order;@wv4life;reelection;announced;numbers;yesterday;address;states;decade;new;#covid2019;job;unborn;economy;#prolife;watch;joined;seen;forward;work;businesses;employment;economic;thousands;paperwork;friend;thank;information;prevent;best;@nrlc;help;support;program;#wvpol;people;issued;abortion;child;executive;virginias;continue;file;candidacy;2019;senate;week;visit;#sotu;trump;@wvlegislature;bornalive;home;strong;working;defend;survivors;leaders;seniors;act;welcome;2020;protection;@jimjusticewvs;provide;jim;#wvcovid19;county;recent;100;office;leadership;public;country;sign;safe;month;hand;stronger
west;0;42;38;64;22;30;20;16;14;20;8;10;8;8;16;14;6;8;12;0;2;4;4;6;8;10;6;4;6;10;8;6;10;0;6;4;4;6;8;6;4;8;4;6;4;2;8;0;4;2;8;0;2;6;2;8;8;0;2;0;2;8;2;2;2;6;4;4;4;8;8;0;2;6;4;6;0;2;2;2;2;4;8;2;4;6;8;2;6;4;2;0;6;2;2;0;4;4;4;2
#wvgov;0;0;60;32;22;44;16;14;12;12;4;12;6;16;4;12;2;6;10;8;6;4;8;14;6;8;8;6;8;6;8;0;6;10;4;10;6;8;4;8;6;2;6;4;6;6;4;6;4;2;6;4;2;8;6;10;6;2;6;8;4;0;2;8;4;6;6;6;2;0;2;4;6;4;4;4;8;6;4;0;6;4;4;6;4;2;6;6;6;0;6;4;2;4;6;4;2;4;0;0
governor;0;0;0;24;22;58;16;16;6;18;4;4;6;16;6;16;0;6;4;6;6;6;8;10;4;6;2;8;10;2;0;0;4;10;6;10;6;6;2;6;4;2;0;0;2;4;4;2;4;0;6;4;2;8;2;6;2;4;6;8;2;0;2;6;4;2;6;2;4;0;2;4;6;8;4;2;8;6;4;2;6;4;4;6;6;4;8;6;4;2;2;2;0;2;6;4;2;2;0;4
virginia;0;0;0;0;12;18;16;14;12;2;6;6;6;2;12;10;4;6;8;0;2;2;2;4;2;6;6;4;4;6;6;6;6;0;4;2;4;4;4;0;4;6;4;6;2;2;6;0;2;2;4;0;2;4;2;6;8;0;0;0;2;0;2;2;2;6;2;4;2;4;6;0;0;2;2;2;0;0;2;2;0;2;6;0;4;4;6;0;6;4;2;0;6;2;2;0;2;2;2;2
state;0;0;0;0;0;18;8;6;10;8;2;6;2;2;6;2;0;2;8;2;6;0;0;4;4;4;2;8;2;6;2;0;6;2;2;2;4;4;6;4;4;0;2;2;6;2;0;6;0;0;6;0;2;2;0;2;0;0;2;0;0;4;0;2;2;2;2;2;0;2;0;2;2;2;4;2;0;2;0;2;2;4;2;2;4;0;0;0;0;0;0;6;2;4;4;0;4;2;0;4
@jimjusticewv;0;0;0;0;0;0;12;14;6;16;4;4;4;8;6;10;0;4;2;2;6;6;6;10;4;4;2;4;6;0;0;0;2;4;2;8;8;6;2;4;2;2;0;0;2;4;2;0;2;0;2;2;0;8;2;4;2;4;4;2;2;0;2;6;4;0;4;2;2;0;0;4;4;8;4;0;2;4;4;0;4;4;4;4;0;4;4;6;2;2;2;2;0;0;4;0;2;2;0;2
president;0;0;0;0;0;0;0;24;6;4;0;6;0;4;2;6;0;0;0;0;2;0;2;4;0;0;0;4;4;0;0;0;0;0;6;2;2;4;0;6;4;2;0;2;0;4;6;2;0;0;4;0;2;6;0;4;2;2;0;0;0;2;2;4;6;0;8;4;0;6;8;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;4;0;2;4;0;2;2;0;4;0;0;0;2;2
@realdonaldtrump;0;0;0;0;0;0;0;0;8;2;0;6;0;0;2;6;0;0;0;0;2;0;0;8;0;2;2;4;4;0;0;0;0;0;8;0;2;0;0;4;2;2;0;2;2;6;8;0;0;0;4;0;2;6;0;4;2;2;0;0;0;2;0;6;6;0;2;2;0;4;6;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;2;0;0;4;0;0;0;2;2
great;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;2;0;2;0;0;4;0;0;4;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;0;2;4;0;4;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;2;0;2;2;2;2;2;0;0;0;2;0
virginians;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;2;0;0;2;4;2;2;4;0;0;0;2;0;0;0;0;2;2;2;2;2;0;4;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;2;2;0;2;6;2;4;0;2;2;0;2;2;2;2;0;4;2;2;0;0;0;0;0;0;0;0;2;2;2;0
