;covid19;help;canada;support;country;work;people;together;canadians;across;safe;spoke;working;new;business;call;workers;update;home;details;live;watch;health;businesses;emergency;world;taking;making;family;thank;everyone;stay;pandemic;response;thanks;morning;giving;economy;click;talked;countries;canadian;continue;protect;focused;fight;benefit;tune;food;subsidy;steps;care;wage;year;communities;friends;impacts;important;measures;earlier;helping;situation;president;spread;families;virus;keeping;apply;announcing;week;international;meeting;able;latest;phone;jobs;difficult;economic;global;thoughts;talk;good;times;hard;million;forward;strong;community;prime_minister;announced;loved;leaders;lives;celebrate;whether;women;front;info;provinces;government
covid19;0;110;88;86;60;72;86;62;36;52;122;120;60;30;32;66;34;50;20;44;44;54;50;26;28;46;56;16;20;12;18;10;60;58;18;28;44;26;28;54;50;6;22;44;20;54;18;40;12;18;40;20;18;8;14;2;64;14;28;28;18;48;38;50;8;52;12;6;22;10;48;6;6;30;32;8;8;18;38;2;10;10;12;20;14;8;18;14;30;20;8;18;4;2;10;4;16;14;6;14
help;0;0;88;94;80;48;72;38;46;70;54;14;36;56;74;18;54;30;26;46;34;34;28;62;62;10;34;36;24;20;24;20;32;22;16;10;32;12;40;6;6;16;8;24;10;20;34;34;12;38;28;18;38;2;32;18;18;8;18;12;8;16;2;26;10;10;12;18;28;20;4;6;20;10;6;30;24;14;6;2;10;8;24;12;16;10;4;18;2;26;4;4;4;2;14;14;8;16;6;12
canada;0;0;0;46;38;50;60;46;38;50;34;50;32;32;56;32;28;16;20;34;18;16;26;36;112;40;22;20;18;16;14;16;8;46;14;20;8;16;18;14;28;20;10;18;12;24;54;14;8;42;10;12;42;18;10;10;10;12;10;20;12;10;18;18;8;10;12;26;18;18;16;14;16;10;8;18;4;14;8;4;8;6;6;8;8;8;14;8;18;8;4;10;0;4;14;12;6;16;6;10
support;0;0;0;0;64;60;44;42;40;54;50;46;58;42;36;22;44;38;20;34;44;38;20;34;24;10;32;18;22;4;20;14;28;18;10;14;36;38;18;8;6;8;14;24;20;8;12;34;16;10;20;10;16;6;14;2;20;12;24;2;12;12;8;8;14;6;8;8;38;14;4;10;4;24;10;8;22;10;4;0;6;6;18;10;10;8;8;12;0;24;2;6;4;2;12;6;2;22;16;8
country;0;0;0;0;0;52;40;32;56;206;42;20;44;28;22;14;32;32;8;12;22;30;20;52;12;16;16;32;20;16;26;10;12;16;18;12;28;20;10;8;4;24;16;20;14;12;6;12;12;14;14;8;16;4;30;4;20;14;6;6;14;16;2;6;14;8;6;8;14;6;0;10;6;12;0;24;14;8;2;8;8;18;10;12;16;4;8;18;2;10;8;8;4;20;4;10;8;12;8;6
work;0;0;0;0;0;0;54;76;38;42;42;52;26;22;10;28;20;32;6;26;24;20;24;16;8;34;12;14;12;38;22;8;28;12;22;14;16;30;6;22;28;12;38;12;14;16;8;22;8;4;12;10;4;8;10;8;20;20;2;10;4;12;14;8;8;16;10;2;6;16;12;12;6;18;10;8;6;14;18;10;14;12;2;20;10;8;6;8;14;8;6;16;6;4;6;6;12;4;16;14
people;0;0;0;0;0;0;0;40;38;42;50;54;28;24;12;36;22;8;14;12;12;8;16;16;14;28;22;14;10;10;8;4;24;8;18;18;12;8;10;40;30;2;14;24;14;16;10;8;8;18;18;12;18;2;8;10;12;12;12;14;18;6;32;12;12;10;6;10;8;8;24;16;14;6;20;16;2;12;14;12;16;8;4;8;22;10;16;12;20;4;8;10;10;4;8;6;6;0;4;2
together;0;0;0;0;0;0;0;0;42;22;34;64;80;18;2;56;6;4;18;18;8;10;16;16;2;28;12;8;20;8;24;22;14;2;16;26;0;22;8;24;30;10;22;12;16;26;0;2;4;0;12;10;2;20;8;16;16;8;2;8;6;12;22;8;8;12;6;0;2;6;12;12;12;0;24;4;8;14;20;0;14;8;8;2;6;16;20;6;14;4;6;16;6;20;8;0;2;6;6;6
canadians;0;0;0;0;0;0;0;0;0;44;24;18;30;34;2;12;12;16;20;12;12;8;24;14;2;10;18;10;12;18;14;4;2;20;14;12;14;10;2;2;2;10;14;18;10;6;6;16;4;0;10;4;0;4;6;16;8;8;14;6;10;10;2;12;24;6;12;2;10;8;2;10;6;8;6;10;4;4;0;16;12;6;10;12;18;10;4;6;4;6;18;12;10;4;8;4;2;0;2;6
across;0;0;0;0;0;0;0;0;0;0;38;26;38;30;16;16;30;26;12;12;16;20;18;48;12;16;16;20;10;12;14;10;6;12;18;16;22;18;4;8;2;10;18;12;12;8;8;12;16;12;16;8;12;6;28;2;18;16;6;14;20;16;0;10;12;4;4;6;14;8;0;8;8;10;2;18;8;6;2;2;6;18;6;12;10;4;4;4;2;10;2;10;4;8;2;4;4;10;6;6
safe;0;0;0;0;0;0;0;0;0;0;0;40;62;20;6;40;34;38;26;28;34;40;42;10;4;18;44;18;12;18;22;34;14;26;12;8;32;34;18;28;10;10;10;10;28;18;4;14;4;0;34;22;0;6;18;4;16;4;26;8;12;16;14;28;6;16;32;4;10;16;12;12;4;10;14;0;2;8;8;0;12;0;2;6;4;6;10;12;8;14;10;8;6;4;6;2;30;10;12;6
spoke;0;0;0;0;0;0;0;0;0;0;0;0;40;6;0;94;6;0;6;28;0;2;12;6;0;32;22;8;0;2;8;6;28;10;10;30;0;16;12;40;46;6;14;22;12;14;0;0;0;0;14;2;2;2;0;6;32;10;16;40;0;16;46;14;10;26;10;0;0;2;32;8;0;16;50;4;4;12;28;6;8;4;4;4;0;4;14;2;30;4;0;14;0;0;0;2;0;0;4;8
working;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;34;22;10;14;16;10;10;22;14;2;16;16;14;14;16;14;22;12;12;6;14;4;18;10;12;14;8;16;6;24;18;2;6;12;2;10;12;8;2;16;2;8;2;8;4;6;14;8;12;2;10;8;0;10;12;4;12;10;8;14;2;8;12;6;4;8;8;6;16;8;14;12;6;8;14;8;14;2;2;6;4;12;10;22;6
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;18;12;10;20;22;22;16;22;10;10;8;10;14;4;18;18;8;10;6;8;10;4;4;6;12;8;6;8;10;8;10;14;0;8;6;8;8;18;10;2;4;4;14;0;8;4;2;4;6;2;2;4;32;2;6;0;8;6;2;16;10;4;2;0;2;14;6;8;4;8;6;4;6;12;2;0;4;10;8;6;2;14;4;8
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;36;18;2;14;20;16;4;26;50;0;8;6;10;0;2;0;8;0;0;6;12;4;24;0;0;4;2;6;4;2;0;18;4;34;4;2;34;6;6;2;2;2;14;0;6;8;0;0;0;2;2;22;6;2;0;0;10;8;0;10;12;8;0;2;4;4;8;6;0;2;0;6;0;2;0;2;0;0;12;0;0;0;4;10
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;16;0;0;6;4;0;18;16;6;0;0;6;10;18;6;8;22;0;10;10;40;22;0;16;12;16;12;2;0;0;0;8;2;2;2;2;4;14;4;10;30;2;14;34;8;6;14;6;0;0;2;34;6;0;10;22;2;2;6;18;0;10;12;2;0;0;8;10;2;16;6;2;8;0;0;0;0;0;0;4;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;14;12;14;34;36;24;4;10;8;2;14;4;20;6;4;12;2;12;12;14;0;0;8;4;14;8;4;4;12;6;32;8;30;32;0;6;2;2;4;10;0;8;2;0;4;0;4;2;8;10;6;2;2;8;4;0;16;4;2;2;0;2;10;10;6;2;0;4;0;0;8;8;0;6;0;2;0;38;4;4;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;62;72;8;10;4;0;26;8;14;0;6;2;20;18;0;12;72;22;0;0;0;2;8;2;18;0;2;56;2;4;22;4;4;0;2;0;6;2;6;4;6;10;0;2;6;0;8;0;14;12;0;0;0;28;0;4;10;0;0;2;6;0;8;0;8;0;0;0;0;0;2;4;0;0;2;0;8;14;20;8
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;12;0;2;14;6;6;4;10;8;32;4;4;10;4;2;0;4;2;2;10;4;4;4;8;4;2;4;2;0;14;2;10;2;10;0;8;4;0;10;0;2;10;2;4;2;0;2;6;0;8;10;0;0;0;2;2;0;2;6;4;2;2;0;2;6;2;0;2;8;6;2;6;12;4;6;4;2;0
details;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;6;20;16;6;14;2;2;0;0;4;6;16;0;4;12;8;26;6;6;2;4;2;4;10;8;20;2;4;12;2;6;0;8;0;6;4;12;10;6;6;0;6;6;8;2;8;24;6;8;8;4;4;12;6;8;4;14;0;6;0;8;2;0;2;4;0;4;6;0;8;0;0;2;0;4;2;4;6
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;10;8;6;8;28;6;22;0;8;2;14;12;0;6;38;18;2;0;2;6;0;4;10;2;6;22;4;4;20;4;4;0;4;6;6;0;12;0;6;8;0;4;2;0;4;0;32;4;0;2;0;14;0;4;18;4;2;8;4;2;12;2;0;0;2;4;0;2;4;2;2;0;8;0;6;14;8;6
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;6;2;28;6;14;0;12;4;12;16;0;10;40;16;6;0;4;6;0;2;10;2;8;22;4;2;20;4;2;0;0;0;4;0;12;0;8;12;0;4;2;0;4;0;30;6;0;2;2;12;0;2;18;4;2;2;6;0;10;2;0;0;0;2;0;2;6;2;0;0;2;0;8;22;8;4
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;16;20;8;8;14;8;6;2;10;6;2;6;4;4;4;8;6;2;26;6;14;2;4;4;0;12;42;0;2;6;2;6;4;8;4;2;6;4;8;2;6;10;2;8;2;0;2;4;2;6;2;2;6;6;0;2;6;2;4;6;2;0;4;0;8;2;4;2;2;4;2;14;2;6;6
