;canada;canadians;across;work;country;people;spoke;meeting;new;together;climate;canadian;service;blockades;working;morning;opportunities;change;women;call;thanks;focused;economic;group;support;rail;future;supporting;trade;resolution;president;everyone;talk;earlier;premier;building;leaders;world;home;create;details;countries;peaceful;continue;response;security;poverty;lifted;ethiopia;good;help;incident;friends;million;week;2015;next;thoughts;discussed;address;families;housing;strong;ongoing;restore;prime_minister;build;ties;safe;priorities;celebrate;child;shared;creating;economies;jobs;increasing;businesses;theres;year;passing;place;men;senegal;matter;announced;development;thank;important;family;yesterday;ottawa;talked;conversation;benefit;communities;live;fighting;gender;real
canada;0;12;18;10;8;20;16;10;6;10;12;8;4;4;6;8;4;8;10;4;6;4;6;6;2;0;4;8;14;2;12;4;4;8;4;8;2;10;10;2;6;6;2;6;4;6;4;2;6;2;8;4;6;4;4;2;4;2;8;2;2;2;6;0;2;6;2;6;2;4;0;4;8;2;4;2;4;6;0;2;2;4;6;4;2;2;6;4;2;4;4;2;4;4;8;4;2;4;2;2
canadians;0;0;14;10;20;10;2;6;6;8;4;4;8;4;6;2;6;4;4;0;6;8;2;10;8;4;8;2;0;2;0;8;4;2;2;2;4;0;6;8;2;0;2;6;8;2;12;8;0;4;6;8;0;10;4;10;4;0;4;2;6;0;0;0;2;2;4;0;8;2;4;4;2;0;0;2;0;2;0;0;0;0;4;2;4;2;0;4;0;0;0;4;0;0;4;0;2;2;2;4
across;0;0;0;14;36;10;16;8;2;0;2;4;18;18;6;8;6;2;0;8;4;6;4;6;4;14;4;4;0;8;0;4;0;12;12;2;6;2;6;4;6;0;6;6;6;2;4;2;2;6;4;6;0;2;4;2;2;0;6;8;2;2;0;6;8;2;6;0;6;2;0;4;0;6;0;4;0;4;4;2;0;6;0;2;0;4;0;4;0;0;2;4;2;0;6;2;2;0;0;2
work;0;0;0;0;14;10;12;4;6;14;6;6;8;10;6;6;6;6;4;4;6;4;6;2;6;8;2;2;2;10;0;4;6;2;2;2;8;6;0;6;4;0;10;6;2;6;0;2;6;4;4;2;4;0;4;2;4;4;0;6;2;0;2;4;6;4;6;0;0;4;2;0;2;2;4;0;0;2;6;0;4;2;4;2;2;2;2;2;4;2;4;4;2;2;2;6;2;2;2;4
country;0;0;0;0;0;12;12;6;2;4;2;8;14;14;4;8;6;2;0;8;4;6;2;8;4;14;2;4;0;6;2;6;2;6;8;0;4;2;2;4;2;0;4;6;6;0;6;4;0;8;2;6;0;4;0;4;0;4;0;6;2;0;2;6;8;2;4;0;4;2;4;4;2;4;0;4;0;4;2;2;4;2;0;0;0;2;0;0;0;0;2;4;2;0;4;2;2;2;0;2
people;0;0;0;0;0;0;2;6;8;4;6;0;2;0;2;4;8;4;2;4;4;2;6;0;0;0;4;6;8;0;8;2;2;2;2;2;2;8;6;2;0;6;2;2;0;2;8;6;2;4;6;0;4;8;4;6;2;2;0;0;2;0;4;0;0;2;6;4;0;2;2;4;0;4;4;2;0;4;4;2;2;0;2;2;4;0;8;4;4;0;0;2;8;2;4;2;2;2;0;6
spoke;0;0;0;0;0;0;0;4;0;8;2;4;12;14;6;6;4;2;2;12;2;2;2;2;6;10;0;4;6;12;4;0;2;8;14;0;0;0;4;0;2;4;6;4;2;2;0;0;2;2;0;2;2;0;2;0;0;0;8;0;0;0;4;8;4;6;0;2;0;2;0;0;4;4;4;4;4;2;2;0;0;2;0;2;0;2;0;0;0;0;6;0;0;2;0;0;0;4;2;0
meeting;0;0;0;0;0;0;0;0;0;0;8;2;2;0;4;2;4;4;2;2;0;4;4;6;0;0;0;2;6;0;6;0;2;0;0;0;2;0;6;2;6;4;0;0;6;4;0;0;2;2;0;6;0;0;2;0;2;0;6;6;0;0;2;0;0;4;2;4;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;4;4;0;2;2;2;0;0;0;4;0;0;2;0;2;0;0
new;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;6;2;2;0;0;4;2;0;2;0;2;2;0;0;2;2;2;0;0;2;0;4;0;4;2;2;0;0;0;4;0;0;0;4;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;4;2;2;0;2;2;2;2;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;8;4;2;2;14;4;4;8;0;4;2;2;2;0;0;2;6;0;6;4;2;4;4;0;2;2;4;2;0;6;2;0;2;4;0;2;0;0;6;2;0;0;4;2;2;0;4;0;0;0;0;0;2;2;2;4;4;0;0;4;4;0;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;2;6;2
