;spoke;canadians;call;new;canada;help;work;people;together;iran;investigation;working;ottawa;earlier;world;family;life;nafta;across;national;conversation;morning;talk;year;safe;president;climate;meeting;forward;friends;support;details;afternoon;change;everyone;families;loved;celebrating;situation;victims;thorough;hope;tragic;flight;congratulations;talked;continue;focused;phone;condolences;thoughts;growing;country;tragedy;full;crash;plane;answers;lost;next;jobs;update;fight;affordable;making;great;live;developments;community;good;news;stand;communities;summary;iraq;cabinet;matter;looking;canadian;weeks;days;watch;stay;role;house;press;@harjitsajjan;thanks;ones;incident;talking;john;latest;happy;australia;theatre;mourning;remember;lives;mental_health
spoke;0;2;20;2;4;0;2;2;6;10;14;4;0;10;2;0;2;2;0;0;2;4;2;0;0;8;0;0;0;0;2;14;6;0;0;4;0;0;4;2;8;2;8;4;0;4;0;0;10;2;2;0;0;6;2;4;4;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;6;2;0;0;0;0;4;0;0;2;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0
canadians;0;0;6;14;6;10;6;4;6;4;2;4;0;0;0;2;0;8;4;2;4;6;0;2;0;2;0;2;4;4;4;0;2;0;0;4;4;0;4;2;0;2;2;4;4;2;4;0;0;0;2;0;0;0;0;2;2;6;4;0;2;0;0;0;4;0;0;4;0;0;2;2;2;2;2;0;0;2;0;2;2;0;0;2;4;0;4;0;2;2;2;0;6;0;2;0;2;0;2;4
call;0;0;0;0;8;2;6;0;10;14;12;4;0;12;0;0;0;0;0;0;6;2;0;0;0;8;0;2;0;2;2;4;4;0;0;4;2;0;4;0;8;0;6;6;0;2;4;2;6;0;0;0;0;8;2;4;4;6;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;10;4;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
new;0;0;0;0;6;6;2;0;2;0;0;4;2;0;2;2;2;14;8;2;2;4;0;6;2;0;2;0;6;0;2;0;2;2;4;0;0;6;0;0;0;2;0;0;4;2;0;2;0;0;0;4;6;0;2;0;0;0;0;0;8;0;2;2;2;0;0;2;2;4;0;0;2;0;0;0;0;4;0;0;0;0;0;4;4;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0
canada;0;0;0;0;0;4;6;2;6;6;4;2;0;4;8;2;0;2;2;0;2;2;0;4;0;4;0;4;2;2;6;0;0;0;0;2;2;6;0;0;4;0;4;0;4;0;2;0;2;2;0;2;0;2;0;2;2;0;2;0;2;0;0;0;2;2;2;0;2;0;2;0;0;2;2;0;0;2;4;2;0;0;0;0;2;0;0;2;2;2;2;2;0;2;2;0;0;0;0;2
help;0;0;0;0;0;0;2;6;2;2;0;2;0;2;2;0;2;4;4;0;0;2;2;0;10;0;4;2;2;8;6;0;0;4;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;6;0;0;0;0;2
work;0;0;0;0;0;0;0;0;10;2;4;2;4;0;0;2;2;0;0;2;4;0;2;4;2;4;2;2;2;0;2;0;2;2;0;4;2;0;0;2;2;2;0;4;0;2;6;0;2;0;0;0;2;0;0;2;0;6;2;2;0;2;2;2;0;2;0;2;4;0;0;0;2;2;2;0;2;0;0;0;4;0;0;2;0;0;2;4;0;0;4;0;0;0;0;0;0;0;0;2
people;0;0;0;0;0;0;0;0;6;0;2;6;0;2;0;2;4;0;2;0;0;4;6;0;2;2;6;6;4;2;6;2;0;6;0;2;4;0;0;6;2;2;4;0;0;2;0;2;2;6;2;0;0;2;4;2;2;0;4;2;2;0;2;2;2;0;0;0;0;2;2;2;0;0;0;2;4;2;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;4;6;6;2
together;0;0;0;0;0;0;0;0;0;6;4;12;0;2;0;0;0;0;0;2;2;2;2;0;0;6;4;4;4;0;2;2;2;4;0;4;2;0;2;2;2;0;2;2;2;2;4;2;6;0;0;0;0;2;0;2;2;6;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;4;2;0;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
iran;0;0;0;0;0;0;0;0;0;0;10;4;4;6;0;0;0;0;0;4;0;2;0;0;0;4;0;2;0;0;4;4;4;0;0;6;2;0;4;2;8;0;8;4;0;0;2;0;4;2;0;0;0;6;0;8;8;4;2;0;0;6;0;0;2;0;4;4;0;0;0;0;0;4;0;0;0;0;0;6;0;4;2;0;0;4;2;0;0;6;0;0;4;0;2;4;2;0;0;0
