;work;covid19;country;people;canada;help;business;safe;support;spoke;update;together;subsidy;wage;call;pandemic;working;economy;morning;restart;across;new;emergency;making;world;watch;countries;businesses;live;click;talked;fight;giving;reopen;workers;canadians;safely;everyone;president;employees;details;rehire;celebrate;health;steps;million;used;community;indigenous;happy;provinces;focused;vulnerable;quebec;territories;latest;keeping;impacts;apply;important;taking;global;tune;equipment;take;build;protect;personal;supporting;talking;job;canadas;owners;ready;earlier;hard;virus;forward;able;premiers;could;week;signed;year;rent;lets;using;continue;thank;available;national;head;learn;women;running;needed;programs;protective;communities;doors
work;0;12;18;18;12;10;2;12;18;8;20;20;2;2;8;10;4;16;8;16;10;6;2;6;10;10;10;6;10;2;6;2;12;6;4;4;10;10;6;0;4;2;2;6;4;2;0;4;4;0;12;6;4;0;12;10;4;8;0;4;4;6;12;6;0;6;2;6;8;6;2;10;0;2;4;8;2;4;0;2;0;4;2;0;0;2;2;6;8;2;0;10;2;2;2;2;2;6;2;2
covid19;0;0;8;14;14;8;2;8;8;28;2;12;4;4;22;12;14;2;8;2;2;0;4;2;14;2;14;0;2;6;12;12;0;0;4;0;2;6;14;0;4;0;0;4;8;2;0;4;0;0;0;2;6;0;0;4;2;10;0;0;6;8;2;2;2;4;8;0;2;0;2;0;0;0;12;2;10;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;4;6;0;0;0;0
country;0;0;0;10;6;12;8;8;6;2;10;2;10;10;2;4;4;6;4;6;28;4;4;10;2;8;0;14;8;2;2;4;8;6;4;2;0;6;0;6;4;4;6;0;2;0;2;6;4;6;2;0;2;4;2;4;4;0;2;2;2;2;2;0;4;6;2;0;2;0;2;6;4;0;0;6;2;0;0;2;0;4;0;0;0;4;8;4;4;2;6;2;2;6;8;0;2;0;6;6
people;0;0;0;0;8;10;10;8;12;10;6;4;12;12;6;10;4;4;4;4;8;8;4;4;4;2;6;4;2;4;6;6;4;8;6;0;6;2;8;4;2;4;0;6;6;0;8;2;2;0;4;2;4;2;4;0;2;0;6;4;6;2;6;4;0;0;8;6;10;0;4;2;2;2;4;0;2;2;4;2;2;0;0;0;0;0;4;2;0;0;4;4;4;4;0;2;2;4;0;2
canada;0;0;0;0;0;12;14;4;4;4;6;6;16;16;6;4;6;0;4;0;4;6;24;2;4;0;6;6;0;6;2;6;2;2;4;4;0;4;2;6;6;6;0;4;0;4;8;4;0;2;0;0;0;0;0;2;2;0;4;4;0;0;2;4;2;6;0;4;2;0;2;0;6;2;2;2;0;4;2;0;6;0;4;2;8;0;4;0;0;4;2;0;6;0;6;2;2;4;2;4
help;0;0;0;0;0;0;22;4;10;4;4;2;16;16;4;4;0;4;2;4;10;4;12;4;0;2;2;6;2;10;0;2;2;14;10;2;0;0;0;6;8;8;0;0;0;0;4;2;0;0;0;2;6;0;0;2;2;0;10;4;0;4;2;2;0;0;2;2;2;0;4;0;8;8;2;0;2;2;2;0;4;2;0;0;4;0;6;0;2;8;2;0;6;2;2;2;8;2;2;4
business;0;0;0;0;0;0;0;4;6;0;2;0;18;18;2;2;0;2;4;2;6;6;14;0;0;0;0;8;0;12;0;0;2;12;12;0;2;0;0;10;4;10;0;2;0;0;8;2;0;0;0;0;0;2;0;2;0;0;16;2;0;0;2;2;0;0;0;2;0;0;2;0;14;8;0;2;0;0;6;0;4;0;0;0;6;0;6;0;0;6;0;0;8;0;4;2;10;2;4;6
safe;0;0;0;0;0;0;0;0;12;6;14;6;0;0;6;2;8;16;4;16;4;0;2;8;0;10;0;4;10;2;2;2;8;8;6;2;2;4;2;0;2;0;0;6;8;0;2;0;0;0;6;8;2;0;6;4;10;0;2;2;8;0;2;6;0;2;0;6;0;4;2;4;0;2;2;2;2;4;0;6;2;2;2;0;0;0;0;0;2;0;0;6;2;0;2;4;0;6;2;2
support;0;0;0;0;0;0;0;0;0;8;14;4;2;2;4;6;2;20;2;20;0;6;4;4;2;8;4;2;8;0;2;2;8;2;6;2;10;6;4;0;8;4;0;4;6;0;2;0;0;0;6;0;2;0;6;10;2;0;4;0;6;0;8;0;0;2;4;0;0;0;0;4;2;0;0;2;0;2;0;4;0;6;0;0;0;0;0;0;2;4;0;2;2;0;0;0;4;0;2;2
spoke;0;0;0;0;0;0;0;0;0;0;0;14;0;0;22;12;10;4;4;4;0;0;0;4;12;0;12;0;0;4;6;8;0;0;0;2;2;4;12;0;4;0;0;4;6;0;0;0;0;0;2;6;8;0;2;2;2;12;0;0;4;8;0;0;2;2;6;0;2;0;0;0;0;0;10;0;10;4;0;6;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
