;canada;covid19;help;canadians;work;people;across;spoke;country;support;together;safe;home;working;new;call;details;health;family;canadian;world;spread;stay;continue;everyone;response;live;focused;businesses;meeting;thanks;friends;talk;morning;business;taking;situation;workers;watch;communities;making;earlier;climate;protect;thank;president;change;benefit;economy;talked;leaders;countries;economic;families;women;strong;impacts;measures;international;year;care;virus;important;update;good;ottawa;helping;thoughts;announced;phone;fight;forward;address;hard;future;next;opportunities;national;conversation;service;celebrate;affected;premier;whether;iran;create;emergency;matter;life;prime_minister;days;government;group;community;full;week;abroad;lost;yesterday;afternoon
canada;0;40;30;28;22;34;28;30;16;20;26;18;20;12;20;20;14;12;12;20;28;16;8;8;8;22;4;12;16;14;10;10;6;14;8;14;2;2;4;6;8;12;12;10;10;16;8;22;10;8;4;12;12;4;12;10;8;4;16;10;4;8;4;0;2;2;6;4;4;6;10;2;4;2;8;6;6;0;8;4;4;4;4;8;6;4;18;2;0;14;4;8;8;4;4;4;0;10;8;2
covid19;0;0;42;24;32;32;26;40;26;36;22;60;14;20;16;20;28;28;14;4;16;44;2;16;10;26;26;12;16;4;6;0;8;6;18;24;26;10;32;8;6;6;0;26;4;10;4;10;18;14;12;14;8;4;0;10;34;20;20;2;10;26;10;14;2;4;10;2;16;10;14;6;10;10;0;4;0;4;4;2;0;8;2;2;0;0;10;2;0;10;4;4;0;4;2;2;2;10;10;0
help;0;0;0;26;12;20;28;0;22;40;18;26;16;12;28;6;16;18;10;14;4;20;12;6;16;6;8;2;22;2;6;12;4;6;16;10;8;14;10;18;10;6;6;6;2;0;8;16;4;2;0;2;4;4;10;0;8;8;2;0;10;8;2;4;2;0;0;0;14;2;8;4;4;2;2;0;4;2;0;2;0;6;2;6;2;4;10;2;4;0;0;8;2;6;0;4;6;4;0;0
canadians;0;0;0;0;26;24;24;12;26;24;16;20;16;16;30;8;6;16;4;4;4;12;4;12;10;18;4;10;6;10;10;6;8;8;0;12;8;4;4;2;6;6;4;14;10;2;4;6;6;2;10;2;4;14;4;0;6;8;2;2;2;4;2;10;4;6;6;2;4;4;2;8;2;10;10;6;10;10;4;12;4;8;4;6;6;12;0;4;2;4;6;6;12;0;4;4;14;4;6;6
work;0;0;0;0;0;24;16;28;18;12;40;14;4;8;12;18;16;8;10;6;14;6;4;24;6;6;6;6;8;8;16;6;8;6;2;4;6;6;4;8;0;4;8;6;12;8;8;2;4;8;12;8;10;6;4;6;10;2;8;4;4;10;10;4;6;10;2;6;4;8;12;4;6;10;2;8;6;4;10;8;2;2;4;2;2;6;0;6;6;8;6;8;2;4;4;6;2;2;8;4
people;0;0;0;0;0;0;22;24;14;16;18;16;12;12;10;22;6;4;2;2;16;6;4;10;4;4;2;8;6;12;14;6;12;12;0;6;2;6;0;4;6;6;12;12;6;16;12;4;0;18;4;20;6;6;2;10;8;4;16;2;6;6;8;0;6;2;10;6;0;8;8;6;2;8;6;4;8;0;4;2;2;2;8;4;0;4;0;10;8;12;0;2;4;0;10;6;2;4;4;0
across;0;0;0;0;0;0;0;20;82;14;14;24;10;18;12;12;8;8;6;10;8;10;6;12;10;8;2;10;20;8;10;0;4;12;2;4;10;12;8;20;10;14;4;8;6;0;4;6;8;4;10;0;4;4;2;4;8;2;0;4;4;2;2;6;14;4;8;0;6;2;2;4;10;8;4;4;6;2;0;18;4;4;16;0;0;6;0;2;0;2;0;2;8;0;2;4;0;0;4;4
spoke;0;0;0;0;0;0;0;0;14;20;24;10;6;14;2;48;22;6;0;6;8;14;4;10;2;6;0;4;6;4;6;2;6;16;0;8;10;4;2;0;4;22;2;14;0;22;4;0;8;12;6;18;2;6;2;8;16;10;14;0;0;12;6;0;2;0;0;2;2;22;2;0;0;4;2;0;4;2;8;12;0;8;16;0;10;0;0;0;2;14;0;2;2;0;4;2;0;0;12;6
country;0;0;0;0;0;0;0;0;0;14;14;22;4;18;8;10;6;12;10;18;4;6;4;8;16;12;2;10;16;8;10;0;4;8;4;6;10;10;8;16;10;6;4;10;4;2;4;4;10;2;8;2;6;4;2;6;10;2;0;2;2;4;0;6;16;4;2;4;6;0;2;2;10;6;4;4;6;2;0;14;12;2;10;0;0;4;0;2;4;2;2;2;8;6;4;0;0;0;4;4
support;0;0;0;0;0;0;0;0;0;0;12;14;14;18;12;6;8;10;6;8;2;8;6;4;6;8;10;10;18;4;4;0;4;8;14;10;6;22;8;6;4;2;0;12;0;2;0;6;10;0;2;2;6;6;4;6;10;12;2;2;4;6;4;4;4;2;6;0;12;2;2;4;6;6;0;0;4;2;6;2;2;8;4;2;4;4;6;2;0;0;2;2;4;4;0;4;8;0;8;2
