kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_all,freq_all
new,15,canada,38,covid19,93,help,62,help,52,work,41,covid19,227
help,11,canadians,30,help,62,covid19,50,covid19,50,covid19,33,help,222
across,8,across,29,home,45,canada,42,support,39,people,31,canada,189
canadians,8,work,28,canada,43,support,42,country,36,country,31,support,160
nafta,8,country,27,safe,42,safe,31,canada,30,canada,30,country,159
year,8,people,23,support,42,country,30,together,29,help,28,work,149
work,7,spoke,22,canadians,32,together,29,across,29,business,26,people,139
people,7,meeting,15,health,32,working,28,working,25,support,22,across,130
ottawa,6,together,13,people,31,workers,28,work,23,safe,22,safe,128
change,6,new,13,country,30,people,27,spoke,23,spoke,21,together,124
safe,6,canadian,12,together,29,emergency,25,safe,22,together,21,canadians,121
working,6,service,12,across,28,work,23,business,22,update,21,working,116
family,6,blockades,12,working,28,business,22,canadians,21,subsidy,20,spoke,109
canada,6,climate,12,work,27,new,21,food,20,wage,19,new,101
talk,6,working,11,spread,25,across,21,people,20,call,19,business,93
growing,6,opportunities,11,stay,23,watch,20,new,20,pandemic,18,home,76
climate,6,morning,11,spoke,22,canadians,20,update,19,economy,18,workers,76
support,6,economic,10,business,21,live,19,pandemic,19,working,18,update,72
morning,5,call,10,details,20,update,19,world,18,morning,16,health,70
national,5,women,10,family,19,click,18,thank,16,new,15,details,68
good,5,change,10,taking,19,businesses,17,details,15,restart,15,live,67
meeting,5,thanks,10,response,18,spoke,17,making,15,across,15,watch,67
everyone,5,focused,10,workers,18,health,17,countries,15,emergency,14,emergency,66
world,5,future,9,impacts,18,giving,17,emergency,14,making,14,businesses,66
country,5,trade,9,care,17,details,17,watch,14,watch,13,call,65
focused,5,group,9,new,17,taking,16,workers,14,world,13,world,61
mental_health,4,rail,9,watch,17,stay,16,live,14,countries,12,taking,61
cabinet,4,support,9,virus,17,care,15,taking,13,live,12,making,57
hope,4,supporting,9,businesses,17,pandemic,15,health,12,businesses,12,family,55
making,4,resolution,8,live,16,thanks,15,steps,12,talked,11,everyone,54
forward,4,everyone,8,protect,16,month,14,tune,12,reopen,11,thank,54
news,4,world,8,measures,16,year,14,businesses,12,workers,11,pandemic,53
talked,4,premier,8,continue,16,thank,14,jobs,11,click,11,stay,53
congratulations,4,home,8,call,15,response,14,seniors,11,giving,11,response,51
house,4,create,8,canadian,15,announcing,13,call,11,fight,11,thanks,50
communities,4,president,8,economy,15,benefit,13,family,11,canadians,10,economy,48
thoughts,4,earlier,8,benefit,14,front,12,global,11,safely,10,morning,47
jobs,4,talk,8,everyone,13,tune,12,provinces,10,employees,9,click,47
fight,4,building,8,making,13,ones,12,giving,10,details,9,giving,47
conversation,4,leaders,8,helping,13,everyone,12,keeping,10,everyone,9,talked,45
affordable,4,security,7,thank,13,apply,11,prime_minister,10,president,9,countries,44
spoke,4,incident,7,world,13,family,11,able,10,impacts,8,protect,44
life,4,lifted,7,situation,13,loved,11,talked,10,happy,8,focused,43
talking,4,details,7,emergency,12,line,11,territories,9,territories,8,benefit,43
remember,3,poverty,7,communities,12,difficult,11,#canadahomeworkhelp,9,taking,8,fight,43
together,3,peaceful,7,international,11,steps,10,home,9,important,8,canadian,43
fighting,3,help,7,tune,11,able,10,difficult,9,used,8,tune,43
vancouver,3,continue,7,thanks,11,million,10,fight,9,health,8,food,42
another,3,countries,7,outbreak,11,food,10,apply,9,keeping,8,continue,41
