;maryland;hogan;testing;coronavirus;new;live;state;covid19;announces;watch;recovery;@wjz;governor;@govlarryhogan;#marylandstrong;@foxbaltimore;site;drivethru;says;larry;update;announcement;roadmap;todays;500;local;incredible;provide;april;health;people;level;17;regarding;marylanders;half;together;bipartisan;sites;goal;captioning;tests;congress;md;protect;critical;hospitalizations;outdoor;happy;nation;response;hospital;youtube;begin;tune;governments;serve;help;#covid19;@wbaltv11;available;wishing;marylands;across;stage;twitter;gov;facebook;safe;pay;patients;politics;money;launch;virus;virtual;enforcement;law;icu;deepest;increases;brave;partner;@fox5dc;@senbillcassidy;recent;tonight;ready;science;everyone;support;could;introduced;#foxnews;per;repeatedly;milestone;drop;address;center
maryland;0;10;4;10;6;0;6;6;4;0;4;8;2;4;2;2;0;4;6;2;0;0;2;0;0;0;0;0;4;2;2;4;4;0;0;2;0;0;4;2;0;2;0;0;2;2;4;4;0;4;0;4;0;2;0;0;2;0;0;2;0;0;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;2;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0
hogan;0;0;6;2;6;0;4;6;8;0;2;6;6;0;0;6;4;2;4;4;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;4;0;2;2;2;0;2;0;4;0;4;0;2;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0
testing;0;0;0;4;10;0;2;8;8;0;0;2;6;0;0;8;8;6;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2
coronavirus;0;0;0;0;4;0;2;0;2;0;0;4;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0
new;0;0;0;0;0;0;2;8;8;0;0;2;4;2;0;6;8;8;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
live;0;0;0;0;0;0;0;0;0;10;4;0;0;0;4;0;0;0;0;0;6;6;4;6;4;0;0;4;0;0;0;0;0;4;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;2;0;4;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;4;2;0;0;0;0;0;4;2;0;2;0;4;4;0;0;0;0;0;2;0;0;0;2;4;2;2;0;2;0;2;0;0;0;0;2;0;4;2;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;8;0;0;4;4;0;0;4;4;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;2;0;2;0;2;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2
announces;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;6;4;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;6;2;6;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;2;2;4;0;4;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;2;0;2;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0
@wjz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
@govlarryhogan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
#marylandstrong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;0;4;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;0;0;4;0;0;0;4;4;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
