;@govlarryhogan;maryland;tax;#mdga20;city;take;state;health;baltimore;crime;action;actions;together;support;majority;marylanders;lives;leaders;coronavirus;hogan;violent;legislators;overwhelming;#mdpolitics;emergency;legislation;bill;hike;murders;save;annapolis;bills;may;critical;washington;people;excuses;new;delays;important;governors;meeting;opposing;efforts;crisis;stop;continually;@govlarryhogans;care;criminals;strongly;year;legislature;visit;lets;passing;tougher;bipartisan;sentences;plan;americans;streets;assembly;hikes;gov;shootings;thousands;focus;failed;43;americas;massive;project;general;comprehensive;trying;haircut;leads;life;@ravens;seem;resources;television;democrats;necessary;redistricting;launched;comptroller;whatever;thing;death;ignoring;extreme;#ravensflock;matter;education;bars;update;says;level
@govlarryhogan;0;4;0;4;2;0;6;2;4;4;2;0;2;0;0;0;2;2;4;0;0;2;0;2;6;0;0;0;0;0;0;2;0;2;4;0;2;0;2;2;4;6;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0
maryland;0;0;6;2;4;0;4;0;4;4;6;0;0;6;0;0;2;2;4;0;0;2;0;2;0;0;2;4;0;0;0;2;2;0;0;0;0;2;0;2;0;2;4;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;4;0;2;4;2;0;4;0;0;0;0;0;2;0;2;2;0
tax;0;0;0;6;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;2;2;2;0;2;0;0;2;8;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;4;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;4;0;2;2;0;0;0;2;0;0;0;2;0
#mdga20;0;0;0;0;4;2;2;0;2;8;2;2;0;2;4;2;0;2;2;6;4;2;4;10;2;4;4;0;4;0;4;6;0;0;0;0;4;0;4;2;0;0;0;0;2;4;2;2;0;4;2;2;4;0;0;0;2;0;2;2;0;2;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0
city;0;0;0;0;0;8;0;0;12;4;6;6;0;8;6;8;2;10;2;0;6;6;6;4;0;6;0;0;8;0;6;2;0;2;0;2;4;0;4;4;0;2;0;2;2;2;6;0;0;2;6;6;2;0;0;0;4;0;4;4;0;2;0;0;0;4;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0
take;0;0;0;0;0;0;2;0;4;2;6;10;4;6;6;8;8;8;0;0;4;4;6;2;0;4;0;0;6;6;6;0;4;2;0;2;2;0;2;0;0;0;0;0;2;0;6;0;0;0;6;6;0;0;0;0;4;0;4;4;2;0;0;0;0;2;4;0;4;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;2;2;4;0;2;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0
health;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2
baltimore;0;0;0;0;0;0;0;0;0;8;6;2;0;4;2;4;2;6;2;0;4;6;2;2;0;6;0;2;4;0;2;4;0;2;0;2;4;0;4;4;0;2;0;2;2;2;2;0;0;4;2;2;2;0;0;2;0;0;0;0;0;4;0;0;0;4;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;2;0;0;2;0;0;2;0;0
crime;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;4;2;4;0;4;2;4;0;2;2;0;2;6;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;4;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0
action;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;4;2;4;0;0;0;6;2;2;0;4;0;2;2;2;2;2;2;2;0;0;2;0;2;0;0;0;2;4;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;0;2;0;4;0;2;0;0;0;2;0;0;0;0;0;0;0
