;maryland;hogan;live;covid19;coronavirus;testing;watch;announces;state;new;@wjz;@govlarryhogan;governor;recovery;update;gov;announcement;@foxbaltimore;rate;reopening;site;help;stage;todays;#marylandstrong;roadmap;hospitalizations;baltimore;md;tune;marylands;larry;drivethru;positivity;youtube;tests;500;together;twitter;phase;health;provide;@wbaltv11;relief;across;says;facebook;@govlarryhogans;available;governors;local;captioning;outdoor;begins;nations;nursing;@wmar2news;center;county;protect;funding;million;homes;critical;wishing;lowest;bipartisan;recoverywatch;level;response;@baltimoresun;states;happy;continue;people;announced;pandemic;begin;increases;distributed;free;goal;could;moving;days;@abc7news;marylanders;governments;departments;units;17;six;half;flags;america;senate;incredible;republican;urgent;stronger
maryland;0;18;2;10;16;6;0;4;12;8;14;10;4;6;0;8;0;2;8;6;0;2;4;0;2;4;8;2;0;0;0;4;4;4;2;4;0;0;2;4;6;0;2;0;4;6;2;0;2;2;2;2;4;0;0;0;4;0;0;2;2;4;0;2;0;6;0;2;6;2;4;0;0;0;2;4;0;2;4;2;0;2;0;0;2;0;0;0;2;4;4;0;2;0;0;0;0;0;0;0
hogan;0;0;0;10;6;6;0;14;8;6;8;0;14;4;2;16;0;8;2;10;4;4;6;0;0;0;0;0;4;0;4;8;2;0;0;4;2;0;0;8;2;0;4;2;0;6;0;0;0;0;2;0;4;4;0;2;4;0;0;2;4;6;2;2;0;0;0;0;2;0;0;0;0;0;2;2;4;2;0;2;0;2;0;0;0;4;2;0;2;4;0;2;2;2;2;0;0;0;2;0
live;0;0;0;4;0;0;26;0;0;0;0;2;0;6;14;0;14;0;0;2;0;0;4;12;8;10;0;0;0;8;0;0;0;0;8;0;6;0;8;0;0;6;0;0;0;0;8;8;8;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
covid19;0;0;0;0;0;16;4;10;2;14;10;0;4;0;4;6;0;10;10;0;8;2;0;0;0;0;2;4;8;2;0;0;4;8;0;6;0;0;0;0;2;0;0;4;2;4;0;4;0;2;0;0;0;2;0;0;4;6;4;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0
coronavirus;0;0;0;0;0;8;0;8;2;6;8;6;0;2;2;2;0;0;2;0;2;0;2;0;0;0;8;4;0;0;2;0;4;0;0;0;0;2;0;0;2;0;4;0;2;2;0;0;0;2;0;0;0;0;0;6;0;0;0;2;0;0;6;0;0;6;0;0;4;4;6;0;0;0;0;2;0;0;2;0;0;2;0;0;4;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0
testing;0;0;0;0;0;0;0;10;2;16;8;0;6;0;0;0;0;10;2;0;12;0;0;0;0;0;0;6;4;0;0;0;8;2;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;6;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;4;0;0;0;2;0;0;0;0;0;2;4;0;4;4;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;14;0;0;0;0;0;2;12;4;4;0;0;0;6;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;8;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
announces;0;0;0;0;0;0;0;0;0;8;4;4;8;0;0;4;0;6;0;0;4;2;2;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;2;0;0;2;2;2;4;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;2;6;0;4;4;0;2;0;2;2;0;0;4;0;0;0;0;2;2;2;0;0;4;0;2;0;4;0;2;0;2;2;0;0;0;4;4;0;0;0;0;6;0;0;0;0;0;2;0;0;2;2;4;0;0;2;2;2;0;4;0;0;0;2;0;4;2;0;2;0;2;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;2;2;0;0;2
new;0;0;0;0;0;0;0;0;0;0;6;4;4;0;0;2;0;6;2;0;12;2;0;0;0;0;0;2;0;0;2;0;8;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;2;0;2;2;2;0;0;0;0
@wjz;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;6;0;4;2;0;0;0;0;4;8;0;0;0;4;2;2;0;4;2;0;0;0;2;0;0;0;4;4;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;2;0;4;0;0;2;0;0;0;0;0;0;2;0;0;2;4;2;2;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0
@govlarryhogan;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;0;2;0;2;0;2;0;0;0;2;0;2;2;0;2;0;0;2;0;2;2;2;2;2;0;2;4;0;0;0;0;0;0;4;0;0;0;2;2;0;0;2;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
governor;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;4;0;2;0;0;0;0;0;2;0;4;4;2;0;0;0;0;0;0;6;2;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;2;2;0;2;0;2;2;0;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;0;2;6;0;6;6;0;0;0;2;0;2;0;0;2;0;2;0;2;2;0;2;2;2;2;2;2;2;2;2;0;2;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;2;0;2;0;2;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;6;0;6;6;0;0;0;6;0;0;0;0;6;0;6;0;6;0;0;6;2;0;0;0;6;6;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
announcement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@foxbaltimore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;2;6;0;0;0;4;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0
rate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;10;0;6;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;4;0;0;0;2;0;2;0;2;6;0;2;0;0;0;0;2;0;2;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
site;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;2;0;0;0;2;0;4;0;2;2;6;4;0;2;0;0;2;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
stage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;4;0;4;0;4;0;0;4;2;0;0;0;4;0;4;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#marylandstrong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;6;0;6;2;6;0;0;6;0;0;0;0;6;2;6;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
roadmap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;0;8;0;0;6;0;0;0;0;8;2;8;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hospitalizations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
baltimore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
md;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
marylands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
larry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0
drivethru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
positivity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
youtube;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;0;0;6;0;0;0;0;8;0;8;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
