;president;people;speaking;work;american;help;good;bill;containment;working;coronavirus;news;fox;congress;support;senate;@seanhannity;minutes;great;americans;trump;carolina;unemployment;secretary;policies;taliban;south;economy;isis;economic;general;afghanistan;@realdonaldtrump;pay;world;virus;workers;appreciate;income;pompeo;suffering;hope;enough;colleagues;best;healthcare;trumps;due;comes;democrats;senator;together;nation;call;safe;spread;crisis;decision;aggressive;forward;nurses;war;special;live;fight;syria;national;democratic;emergency;dr;prayers;hard;continue;opportunity;trying;goal;life;idlib;states;stimulus;laid;health;latest;pass;channel;team;end;keane;efforts;statement;entire;america;tune;reason;graham;peace;agreement;future;doctors;money
president;0;4;0;6;4;2;10;2;4;6;2;4;2;10;4;4;2;2;4;0;12;0;2;4;4;2;0;4;2;2;2;4;10;0;0;2;2;4;0;4;2;4;0;4;2;0;10;0;0;0;0;4;6;8;0;2;0;4;6;4;2;2;2;0;0;0;4;0;4;0;2;0;2;0;2;2;2;0;4;0;2;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;2;0
people;0;0;0;8;10;6;10;8;2;6;0;0;0;6;2;2;0;0;0;4;0;0;6;4;2;2;0;0;0;0;0;2;2;2;4;0;2;2;2;4;2;2;4;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;4;0;0;2;0;4;0;0;0;0;0;0;4;2;0;2;2;0;2;0;0;6;0;4;4;0;0;0;0;0;0;4;0;0;0;0;0;2
speaking;0;0;0;0;0;0;0;4;0;0;2;16;16;0;0;2;16;14;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;6;0;8;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
work;0;0;0;0;2;4;6;2;6;6;4;0;0;4;0;6;0;0;0;6;4;0;4;0;6;0;0;2;2;6;0;0;2;4;2;4;6;4;4;0;2;2;0;6;0;4;0;6;0;2;2;2;0;0;4;2;0;0;2;2;4;0;0;0;0;0;2;0;0;2;2;4;0;0;0;2;0;0;2;0;6;0;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;2;2;0
american;0;0;0;0;0;6;6;8;0;4;0;2;0;4;2;2;0;0;2;4;0;0;0;6;0;4;0;0;4;2;2;4;2;0;2;0;2;0;0;6;2;2;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;0;0;0;0;0;4;0;0;0;2;2;0
help;0;0;0;0;0;0;4;6;2;2;4;0;0;8;2;2;0;0;0;8;4;0;2;0;2;0;0;4;0;0;0;0;2;0;2;0;4;0;2;0;8;2;2;0;0;0;0;2;0;4;0;4;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;4;0;0;2;0;2;0;0;0;0;2;2;0;0;0;6;0
good;0;0;0;0;0;0;0;6;0;2;0;2;0;4;2;0;0;0;2;4;0;0;0;2;2;2;0;0;2;2;0;4;6;0;0;0;0;0;0;2;0;4;2;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;4;2;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;4;0;0;0;0;2;2
bill;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;4;4;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;2;2;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;4;4;0;0;0;0;4;2;0;0;0;0;6;0;0;0;6;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2
containment;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;2;2;2;0;10;0;2;4;0;2;0;0;0;4;0;4;0;2;6;0;0;2;0;2;2;0;2;6;2;0;0;0;0;0;0;0;0;2;6;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;6;0;0;6;2;2;0;0;4;2;0;0;2;4;4;0;0;0;0;2;0;0;4;2;2;0;4;0;6;4;2;0;0;4;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;2;2;0;2;2;2;0;0;4;0;0;0;0;0;2;2;0;2;2;2;2;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;10;8;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
fox;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;6;2;0;0;6;0;0;0;6;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;0;6;0;2;2;0;0;4;2;0;2;0;0;2;2;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;4;0;2;0;0;0;2;0;2;0;0;2;0;2;0;2;2;4;2;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;2;0;0;0;0;2;2;0;4;0;0;0;0;0;2;0;2;0;0;0;2;0;4;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
@seanhannity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
minutes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;4;2;2;0;0;0;0;2;0;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;2;0;2;0;0;0;0;4;2;6;0;0;0;0;4;2;4;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;4;0;0;0;2;0;2;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
carolina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0
unemployment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
secretary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;12;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
policies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;0;0;6;0;0;2;0;2;2;0;2;6;0;0;0;0;0;2;0;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
taliban;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;0;2;0;0;2;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;4;0;0;0
south;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0
economy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;2;0;0;2;0;0;0;0;2;2;0;4;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
isis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
general;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0
afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0
pay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;4;0;2;4;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0
