;china;president;speaking;trump;south;carolina;work;senate;tonight;support;democrats;news;american;fox;great;hall;primary;@realdonaldtrump;americans;vote;@seanhannity;decision;state;town;administration;republicans;economy;police;tune;states;republican;house;live;#covid19;general;people;national;democratic;flynn;governor;help;chinese;coronavirus;questions;forward;regarding;latest;party;hard;job;appreciate;hope;hong;united;country;afghanistan;reopen;businesses;virus;force;comes;world;new;order;business;senator;graham;media;congress;good;still;nation;sc;morning;committee;believe;days;working;family;ive;across;shut;medical;god;@senjudiciary;lives;markets;wet;members;close;spread;strong;federal;accountable;@joebiden;fight;health;radical;america;justice
china;0;2;8;6;8;8;2;8;2;0;4;2;0;2;4;2;0;0;2;2;0;2;2;2;0;2;2;0;0;6;0;2;4;8;0;0;0;0;0;0;0;0;2;2;2;6;4;0;0;0;4;4;8;6;4;0;4;0;2;0;2;6;0;0;2;0;4;0;0;0;0;0;0;2;0;4;2;0;0;2;0;2;12;0;2;0;8;8;0;4;0;2;0;10;0;0;8;0;2;0
president;0;0;0;28;0;0;2;6;0;6;8;4;10;0;8;0;0;30;2;0;0;4;2;0;2;2;6;0;0;0;0;0;0;0;2;4;2;0;2;4;4;8;4;0;2;4;0;2;2;2;6;4;10;0;4;0;0;0;4;2;2;2;4;0;4;0;0;4;2;4;0;0;0;0;2;2;0;4;0;0;0;2;0;0;0;2;0;0;0;2;2;6;4;0;6;0;0;0;2;0
speaking;0;0;0;0;0;0;0;0;32;0;0;30;0;36;0;0;0;0;0;0;32;2;0;0;0;0;0;0;24;2;0;0;12;6;2;0;0;0;8;0;0;2;6;0;2;0;24;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;0;2;2;0;6;0;2;4;0;2;0;0;0;0;0;2;0;0;0;0
trump;0;0;0;0;0;0;6;8;0;2;6;2;10;0;4;0;0;4;6;0;0;4;0;0;12;4;8;0;0;6;0;0;0;0;2;4;2;0;2;2;4;4;6;0;2;4;0;0;2;0;2;0;4;4;6;2;2;2;6;0;0;0;2;2;4;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;4;0;4;4;0;0;0;2;2;0
south;0;0;0;0;0;58;2;2;2;10;2;0;0;0;6;4;8;0;0;8;0;2;4;2;0;8;4;0;0;4;6;0;0;2;0;0;4;4;0;10;2;0;0;4;4;2;0;2;2;6;2;2;0;0;0;2;6;2;0;2;2;0;0;2;2;0;0;2;2;0;4;2;2;2;0;0;2;2;4;0;8;0;6;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0
carolina;0;0;0;0;0;0;2;2;2;10;2;0;0;0;6;4;8;0;0;8;0;2;4;2;0;8;4;0;0;4;6;0;0;2;0;0;4;4;0;10;2;0;0;4;4;2;0;2;2;6;2;2;0;0;0;2;6;2;0;2;2;0;0;2;2;0;0;2;2;0;4;2;2;2;0;0;2;2;4;0;8;0;6;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0
work;0;0;0;0;0;0;0;2;0;2;6;0;4;0;6;0;0;0;6;0;0;0;2;0;2;6;4;2;0;0;0;2;0;0;0;6;0;0;0;2;2;2;0;0;2;0;0;0;2;10;2;2;0;0;2;0;2;0;2;2;4;0;2;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;4;0;0;0;2;0;0;0;0;2;0;2;2;0;4;0
senate;0;0;0;0;0;0;0;0;0;6;10;0;4;0;0;0;8;2;2;8;0;0;2;0;2;6;4;2;0;2;14;6;0;2;0;2;0;4;0;0;0;4;2;0;2;0;0;0;2;0;2;4;4;2;6;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;2;0;4;0;2;2;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;4;4;0;0;2;0;0;0;0
tonight;0;0;0;0;0;0;0;0;0;2;0;12;0;14;0;6;2;0;0;0;24;2;0;6;0;0;0;0;14;0;0;0;4;4;2;0;0;0;6;0;2;2;4;6;2;0;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;4;2;0;2;4;0;2;4;0;2;2;0;0;0;0;2;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;14;0;2;6;0;6;0;0;0;4;2;2;0;2;10;2;0;0;2;2;2;0;0;6;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;6;2;2;2;0;0;2;0;0;6;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;2;2;0;0
