Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
What a pathetic effort by the media to ask hard and relevant questions of @JoeBiden.,84,2020-06-30 20:41:48,Twitter for iPhone,4782,878,LindseyGrahamSC,1278066228066729989,432895323.0,432895323,False,,en,June,Q2,"['pathetic', 'effort', 'media', 'ask', 'hard', 'relevant', 'questions', '@joebiden']"
"If you had any doubt whether the mainstream media is basically an extension of the Democratic Party, today’s press conference with @JoeBiden should remove all doubt. 
 
You wonder why almost all Republicans have tuned out mainstream media?  

Just watch today’s news conference.",278,2020-06-30 20:41:48,Twitter for iPhone,10964,3248,LindseyGrahamSC,1278066227320143872,,432895323,False,,en,June,Q2,"['doubt', 'whether', 'mainstream', 'media', 'basically', 'extension', 'democratic', 'party', 'todays', 'press', 'conference', '@joebiden', 'remove', 'doubt', 'wonder', 'almost', 'republicans', 'tuned', 'mainstream', 'media', 'watch', 'todays', 'news', 'conference']"
To the Democrats who want to be harder on Russia: put forward your ideas. I will gladly look at them apart from this incident as I have long had major issues with Putin’s Russia.,178,2020-06-30 17:41:19,Twitter for iPhone,1767,307,LindseyGrahamSC,1278020805394399234,432895323.0,432895323,False,,en,June,Q2,"['democrats', 'harder', 'russia', 'put', 'forward', 'ideas', 'gladly', 'apart', 'incident', 'major', 'issues', 'putins', 'russia']"
"I completely understand why the President was not briefed, and I completely understand why action against Russia based solely on this intelligence would be unjustified.",168,2020-06-30 17:41:18,Twitter for iPhone,1630,339,LindseyGrahamSC,1278020802529591297,432895323.0,432895323,False,,en,June,Q2,"['completely', 'understand', 'president', 'briefed', 'completely', 'understand', 'action', 'russia', 'based', 'solely', 'intelligence', 'unjustified']"
"The Russians have been involved in Afghanistan dating back to the previous administration and would prefer the United States to leave, thus filling the vacuum.",159,2020-06-30 17:41:17,Twitter for iPhone,864,163,LindseyGrahamSC,1278020799891492866,432895323.0,432895323,False,,en,June,Q2,"['russians', 'involved', 'afghanistan', 'dating', 'previous', 'administration', 'prefer', 'united', 'states', 'leave', 'thus', 'filling', 'vacuum']"
"The President was not briefed, as there appear to be contradictory analyses of the threat streams gathered by our intelligence community with the most reliable form of intelligence gathering being emphasized.",208,2020-06-30 17:41:17,Twitter for iPhone,1163,317,LindseyGrahamSC,1278020797760786432,432895323.0,432895323,False,,en,June,Q2,"['president', 'briefed', 'appear', 'contradictory', 'analyses', 'threat', 'streams', 'gathered', 'intelligence', 'community', 'reliable', 'form', 'intelligence', 'gathering', 'emphasized']"
"I’ve had my differences about the President’s decision to withdraw from some hotspots in the world, but I’ve never questioned his commitment to keep troops safe while they’re in harm’s way.",189,2020-06-30 17:41:16,Twitter for iPhone,1358,242,LindseyGrahamSC,1278020794317078528,432895323.0,432895323,False,,en,June,Q2,"['ive', 'differences', 'presidents', 'decision', 'withdraw', 'hotspots', 'world', 'ive', 'questioned', 'commitment', 'troops', 'safe', 'harms']"
"As to the President, the one thing that has been constant is his unwavering support to protect troops in the field.",115,2020-06-30 17:41:15,Twitter for iPhone,1484,271,LindseyGrahamSC,1278020790626254850,432895323.0,432895323,False,,en,June,Q2,"['president', 'thing', 'constant', 'unwavering', 'support', 'protect', 'troops', 'field']"
"In my view, the system worked. At the tactical level, force protection was, as always, a priority and at the strategic level, the intelligence did not warrant presidential briefing or action by our country against Russia.",221,2020-06-30 17:41:14,Twitter for iPhone,1061,237,LindseyGrahamSC,1278020787686031362,432895323.0,432895323,False,,en,June,Q2,"['view', 'system', 'worked', 'tactical', 'level', 'force', 'protection', 'priority', 'strategic', 'level', 'intelligence', 'warrant', 'presidential', 'briefing', 'action', 'country', 'russia']"
"Earlier today I received a briefing from the White House’s National Security Advisor, Chief of Staff, and the DNI regarding the New York Times article claiming Russia offered bounties to the Taliban to kill American troops and that President Trump was briefed on these matters.",277,2020-06-30 17:41:13,Twitter for iPhone,3390,923,LindseyGrahamSC,1278020781167894528,,432895323,False,,en,June,Q2,"['earlier', 'received', 'briefing', 'white', 'houses', 'national', 'security', 'advisor', 'chief', 'staff', 'dni', 'regarding', 'new', 'york', 'times', 'article', 'claiming', 'russia', 'offered', 'bounties', 'taliban', 'kill', 'american', 'troops', 'president', 'trump', 'briefed', 'matters']"
