;district;residents;dc;housing;learn;#fairshot;help;2020;community;year;visit;washingtonians;new;ensure;across;live;#saferstrongerdc;programs;ward;call;affordable;program;safe;work;home;districts;#36000by2025;@usmayors;working;#dc2020acr;great;#dcproud;find;resources;wards;greenery;walk;tree;meet;create;free;anacostia;join;holiday;8;stamp;newsletter;health;opportunities;opportunity;together;family;happy;mayor;weeks;director;gun;thank;mlk;week;annual;#getcovereddc;#staycovereddc;visiting;plan;king;build;#dcstatehood;insurance;stay;schedule;quality;best;dr;@mbsyep;updated;historic;representative;@usps;businesses;give;needs;sign;census;federal;honor;take;public;goal;legacy;gwen;celebrate;@dchealthlink;bold;martin;gateway;january;assistance;luther;continue
district;0;26;12;12;24;12;14;10;6;2;12;4;4;10;18;6;2;22;2;6;14;12;4;8;6;2;2;2;8;6;2;2;2;6;8;0;2;0;2;4;6;0;2;0;6;2;10;6;8;6;0;2;2;2;4;2;0;0;0;4;4;6;6;2;2;4;2;2;6;10;2;6;4;4;2;10;0;2;2;2;4;2;10;2;4;2;0;2;2;2;2;0;4;2;2;0;2;6;2;6
residents;0;0;16;14;22;20;10;6;6;4;8;8;4;14;12;6;2;8;4;2;10;12;8;16;2;8;6;6;6;4;6;2;4;10;4;0;2;0;0;8;6;4;0;0;8;0;4;6;4;4;6;2;2;4;4;0;4;0;4;2;4;6;6;4;4;0;6;0;6;0;0;6;2;0;2;2;4;0;0;4;6;0;4;4;4;0;0;0;4;0;0;2;4;4;0;4;0;6;0;6
dc;0;0;0;8;14;14;10;12;8;8;8;8;4;10;8;4;2;2;4;10;6;2;2;6;12;2;4;2;6;2;2;0;2;2;2;0;2;0;0;6;2;0;2;0;2;0;4;0;2;2;2;0;6;2;6;2;0;6;0;4;4;0;0;2;2;0;4;2;0;0;2;0;2;0;0;2;0;2;0;4;4;2;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;4
housing;0;0;0;0;8;4;2;0;0;4;0;6;8;4;4;0;0;2;0;2;14;0;6;4;4;8;16;2;6;2;0;2;2;2;4;0;0;0;6;10;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;2;4;0;8;0;0;2;0;0;2;0;0;2;0;0;0;0;2;6;0;2;0;0;4;0;12;0;0;0;0;10;0;0;0;2;0;2
learn;0;0;0;0;0;12;14;2;0;2;20;2;0;12;12;0;2;8;0;0;8;10;4;8;2;6;2;2;10;8;0;2;0;8;2;2;0;2;2;4;10;2;2;2;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;4;4;4;4;4;0;2;0;4;0;2;4;4;0;0;2;0;0;0;6;6;4;4;4;0;0;0;4;0;0;0;0;4;0;0;0;0;2;0;0
#fairshot;0;0;0;0;0;0;2;6;4;6;2;12;2;8;10;8;0;4;0;0;2;6;2;8;2;4;2;0;8;4;4;2;0;6;2;0;0;0;2;2;0;2;2;0;4;0;2;0;6;2;2;0;0;0;2;0;0;2;2;2;0;0;0;4;2;0;2;0;0;2;0;0;0;0;12;4;2;0;0;4;12;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
help;0;0;0;0;0;0;0;12;12;2;8;0;4;4;0;0;2;10;10;4;4;0;2;0;4;2;2;0;2;0;2;0;10;4;6;0;2;0;6;2;8;0;0;0;0;0;0;4;0;6;0;4;2;0;0;4;0;0;0;0;2;6;6;0;4;0;2;0;6;0;0;2;4;0;0;0;0;8;0;2;0;6;2;2;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2
2020;0;0;0;0;0;0;0;0;14;6;4;8;4;2;4;8;2;2;12;2;0;4;0;0;2;0;0;0;2;0;0;0;12;0;8;0;4;0;8;0;4;4;4;0;0;0;2;0;2;0;4;2;2;4;2;0;0;2;0;2;0;0;0;4;2;4;2;2;0;0;0;0;2;2;4;0;0;12;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;4;0;4;0;4;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;16;2;0;0;4;4;0;0;0;0;0;0;4;2;12;0;8;0;8;0;6;4;0;2;2;0;0;0;2;0;0;0;0;0;4;2;4;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4
year;0;0;0;0;0;0;0;0;0;0;2;8;12;2;4;0;0;0;0;4;0;0;2;4;2;2;2;2;2;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;4;2;4;2;8;0;2;0;0;2;0;0;2;0;0;2;2;2;0;2;0;2;0;2;2;2;2;0;0;0;0;0;4;2;0;0;2;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;0;4;4;8;0;2;0;2;0;0;6;2;2;0;0;2;2;6;2;6;2;0;10;0;2;6;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;4;4;0;2;0;0;0;4;0;8;4;4;0;0;0;0;0;0;4;0;4;2;4;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0
washingtonians;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;4;2;4;2;6;2;2;2;0;0;8;0;2;2;2;4;6;0;0;0;2;2;0;4;2;0;6;0;2;2;4;6;8;0;2;0;2;0;0;2;4;2;2;2;2;4;0;6;0;6;2;4;0;0;0;6;4;0;6;0;0;0;6;0;0;2;0;4;0;0;0;2;0;6;0;0;4;4;2;0;4;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0;0;2;8;0;0;0;6;2;0;0;0;0;0;0;4;4;2;0;0;0;2;0;0;0;0;0;2;2;8;2;0;0;0;2;0;0;2;0;0;0;4;0;6;0;0;2;0;2;0;0;0;2;0;0;0;2;0;4;0;0;0;0;2;0;6;0;0;4;0;6;0;0;0;0;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;4;2;8;2;4;8;4;0;2;2;6;4;4;4;0;6;4;0;2;0;0;4;0;4;0;0;8;0;0;2;0;4;4;2;0;2;0;0;0;2;4;0;0;4;4;2;2;2;2;2;4;0;0;2;0;2;0;2;4;0;0;0;2;2;2;4;2;2;0;2;0;2;0;0;4;0;0;4;0;0;0;4
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;8;4;2;6;0;0;0;0;8;6;2;0;0;0;8;0;0;0;0;2;2;0;2;0;8;0;4;6;4;0;0;0;0;0;4;0;0;0;0;0;0;6;6;4;0;0;2;0;6;2;0;4;0;0;2;2;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;4;0;0;0;6;0;6;0;2;6;0;0;2;0;0;0;0;0;2;0;2;2;0;0;4;0;0;4;2;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;4;2;2;0;4;4;0;0;0;0;2;2;0;4;0;2;4;6;0;0;0;2;0;0;0;0
#saferstrongerdc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;2;0;4;0;12;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2
