;live;#dcstatehood;home;dc;district;june;workouts;#fitdc;covid19;free;residents;coronavirus;2;test;move;ready;bring;seniors;4;statehood;update;without;testing;follow;thank;state;representation;3;continue;along;1;burn;vote;kids;energy;situational;walk;lives;engine;help;please;sites;51st;new;join;federal;assistance;program;5;tested;curfew;public;city;support;work;rights;house;columbia;stand;visit;protect;across;8;locations;voting;service;emergency;available;street;community;11;guard;ave;love;due;6;police;businesses;fight;recovery;together;housing;congresswoman;requested;programs;justice;economic;relief;matter;10;services;americans;starts;request;historic;7;stay;shortly;heat;still
live;0;4;50;6;2;26;50;50;8;0;0;14;2;0;28;28;28;28;2;0;26;0;0;22;0;0;0;4;0;22;4;22;4;22;22;20;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;6;0;0;2;0;0;0;0;2;0;0;10;0;2
#dcstatehood;0;0;0;2;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;6;0;0;10;10;8;2;2;0;0;0;12;0;0;0;0;0;0;6;0;0;8;0;2;4;0;0;2;0;0;0;2;4;2;2;8;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;8;0;2;0;4;0;0;4;0;0;2;0;0;4;0;0;8;0;0;0;0;0
home;0;0;0;2;2;0;50;50;0;0;2;0;0;0;28;28;28;28;0;2;0;2;0;22;0;0;0;0;0;22;2;22;0;22;22;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
dc;0;0;0;0;2;4;0;0;0;2;8;2;4;0;2;0;0;0;2;6;0;6;2;0;4;6;6;6;0;0;6;0;2;0;0;0;0;4;0;2;6;0;4;2;4;0;0;2;2;0;2;2;2;0;0;2;2;0;2;6;0;2;2;0;4;0;0;0;0;2;4;0;0;4;0;2;4;8;2;6;2;0;0;0;0;2;6;0;0;0;0;0;2;0;2;0;4;0;0;0
district;0;0;0;0;0;0;0;0;14;8;12;4;8;4;0;0;0;0;4;4;0;6;0;0;2;8;2;0;2;0;2;0;2;0;0;0;4;2;0;2;0;2;4;4;2;4;4;0;2;4;4;6;2;2;0;4;0;14;2;2;2;8;0;6;0;8;6;2;2;2;0;8;0;0;2;2;2;2;4;2;0;2;0;6;4;4;0;4;0;2;0;2;0;4;2;2;0;0;2;0
june;0;0;0;0;0;0;0;0;12;0;0;16;4;0;0;0;0;0;2;0;26;0;4;0;0;0;0;8;0;0;8;0;4;0;0;20;2;0;2;0;0;2;0;2;0;0;0;2;2;0;4;0;0;0;0;0;4;0;0;2;0;0;4;2;0;0;0;4;2;0;2;0;2;0;4;2;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2
workouts;0;0;0;0;0;0;0;50;0;0;0;0;0;0;28;28;28;28;0;0;0;0;0;22;0;0;0;0;0;22;0;22;0;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#fitdc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;28;28;28;0;0;0;0;0;22;0;0;0;0;0;22;0;22;0;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;0;12;4;16;4;8;0;0;0;0;2;0;6;0;6;0;0;2;0;2;0;0;2;0;0;0;0;6;8;4;2;0;0;10;0;4;0;0;4;2;4;4;0;4;0;4;0;0;0;2;0;2;2;6;2;8;0;0;4;6;2;4;2;2;2;0;8;2;0;0;0;4;0;4;0;2;4;0;2;2;0;4;2;0;0;0;0;0;0;0;0;2
free;0;0;0;0;0;0;0;0;0;0;2;14;0;22;0;0;0;0;6;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;4;0;0;16;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;2;0;10;0;10;0;2;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
