;dc;district;live;visit;coronavirus;covid19;districts;residents;learn;new;home;join;community;housing;help;march;#dcstatehood;stay;captions;#fairshot;positive;support;todays;thank;public;health;stream;2;budget;delivery;information;continue;across;2020;washingtonians;program;event;#saferstrongerdc;4;work;response;family;together;city;#unitythroughcommunity;black;1;#blackhistorydc;offering;#fitdc;3;engagement;affordable;call;update;cases;year;bringing;history;#dcproud;students;data;ward;ensure;spread;federal;dcs;government;weeks;week;case;services;people;working;columbia;share;safe;providing;watch;workouts;emergency;take;highlight;st;includes;celebrate;please;free;director;ready;programs;resources;local;10;#36000by2025;state;families;events;monday;6
dc;0;52;18;16;38;26;10;32;28;12;26;16;16;12;12;14;20;16;4;18;4;14;8;10;22;22;0;18;4;16;6;24;18;16;18;16;8;4;10;14;16;4;6;14;8;8;14;12;0;2;4;4;6;12;0;8;10;0;10;8;10;4;6;16;14;2;8;18;18;12;2;10;12;10;10;8;6;4;14;0;6;2;10;2;0;12;8;6;4;8;2;6;12;2;6;8;4;4;12;8
district;0;0;58;66;58;50;8;46;66;12;12;14;26;18;18;6;10;38;34;14;2;10;0;10;8;8;32;6;6;2;6;10;42;14;8;18;0;4;6;22;6;12;8;2;0;2;12;12;4;0;4;8;16;6;30;12;2;4;4;10;8;2;2;14;12;12;4;18;14;10;2;12;2;10;38;10;4;34;16;0;8;6;22;0;0;4;4;10;8;0;30;10;4;8;6;8;16;32;4;2
live;0;0;0;56;48;42;10;14;28;12;46;18;10;8;6;2;10;2;68;16;4;8;6;2;12;4;58;4;14;2;2;2;16;10;6;10;2;20;8;6;2;4;4;4;0;4;0;6;0;46;2;10;6;4;30;8;0;0;6;4;2;0;14;2;0;4;10;2;2;2;6;2;2;2;4;2;0;32;2;42;4;4;2;0;2;18;10;2;4;22;0;2;2;0;6;2;4;0;0;6
visit;0;0;0;0;76;58;40;14;62;8;14;20;2;0;18;14;0;6;68;2;8;6;2;4;6;6;70;6;4;2;36;2;10;6;0;10;2;2;18;6;32;10;2;2;0;2;0;4;4;14;4;4;4;10;48;18;2;6;0;0;8;10;0;4;10;0;0;2;0;2;10;6;0;6;6;16;0;32;18;14;4;8;6;0;8;0;20;14;6;10;2;10;4;0;0;2;10;0;4;2
coronavirus;0;0;0;0;0;138;70;6;36;40;4;24;4;0;8;44;0;18;54;0;42;12;0;4;6;10;50;0;0;8;30;16;2;0;0;2;0;0;12;6;48;2;8;0;0;0;14;0;0;0;2;0;0;12;50;52;0;36;0;0;0;40;0;4;20;4;4;10;4;0;44;4;4;0;16;6;0;32;18;0;4;4;8;0;38;0;22;0;2;0;0;0;8;6;0;0;0;0;12;2
covid19;0;0;0;0;0;0;60;6;38;36;6;10;10;0;4;44;0;6;36;0;42;2;0;2;10;14;32;10;0;0;34;8;2;0;0;0;0;0;12;6;32;4;10;4;0;0;18;0;0;0;2;0;0;8;30;42;0;36;0;0;0;38;0;2;20;4;4;8;0;0;44;6;6;2;16;4;0;30;0;0;10;4;0;0;36;0;12;0;0;0;2;4;2;6;0;4;2;0;10;4
districts;0;0;0;0;0;0;0;10;8;42;0;22;2;8;2;42;0;2;18;4;38;2;2;2;8;6;16;6;2;0;26;2;0;2;2;4;0;4;14;2;42;0;2;0;0;0;6;0;0;0;0;2;2;2;16;38;2;36;0;2;0;40;0;2;0;0;8;4;0;0;36;4;0;2;4;0;2;0;16;0;6;6;6;0;38;2;6;2;0;0;2;8;4;4;4;2;0;0;10;2
residents;0;0;0;0;0;0;0;0;26;12;12;10;8;18;18;0;12;12;2;28;0;10;8;12;2;6;0;4;10;0;10;12;18;6;14;16;4;8;2;24;2;8;12;8;4;0;6;2;4;0;6;8;10;4;0;2;4;4;0;2;2;0;6;14;2;12;8;8;6;4;0;8;10;10;6;10;16;4;0;0;4;4;2;4;0;6;2;6;0;0;8;12;2;2;10;6;6;0;0;4
learn;0;0;0;0;0;0;0;0;0;6;2;12;4;10;22;4;2;2;26;12;0;10;12;4;14;8;26;0;2;0;2;4;12;2;2;10;12;4;0;12;2;4;2;6;10;4;2;6;2;0;2;2;10;2;26;6;2;0;4;2;4;2;2;14;12;2;6;0;0;2;0;10;2;10;2;10;4;26;0;0;4;0;2;0;0;4;0;12;0;0;8;10;0;0;4;2;8;0;4;0
new;0;0;0;0;0;0;0;0;0;0;2;6;6;22;6;38;2;4;0;2;36;2;6;6;2;2;0;6;0;0;16;6;6;6;2;2;4;0;2;4;0;6;4;4;2;0;4;2;0;2;0;0;16;0;2;36;16;38;2;6;4;38;8;0;0;0;4;2;2;2;36;0;0;2;0;0;0;0;2;0;0;4;2;2;38;6;2;2;2;0;2;2;0;2;14;4;10;0;8;6
