;covid19;district;live;dc;coronavirus;home;districts;visit;residents;new;positive;#fitdc;2;workouts;learn;1;reported;2020;community;join;health;help;stay;bringing;cases;lives;#dcstatehood;case;data;bring;ready;move;housing;includes;seniors;3;overall;continue;public;captions;4;support;#stayhomedc;response;additional;thank;due;call;kids;stream;follow;energy;may;april;burn;lost;city;along;information;together;march;5;update;related;work;todays;budget;family;across;free;deaths;6;8;ward;emergency;washingtonians;10;please;program;year;#fairshot;businesses;share;delivery;monday;care;columbia;federal;safe;services;working;people;briefing;local;social;june;order;state;families;take
covid19;0;226;114;70;396;10;184;110;118;142;150;0;100;0;108;108;200;108;28;20;34;14;6;140;146;104;0;150;148;0;0;0;6;136;2;18;140;10;32;86;30;12;34;86;104;6;114;18;0;76;2;0;52;64;0;100;4;0;34;14;46;24;54;104;8;8;2;6;8;18;94;16;8;0;26;8;22;14;2;0;0;16;4;0;26;12;26;6;2;8;8;8;40;2;8;12;12;6;4;6
district;0;0;108;70;128;20;12;112;148;24;10;0;94;0;116;24;90;16;34;20;18;24;42;10;16;90;18;6;12;0;0;0;22;0;0;18;6;14;16;72;18;14;14;38;90;12;94;6;0;70;0;2;10;14;0;90;6;0;10;10;8;12;46;88;26;0;6;16;52;20;76;4;12;4;14;8;16;6;20;4;14;12;10;2;10;16;68;20;4;18;12;4;22;6;4;4;8;18;20;6
live;0;0;0;44;124;252;18;116;14;14;4;252;6;248;90;6;0;10;10;32;4;6;2;0;8;4;14;6;0;132;132;132;8;2;134;6;0;2;18;120;10;16;18;38;0;2;2;10;114;104;106;108;2;0;108;0;6;106;8;4;2;4;78;0;6;6;18;4;18;2;0;6;4;14;4;6;2;10;10;0;16;20;2;2;0;6;6;4;2;2;4;2;38;4;0;26;0;2;4;4
dc;0;0;0;0;70;46;20;36;72;22;8;2;46;0;40;32;14;28;22;28;46;26;34;6;12;22;24;8;8;0;8;6;16;4;0;18;6;28;36;14;20;26;14;22;18;26;18;24;2;4;4;0;16;12;0;14;30;0;14;14;14;16;2;14;22;8;4;14;22;10;16;16;16;6;18;20;10;18;18;18;18;34;16;16;16;10;12;6;12;16;12;14;4;20;12;6;12;14;20;6
coronavirus;0;0;0;0;0;6;196;126;22;146;146;0;6;0;106;106;104;102;18;34;28;16;18;140;156;2;0;148;142;0;0;0;2;138;2;8;140;18;24;106;24;16;36;106;10;10;10;32;0;94;0;0;52;58;0;0;0;0;32;10;44;24;80;6;6;4;2;4;6;24;6;12;6;0;18;6;18;22;2;0;0;8;6;8;28;6;24;8;0;4;2;4;58;8;2;16;16;0;2;4
home;0;0;0;0;0;0;4;18;26;2;0;252;12;250;4;12;0;4;6;6;8;10;62;0;2;14;0;0;0;130;138;132;4;0;130;8;0;12;8;14;4;2;38;4;0;0;2;10;118;14;108;110;4;0;110;0;8;108;6;2;0;8;0;0;2;0;0;12;2;0;0;10;6;4;4;4;2;0;0;16;2;6;22;0;0;0;8;4;4;0;4;10;0;0;14;2;8;0;2;2
districts;0;0;0;0;0;0;0;50;16;148;142;0;14;0;28;90;104;106;4;24;12;2;6;140;142;0;0;140;142;0;0;0;8;140;0;4;140;4;18;24;22;2;12;66;8;2;6;4;0;22;2;0;48;64;0;0;0;0;32;2;42;12;20;6;4;2;2;0;0;2;6;10;8;0;12;2;10;6;6;2;4;6;0;0;28;2;4;0;2;6;4;2;20;4;2;4;8;2;2;6
visit;0;0;0;0;0;0;0;0;22;10;8;14;6;14;118;0;0;6;4;22;6;20;10;6;18;2;0;10;10;10;10;8;0;10;14;4;6;6;10;114;24;10;4;60;2;8;0;16;8;116;0;0;2;2;0;0;2;0;60;4;14;2;68;0;6;8;6;12;14;16;0;8;10;0;4;0;4;38;10;4;2;14;18;2;6;0;6;2;2;8;6;2;56;4;2;2;8;2;14;10
residents;0;0;0;0;0;0;0;0;0;26;2;0;92;0;26;20;94;8;12;12;24;24;14;6;6;110;14;2;4;4;0;0;18;2;4;18;2;28;12;2;12;20;6;4;92;18;102;12;0;0;2;2;8;6;0;98;10;0;16;18;2;12;0;92;28;8;10;8;20;8;84;10;18;6;18;14;4;8;18;6;28;14;10;0;0;14;10;20;24;10;12;14;0;2;16;0;10;10;8;6
new;0;0;0;0;0;0;0;0;0;0;142;2;20;0;24;96;104;108;8;6;16;12;4;142;144;0;2;142;140;4;0;2;22;138;0;8;140;6;8;0;14;6;4;0;0;6;2;0;0;0;0;0;48;58;0;0;6;0;18;4;38;8;4;6;4;6;0;6;8;2;6;14;16;12;6;2;10;2;4;16;2;6;0;0;28;10;0;4;0;4;2;2;0;6;0;8;4;4;10;4
