;north;people;gov;covid19;work;state;cooper;restrictions;home;carolina;health;help;order;virus;new;school;testing;stay;carolinians;working;continue;lives;trends;coronavirus;tracing;ease;may;give;plan;live;economy;fight;members;task;force;update;hospitals;move;week;businesses;unemployment;safe;normal;thank;social;pandemic;students;public;another;path;forward;business;staying;distancing;communities;spread;together;families;important;schools;local;watch;beat;still;dr;cohen;protect;coopers;hope;general;shared;cases;making;assistance;times;easing;community;take;support;food;hard;data;partnership;strong;year;workers;learning;guidance;updates;medical;ways;play;supplies;capacity;key;hospital;difficult;actions;briefing;phase
north;0;16;26;24;14;14;24;14;8;46;10;12;8;14;8;2;12;4;38;8;6;6;8;0;4;10;2;0;6;0;6;6;0;0;0;4;2;4;8;0;6;0;8;8;2;6;2;0;8;8;2;0;4;2;8;6;4;10;4;0;2;0;6;4;2;6;4;2;4;2;10;8;6;4;10;0;0;2;4;2;6;2;2;4;0;2;0;0;2;0;4;0;2;2;2;8;0;2;0;2
people;0;0;8;4;18;10;8;16;8;4;20;8;14;6;8;4;2;10;10;8;8;12;4;0;6;8;4;4;8;0;14;2;0;0;0;0;6;8;0;12;10;12;2;0;4;2;0;4;4;0;8;4;0;4;6;2;2;4;4;0;2;2;0;4;2;2;2;0;2;2;0;6;2;2;0;6;0;6;0;0;2;4;0;8;0;2;2;2;0;0;4;0;0;2;0;6;2;0;0;0
gov;0;0;0;28;4;6;62;10;4;12;8;4;10;2;6;0;4;4;10;2;0;4;4;24;4;6;2;24;6;24;2;6;24;24;24;26;4;2;2;2;2;2;4;2;0;2;0;2;2;4;0;0;0;0;2;4;4;2;2;0;4;16;0;2;0;4;0;16;0;0;8;2;4;2;0;0;2;2;0;0;2;2;0;0;0;4;0;0;10;2;0;2;0;0;4;2;2;0;12;2
covid19;0;0;0;0;4;18;16;8;2;20;8;8;0;4;8;2;4;0;4;4;0;6;4;0;8;6;0;0;4;0;2;16;0;0;0;2;2;2;0;0;4;2;4;4;2;6;0;4;2;6;0;0;2;0;8;10;4;2;2;2;4;0;0;2;4;6;2;12;2;0;8;8;6;4;2;2;6;0;2;2;0;0;6;2;0;4;0;0;12;2;0;4;2;2;4;6;2;2;10;0
work;0;0;0;0;0;18;4;18;2;10;8;4;6;14;12;12;10;2;6;2;6;8;4;0;8;12;6;2;2;0;4;0;2;0;0;0;6;2;6;2;8;6;10;10;0;6;0;4;8;2;2;4;0;0;0;2;6;4;4;2;2;0;4;0;0;0;2;0;2;4;0;2;4;6;0;4;2;4;0;4;4;2;4;4;2;6;2;2;2;0;4;8;0;2;4;2;0;2;0;0
state;0;0;0;0;0;0;6;14;4;12;8;14;0;10;6;4;12;0;0;8;2;6;4;4;10;8;2;0;2;0;4;8;0;2;2;0;2;0;2;4;6;4;4;6;0;8;2;8;4;4;2;4;4;0;2;8;0;4;0;4;8;0;0;2;6;4;4;0;2;2;2;2;2;6;2;4;2;0;0;6;2;0;4;6;2;0;4;0;0;2;4;4;4;0;0;0;2;4;0;0
cooper;0;0;0;0;0;0;0;8;4;10;6;2;8;2;6;0;4;4;8;2;0;4;4;24;2;6;2;24;4;24;2;6;24;24;24;26;2;2;2;2;2;2;4;2;0;2;0;2;2;4;0;0;0;0;0;2;4;2;2;0;2;16;0;2;0;4;0;0;0;0;8;2;4;2;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;2
restrictions;0;0;0;0;0;0;0;0;14;8;12;4;14;6;16;4;6;10;6;2;8;10;8;4;12;30;8;0;12;0;10;0;0;4;4;0;8;6;4;6;2;4;14;2;2;2;0;2;4;8;8;4;6;2;4;6;2;0;4;0;2;0;0;2;4;2;4;2;0;0;6;4;2;0;0;14;2;2;0;2;0;2;0;2;2;0;0;4;0;0;0;6;4;2;4;2;0;4;0;0
home;0;0;0;0;0;0;0;0;0;4;4;8;14;4;4;2;0;30;4;8;6;16;0;2;0;6;8;0;4;0;6;2;0;2;2;0;2;6;4;6;0;4;2;10;14;8;2;2;6;2;6;4;20;12;4;4;0;6;4;4;2;0;2;2;2;2;4;0;6;0;0;0;4;0;0;4;2;4;2;0;2;0;2;2;0;4;2;0;0;0;0;0;2;0;0;2;4;6;0;4
carolina;0;0;0;0;0;0;0;0;0;0;6;8;2;6;8;0;10;2;4;6;2;4;2;0;6;6;2;0;8;0;4;4;0;0;0;4;2;2;2;0;4;0;6;2;0;6;2;0;0;6;0;0;2;0;6;4;4;8;4;0;2;0;0;4;2;4;2;2;4;2;8;4;2;4;2;0;4;0;0;2;4;0;4;2;0;2;0;0;0;0;0;2;2;2;4;4;0;2;0;0
