;north;people;covid19;state;carolina;health;work;virus;force;gov;face;communities;cases;pandemic;task;carolinians;help;spread;school;black;important;continue;new;businesses;justice;testing;numbers;care;coverings;live;coopers;cooper;still;law;recovery;community;schools;watch;color;disparities;together;students;wear;give;loved;leaders;protect;across;economy;hospital;system;members;increase;country;briefing;home;families;enforcement;critical;another;update;hard;weeks;criminal;public;systemic;restrictions;updates;thank;especially;making;good;taking;business;order;percent;ones;lost;wearing;coronavirus;safely;reported;safe;social;working;local;economic;capacity;died;access;weekend;tests;highest;feet;florence;fight;women;difficult;racism;men
north;0;10;26;16;56;26;18;10;12;6;12;16;10;18;12;34;18;10;6;2;0;6;8;10;4;6;10;10;6;6;0;6;10;2;8;10;2;4;2;2;10;6;6;4;6;6;2;4;2;6;6;4;6;0;0;6;4;2;4;8;4;4;6;2;6;4;6;0;2;2;4;2;2;8;6;2;6;4;2;4;2;4;4;4;6;2;4;6;4;4;2;2;2;2;6;0;2;2;4;0
people;0;0;18;6;6;4;4;18;2;0;12;4;20;8;0;2;4;6;2;12;2;10;12;4;6;0;4;2;2;0;0;0;10;4;2;4;2;0;10;0;2;0;8;0;8;0;6;0;2;14;6;0;2;2;0;6;8;4;0;4;0;2;2;4;4;4;0;0;4;6;2;4;0;0;0;4;4;12;4;0;2;12;2;2;4;2;2;0;12;2;4;2;4;12;0;0;2;2;4;2
covid19;0;0;0;14;12;20;4;6;4;12;10;20;14;10;4;14;12;8;2;6;0;4;4;6;4;4;2;8;6;4;8;4;2;0;6;4;2;4;8;4;2;2;0;4;4;6;2;2;0;6;2;2;2;8;8;0;6;0;6;6;4;2;2;2;2;0;0;8;4;4;2;2;2;4;6;4;2;6;6;2;2;4;2;4;0;4;4;2;4;6;2;0;2;0;4;4;0;2;2;0
state;0;0;0;0;12;10;12;10;4;0;0;12;4;10;4;4;6;4;4;2;2;8;4;2;2;10;0;4;0;0;2;0;4;8;4;4;6;0;4;4;0;4;0;0;2;10;2;16;2;2;2;0;4;8;0;2;2;8;8;2;0;0;6;0;4;4;0;0;8;2;0;4;2;0;2;0;2;4;0;0;2;0;0;0;2;4;0;0;2;2;4;4;0;0;4;4;0;0;0;0
carolina;0;0;0;0;0;14;8;8;10;6;4;4;8;8;10;2;4;8;2;0;0;4;6;8;4;0;2;4;2;6;0;6;8;0;6;6;2;4;0;2;0;2;2;4;2;6;0;4;2;4;4;4;6;0;0;4;2;0;2;4;4;0;6;2;6;2;6;0;2;0;4;0;2;4;4;2;2;4;0;4;2;2;2;2;2;0;4;4;4;2;0;0;0;0;2;0;2;2;2;0
health;0;0;0;0;0;0;4;4;6;4;6;12;0;10;6;14;12;6;4;2;4;4;0;2;4;6;0;18;2;2;0;4;0;0;0;2;4;2;4;4;4;4;0;2;0;4;0;4;2;2;4;2;4;0;0;0;2;0;2;4;2;2;0;2;6;2;4;0;0;4;2;0;4;4;2;0;0;0;0;2;4;0;2;4;2;6;6;2;0;4;2;0;2;0;0;2;0;0;0;0
work;0;0;0;0;0;0;0;10;2;0;6;4;0;4;2;6;4;4;6;0;6;4;6;4;6;2;4;0;4;2;0;0;4;4;6;0;6;0;0;2;12;2;4;0;6;0;4;6;4;2;4;0;2;0;0;2;0;4;6;0;0;10;2;4;2;2;0;0;6;4;4;6;0;0;0;0;6;0;0;0;2;0;0;2;2;4;0;2;0;0;0;0;0;0;4;4;0;2;4;0
virus;0;0;0;0;0;0;0;0;0;0;14;4;6;0;0;0;4;18;2;2;6;4;6;2;0;2;4;2;4;0;0;0;8;2;2;2;4;2;4;0;2;2;8;0;8;0;10;4;8;6;2;0;4;2;0;2;4;0;0;2;0;2;6;0;4;0;6;0;2;6;0;4;2;2;2;0;6;2;6;0;4;2;0;0;0;2;2;2;4;2;2;0;0;4;2;0;0;6;2;0
force;0;0;0;0;0;0;0;0;0;16;0;0;0;0;32;2;2;0;0;2;0;0;0;2;8;0;0;4;0;14;0;16;0;2;0;0;0;14;2;4;4;0;0;14;0;2;0;0;0;0;4;14;0;0;0;0;0;2;0;0;14;2;2;4;0;4;0;0;0;0;2;2;0;2;2;0;0;2;0;14;0;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0
gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;0;2;0;0;2;0;0;2;0;16;20;22;0;0;2;0;0;16;0;0;0;0;0;16;0;2;0;0;0;0;0;14;0;0;16;0;0;0;0;0;16;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
