kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
city,88,new,75,new,191,new,192,new,151,city,83,new,744
new,83,city,73,city,168,city,167,city,122,new,52,city,701
york,34,yorkers,33,covid19,108,crisis,78,covid19,87,people,31,yorkers,288
yorkers,32,york,28,york,88,covid19,78,yorkers,56,hall,22,york,285
people,22,#saveourcity,26,people,75,yorkers,77,york,55,safe,21,covid19,285
take,18,fight,19,crisis,71,help,76,people,45,join,21,people,244
community,17,people,18,yorkers,69,york,59,health,45,yorkers,21,help,211
safe,16,nypd,16,help,65,health,58,testing,40,york,21,crisis,191
street,16,help,15,health,57,people,53,care,38,violence,19,health,186
working,16,officers,13,care,56,testing,50,call,37,police,16,care,166
home,15,coronavirus,13,cases,32,workers,47,help,34,nypd,14,testing,132
join,15,working,13,workers,30,care,46,crisis,31,change,14,call,120
nypd,15,citys,12,call,30,week,43,week,30,help,14,lives,119
call,14,safe,11,lives,30,hospitals,41,lives,30,communities,14,thank,113
protect,14,thank,11,take,30,thank,38,test,29,work,14,work,106
tonight,13,big,10,stay,30,lives,36,work,25,moment,13,fight,105
puerto,13,work,10,updates,29,front,35,safe,25,restart,13,workers,104
fight,13,trump,10,home,29,federal,31,hall,24,testing,12,join,104
work,13,kids,10,federal,28,protect,29,community,24,businesses,12,safe,103
care,12,join,10,work,27,face,29,face,22,covid19,12,working,102
citys,12,affordable,9,response,27,million,27,social,22,face,11,week,101
health,11,home,9,testing,27,ventilators,26,free,22,support,11,protect,99
country,11,country,9,public,26,social,26,thank,22,officers,11,home,97
everyone,10,family,9,working,26,cant,25,working,20,free,11,hall,95
end,10,together,9,fight,25,next,24,together,20,bronx,11,community,93
americans,10,protect,9,protect,25,support,24,fight,20,nyc,9,take,92
trump,10,families,8,hospitals,25,hall,24,take,19,together,9,public,82
water,10,health,8,citys,24,call,24,join,19,message,9,face,82
workers,10,community,8,thank,24,#askmymayor,23,next,19,night,9,nypd,78
thank,10,honor,8,hospital,24,public,23,coverings,19,coverings,9,federal,78
families,10,lives,8,coronavirus,24,fight,23,distancing,19,protest,9,hospitals,77
rico,10,wont,8,government,24,gowns,22,home,18,social,8,together,76
across,10,coming,8,save,23,communities,22,weeks,18,care,8,next,71
attack,9,businesses,8,join,22,community,22,may,18,tonight,8,social,71
please,9,call,8,close,22,government,22,heroes,17,june,8,country,67
change,9,someone,7,school,21,surgical,21,country,17,yesterday,8,support,66
war,9,311,7,week,21,medical,21,summer,17,seen,8,cant,63
jewish,9,side,7,symptoms,21,distancing,21,public,17,thank,8,government,63
brooklyn,9,test,7,masks,21,hospital,21,disease,16,working,8,test,63
streets,9,neighborhood,7,contact,20,latest,21,support,16,public,8,still,62
antisemitism,9,great,7,spread,20,together,21,nypd,15,home,8,million,61
behalf,9,information,7,supplies,20,state,21,311,15,peaceful,8,save,61
year,9,streets,7,positive,20,still,20,protect,15,community,8,coming,61
bring,9,doctor,7,feel,19,personnel,20,sites,15,black,7,families,61
kids,9,next,7,continue,19,working,19,learning,14,curfew,7,communities,60
fellow,9,administration,7,ventilators,19,supplies,19,positive,14,saw,7,311,60
ready,8,behalf,7,hall,19,sites,19,needs,13,lives,7,citys,59
climate,8,america,7,immediately,19,home,18,kids,13,streets,7,stay,58
theres,8,still,6,coming,19,wont,18,tested,13,making,7,front,57
power,8,immediately,6,tested,18,food,18,place,13,health,7,school,57
main,8,good,6,staff,18,lines,17,businesses,13,protect,7,businesses,56
snow,8,taking,6,information,18,fighting,17,cannot,13,restaurants,7,everyone,56
could,8,head,6,state,18,join,17,tests,13,crisis,7,distancing,56
effect,8,clear,6,case,17,work,17,pain,12,real,7,hospital,55
tomorrow,8,yorker,6,doctor,17,stay,16,update,12,call,7,across,55
stop,8,town,6,could,17,country,16,wont,12,cure,7,wont,55
lives,8,cdc,6,everyone,17,save,16,yorker,12,young,6,free,55
big,8,school,6,311,17,lost,16,across,12,neighborhoods,6,needs,55
talk,8,save,6,still,17,take,16,@nychealthsystem,12,20,6,kids,53
help,7,care,6,system,16,line,16,child,12,coming,6,could,52
action,7,safest,6,sick,16,disease,16,comes,12,movement,6,medical,52
de,7,safer,6,medical,16,virus,16,per,12,updates,6,coronavirus,52
queens,7,loved,6,lot,16,recovery,15,able,12,country,6,weeks,51
crime,7,job,6,front,16,families,15,coming,12,needs,6,cases,51
taking,7,leadership,6,good,15,days,15,still,12,anyone,6,updates,51
fear,7,put,6,safe,15,seeing,15,1,11,find,6,state,50
311,7,communities,6,confirmed,15,tests,15,million,11,actions,6,immediately,50
someone,7,isnt,6,social,15,safe,15,beaches,11,rights,6,yorker,49
million,7,stop,6,families,15,heroes,14,hit,11,phase,6,fighting,48
king,7,single,5,risk,15,across,14,workers,11,week,6,positive,47
trumps,7,weeks,5,together,15,rent,14,early,11,forward,6,disease,47
america,7,change,5,covid,14,seen,13,seen,11,monday,6,good,47
area,7,trumps,5,distancing,14,weeks,13,hospitals,11,bring,6,seen,46
march,7,attempt,5,students,14,good,13,cant,11,move,6,lost,46
administration,6,report,5,update,14,students,13,five,11,beginning,5,ventilators,46
loved,6,flu,5,community,14,making,13,ensure,11,next,5,family,46
#mlkday,6,@realdonaldtrump,5,face,14,yorker,13,fighting,11,bringing,5,anyone,45
crews,6,news,5,part,14,needs,13,find,11,youth,5,food,44
stand,6,status,5,692692,14,everyone,13,everyone,11,discipline,5,information,44
federal,6,symptoms,5,needs,13,neighbors,13,capacity,11,fought,5,latest,44
communities,6,keeping,5,schools,13,cities,13,think,11,across,5,students,43
keeping,6,government,5,disease,13,school,13,doctor,11,job,5,days,43
evening,6,across,5,family,13,ahead,13,federal,11,reform,5,taking,43
island,6,apartments,5,important,13,april,12,latest,11,fight,5,response,42
staten,6,seen,5,text,13,311,12,symptoms,10,street,5,big,42
heartbreaking,6,able,5,anyone,12,big,12,school,10,without,5,lot,42
neighbors,6,act,5,lost,12,enough,12,world,10,stop,5,streets,41
needs,6,women,5,hands,12,lot,12,seeing,10,disciplinary,5,seeing,41
local,6,ready,5,kids,12,test,11,step,10,tomorrow,5,tonight,41
2020,6,results,5,enough,12,@nychealthsystem,11,june,10,transit,5,end,40
world,6,council,5,next,12,coverings,11,nursing,10,chief,5,may,40
family,6,young,5,days,12,hit,11,save,10,continue,5,moment,40
#nohatenofear,6,take,5,essential,12,something,11,progress,10,protests,5,supplies,40
best,6,love,5,businesses,12,anyone,11,year,10,test,5,doctor,40
yorker,6,member,5,weeks,12,may,11,pandemic,10,seeing,5,contact,40
still,6,attack,5,news,12,seniors,11,police,10,ive,5,symptoms,39
safest,6,case,5,nyc,12,states,11,families,10,yorker,5,stop,39
ones,6,safety,5,food,12,supply,11,goal,10,leaders,5,sites,39
think,6,thing,5,cant,12,greatest,11,start,10,action,5,change,39
lost,6,waiting,5,million,12,aid,11,team,10,update,5,coverings,39
