;new;city;yorkers;york;#saveourcity;fight;people;nypd;help;officers;coronavirus;working;citys;safe;thank;big;work;trump;kids;join;affordable;home;country;family;together;protect;families;health;community;honor;lives;wont;coming;businesses;call;someone;311;side;test;neighborhood;great;information;streets;doctor;next;administration;behalf;america;still;immediately;good;taking;head;clear;yorker;town;cdc;school;save;care;safest;safer;loved;job;leadership;put;communities;isnt;stop;single;weeks;change;trumps;attempt;report;flu;@realdonaldtrump;news;status;symptoms;keeping;government;across;apartments;seen;able;act;women;ready;results;council;young;take;love;member;attack;case;safety;thing;waiting
new;0;72;64;52;20;14;12;12;14;8;14;8;16;8;6;10;6;6;6;8;6;8;6;6;8;6;4;4;2;2;8;4;6;6;8;4;8;2;8;6;0;12;2;4;2;6;6;4;2;6;6;8;6;4;12;4;4;0;4;0;4;4;2;4;4;6;6;4;0;4;6;4;4;4;4;4;2;4;6;6;0;4;4;4;2;6;0;0;2;6;2;4;4;4;2;4;6;6;6;2
city;0;0;30;40;24;20;10;18;8;14;12;16;4;8;8;12;6;6;6;14;4;6;8;8;10;4;8;4;8;6;6;8;4;2;2;0;2;2;6;6;4;6;6;0;4;6;10;10;4;0;0;8;4;4;8;8;2;0;0;2;10;10;4;2;0;4;8;8;2;4;6;6;4;6;4;0;6;0;2;2;4;6;6;2;6;6;0;2;4;4;2;2;4;2;4;8;6;6;4;4
yorkers;0;0;0;8;6;6;6;8;10;6;2;2;4;8;6;4;6;4;2;4;2;4;2;0;4;2;0;0;0;0;6;4;2;2;6;0;4;0;0;4;0;4;2;4;0;4;6;4;0;6;4;6;4;2;0;0;0;0;0;0;4;2;0;4;4;2;6;2;0;4;2;0;4;4;0;4;2;2;4;4;0;2;0;4;2;0;0;0;0;2;2;2;2;2;0;4;0;6;6;0
york;0;0;0;0;12;8;4;0;2;0;12;6;12;0;0;6;0;4;4;4;2;2;4;2;2;4;4;2;0;0;4;0;4;4;0;0;0;2;6;0;0;6;0;0;2;4;0;0;2;2;0;4;4;4;6;4;2;0;4;0;0;0;0;0;0;6;0;2;0;0;4;4;2;0;2;0;0;0;0;2;0;2;2;0;0;4;0;0;2;4;0;0;2;0;2;0;6;2;4;2
#saveourcity;0;0;0;0;0;8;2;0;6;0;0;8;8;2;4;4;0;0;6;0;8;4;0;2;4;2;4;0;0;0;2;4;2;12;0;0;0;2;0;6;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;4;0;4;6;0;0;2;0;2;0;0;0;2;4;0;2;4;0;0;0;0;0;0;4;0;0;6;2;4;2;0;0;0;2;0;8;2;2;0;6;0;0;0;0;4
fight;0;0;0;0;0;0;4;0;0;0;0;10;0;0;4;2;2;4;2;2;0;2;2;0;0;0;4;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;4;4;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4;0;0;0;2;0;2;0;0;0;0;2
people;0;0;0;0;0;0;0;2;2;2;2;6;4;4;2;2;0;6;2;0;0;0;6;0;4;4;0;2;2;0;2;6;4;0;0;0;0;2;0;4;0;4;2;0;0;4;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;6;0;2;4;0;0;2;2;0;0;0;4;2;0;0;2;0;0;0;2;2;2;0;0;2;0;0;2;0;0;8;2;0;0;0;0;0;0;0
nypd;0;0;0;0;0;0;0;0;4;18;0;0;0;8;2;8;2;0;4;2;0;2;0;4;4;2;2;0;2;4;0;0;2;0;0;4;0;0;0;2;0;0;2;0;0;0;2;8;0;0;2;0;0;0;0;2;0;0;0;0;8;2;2;0;0;0;4;0;0;2;0;0;0;4;2;0;2;2;0;0;2;0;2;0;2;4;0;2;0;0;0;2;0;0;0;4;0;2;0;0
help;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;0;0;0;6;0;2;0;2;2;0;0;0;0;0;2;0;6;6;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0
officers;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;0;0;2;0;0;2;0;0;4;2;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;2;0;0;0;0;6;2;0;0;0;2;4;0;2;2;0;0;0;4;2;0;0;0;0;0;2;0;2;0;4;4;0;4;0;0;0;2;0;0;0;2;0;2;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;2;0;0;4;0;0;2;0;4;0;0;0;0;2;0;0;2;0;0;6;0;0;2;0;0;0;2;0;0;2;2;2;2;2;2;0;0;6;0;0;0;0;0;0;0;2;4;0;0;0;0;6;0;0;0;4;0;0;2;0;2;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;6;0;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;2;8;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;2;2;0;2;4;2;2;2;2;2;0;0;6;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;0;2;0;0;2;0;4;0;0;0;0;4;2;2;2;0;2;0;0;2;0;2;8;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;2;2;0;2;0;0;2;4;2;2;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;4;0;2;0;2;0;0;2;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;10;2;2;0;0;0;0;0;2;0;0;2;0;10;0;0;0;2;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;4;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;2;0;4;0;0
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;4;0;4;0;0;2;2;4;0;2;0;0;0;2;0;0;0;0;0;0;12;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
kids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;4;2;0;0;0;0;2;0;2;0;0;4;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;2;0;2;2;0;0;2;2;2
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
affordable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;0;2;4;0;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;4;0;4;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;4;0;0;0;0;2;0;0;2;0;0;0;0;4;4;0;0;0;0;0;2;4;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;4;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;4
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;4;0;0;2;0;0;0;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;4;0;0;0;0;8;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;2;0;2;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
honor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0
wont;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;2;0;2;0;0;4;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
coming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;0;0;0;2;0;4;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
someone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
side;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;2;0;0
test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;0;2;2;0;0;2;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;6;0;0;0
neighborhood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;4;0;0;0;0;0;2;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;4;0;0;0
streets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;0;4;0;4;0;0;2;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
doctor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;2;4;0;2;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
behalf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
