;new;city;covid19;yorkers;york;people;health;testing;care;call;help;crisis;week;lives;test;work;safe;hall;community;face;social;free;thank;working;together;fight;take;join;next;coverings;distancing;home;weeks;may;heroes;country;summer;public;disease;support;nypd;311;protect;sites;learning;positive;needs;kids;tested;place;businesses;cannot;tests;pain;update;wont;yorker;across;@nychealthsystem;child;comes;per;able;coming;still;1;million;beaches;hit;workers;early;seen;hospitals;cant;five;ensure;fighting;find;everyone;capacity;think;doctor;federal;latest;symptoms;school;world;seeing;step;june;nursing;save;progress;year;pandemic;police;families;goal;start;team
new;0;104;58;108;102;20;22;22;20;30;32;28;16;22;30;20;26;0;20;14;24;18;14;20;14;22;8;12;12;12;24;8;14;16;6;12;8;14;12;12;16;14;8;14;2;10;12;4;8;8;8;6;12;6;0;14;24;10;10;8;10;8;14;10;6;10;6;6;4;4;6;6;2;6;10;10;8;8;4;6;8;4;4;0;6;4;2;4;4;10;2;10;4;12;4;2;2;6;2;8
city;0;0;80;24;92;16;24;18;14;18;12;20;16;18;14;8;20;48;10;8;10;24;10;12;8;10;6;22;4;4;10;6;0;12;10;16;4;8;2;6;8;6;6;8;0;6;4;0;4;8;6;4;8;4;20;8;2;12;10;8;6;4;8;10;4;6;2;4;6;4;0;4;0;0;8;4;2;6;6;6;4;4;4;22;4;2;10;2;2;6;2;8;0;6;10;10;6;2;8;6
covid19;0;0;0;18;28;16;22;22;14;4;10;24;12;8;16;10;8;42;10;2;4;6;10;6;8;22;4;22;4;0;4;6;2;8;14;16;0;6;10;8;2;2;4;2;2;18;8;2;16;6;4;6;4;4;24;12;10;0;6;4;4;2;6;6;0;2;0;0;4;4;4;6;8;4;2;0;6;6;2;2;4;4;2;22;4;2;8;2;0;2;6;4;2;4;10;2;6;2;0;10
yorkers;0;0;0;0;10;6;14;6;12;6;14;12;2;10;10;12;12;0;12;12;18;8;8;8;6;8;4;4;8;12;18;6;10;4;2;4;6;10;4;6;10;6;0;4;0;4;0;0;4;0;2;4;2;0;0;4;8;6;0;0;10;2;4;4;6;8;6;6;0;4;2;4;2;4;4;6;0;2;0;0;6;0;2;0;0;0;2;2;4;6;0;4;2;4;2;0;0;2;2;6
york;0;0;0;0;0;10;4;16;4;14;12;10;12;6;14;4;16;0;4;2;8;8;6;6;6;8;0;6;4;0;8;4;0;8;4;6;2;2;2;4;2;6;4;6;0;4;6;0;4;6;0;2;6;4;0;8;4;2;6;6;2;2;6;6;2;4;0;2;0;0;0;4;0;2;4;2;6;4;4;4;2;4;2;0;4;2;0;0;0;4;2;6;2;6;0;2;2;0;2;0
people;0;0;0;0;0;0;12;2;6;6;6;10;2;10;4;6;10;0;2;4;4;0;2;6;4;4;8;0;4;4;4;6;2;0;0;0;2;8;2;2;6;2;6;0;0;6;6;4;8;0;2;6;0;4;0;2;6;0;0;0;4;0;4;6;2;2;2;4;4;2;2;2;4;6;0;6;2;2;6;4;2;0;0;0;0;4;0;8;0;2;2;4;4;2;2;4;2;2;0;0
health;0;0;0;0;0;0;0;4;44;12;6;12;6;18;6;8;6;0;4;6;2;4;2;2;2;4;4;4;4;6;2;6;2;0;12;6;0;10;0;16;0;6;4;0;0;6;4;4;4;6;0;0;2;4;0;4;0;2;10;2;0;0;0;2;2;2;2;0;2;12;2;0;2;0;0;4;0;4;2;2;0;4;0;0;10;2;6;4;0;4;2;2;2;2;2;0;4;2;2;6
testing;0;0;0;0;0;0;0;0;10;6;6;6;8;0;22;2;6;0;8;4;0;16;4;0;4;6;2;0;10;4;0;4;6;2;0;2;0;2;14;0;0;2;0;18;0;6;2;2;8;2;0;0;10;2;0;2;2;8;8;2;6;4;2;8;2;0;0;0;2;2;4;4;0;0;6;0;4;10;0;8;0;2;14;0;4;2;0;0;2;2;8;0;4;0;0;0;0;0;2;0
care;0;0;0;0;0;0;0;0;0;16;2;8;4;10;16;6;6;0;2;2;2;4;2;6;4;6;6;4;8;2;2;6;2;0;12;2;0;2;0;12;0;6;4;2;0;6;2;0;4;4;0;2;2;4;0;4;0;0;4;4;2;0;0;2;0;2;2;0;2;12;2;2;0;2;0;2;0;8;0;2;0;4;0;0;10;0;2;2;0;6;10;2;0;0;2;2;0;0;0;6
call;0;0;0;0;0;0;0;0;0;0;12;4;0;4;8;0;4;0;2;0;2;8;2;6;2;4;6;0;2;0;2;12;2;0;0;2;0;2;0;4;4;24;6;2;0;2;12;0;0;4;0;2;0;10;0;0;0;2;2;14;4;0;2;0;4;0;0;0;0;0;6;8;0;2;0;0;2;4;4;0;4;12;0;0;12;4;2;0;0;6;2;0;0;0;0;0;0;2;0;0
