;new;#coronavirus;briefing;watch;giving;daily;available;state;people;interpretation;closed;york;live;asl;captioning;holding;updates;testing;yorkers;workers;et;federal;help;distancing;nys;thank;health;lost;states;stay;1130am;social;public;government;lives;#newyorktough;essential;ventilators;ny;healthcare;covid19;covid;facts;home;face;save;virus;cant;support;infection;working;antibody;order;hospital;wear;still;decisions;executive;protect;heroes;masks;meet;work;safe;reopening;frontline;without;good;governor;needs;curve;spread;best;risk;positive;together;reopen;tuned;grateful;million;yesterday;mourn;may;number;across;regional;based;additional;take;deserve;needed;scale;rate;thing;covering;results;phased;stop;believe;end
new;0;0;0;0;0;0;0;24;14;0;0;58;0;0;0;0;0;14;44;14;0;2;12;16;10;10;16;22;6;2;0;8;14;0;4;6;8;4;8;10;12;10;6;2;10;0;8;4;2;4;2;10;12;0;6;14;6;12;2;0;12;4;2;2;4;2;6;2;0;4;4;0;2;4;4;2;4;0;8;6;10;10;2;6;6;4;6;4;0;2;4;0;4;6;4;4;6;2;6;0
#coronavirus;0;0;120;108;66;60;0;0;2;0;0;0;60;0;0;58;56;0;0;0;50;0;2;2;4;0;0;0;0;14;38;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
briefing;0;0;0;106;64;62;0;0;0;0;0;0;58;0;0;58;54;0;0;0;52;0;0;0;0;0;2;0;0;14;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
watch;0;0;0;0;52;48;0;0;0;0;0;0;62;0;0;58;56;0;0;0;48;0;0;0;0;0;2;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
giving;0;0;0;0;0;62;0;0;0;0;0;0;4;0;0;0;2;0;0;0;50;0;0;0;0;0;2;0;0;14;38;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
daily;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;48;2;0;0;0;2;2;0;0;14;38;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;14;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
available;0;0;0;0;0;0;0;2;0;62;60;0;0;62;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;4;0;0;18;0;0;0;0;0;10;2;8;0;10;6;0;0;8;6;2;12;0;0;0;2;4;4;2;4;6;6;8;10;0;2;0;0;4;6;0;2;0;2;6;6;0;0;0;4;6;0;2;2;2;0;2;2;2;2;0;0;4;2;0;0;0;6;4;0;0;8;2;0;0;2;0;4;2;4;0;4;0;2;2;0;2;0;4;0;0;4;0
people;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;2;4;2;0;4;6;4;4;4;2;6;4;2;0;4;4;2;2;2;0;4;6;2;2;4;2;4;4;2;4;2;2;4;2;0;4;2;2;2;0;2;2;0;2;0;0;0;2;2;0;4;0;4;2;2;0;0;2;0;2;0;2;0;4;2;0;4;4;0;0;2;2;4;0;2;8;0;2;2;2;2;0;0
interpretation;0;0;0;0;0;0;0;0;0;0;60;0;0;62;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
