;new;#coronavirus;york;watch;briefing;state;yorkers;daily;giving;ny;health;live;people;testing;nys;help;states;updates;holding;cases;workers;available;closed;federal;covid;thank;public;wear;mask;1130am;captioning;spread;tests;home;stay;positive;work;update;government;et;interpretation;asl;reopening;yesterday;lost;law;police;lives;across;save;virus;working;social;nyc;covid19;hospital;take;still;#newyorktough;essential;order;facts;protect;healthcare;care;support;medical;cant;together;pandemic;stop;masks;reopen;distancing;capacity;country;safe;continue;may;call;1;provide;best;year;hate;act;phase;executive;confirmed;ventilators;#covid19;community;staff;president;good;rate;stand;businesses;lets;honor
new;0;96;364;38;10;134;238;4;14;50;52;18;54;60;62;72;54;10;2;46;32;4;4;14;42;26;28;20;28;0;0;36;26;26;30;30;30;36;22;0;0;0;32;34;50;14;12;14;40;18;26;16;22;26;34;16;20;36;16;16;24;18;14;28;10;20;14;10;22;28;18;22;20;20;20;22;16;28;22;20;28;8;12;14;14;4;26;20;34;14;24;16;8;8;10;10;24;8;8;4
#coronavirus;0;0;40;280;266;26;38;124;142;16;18;152;16;26;44;18;14;142;136;38;2;0;4;6;0;4;12;0;0;74;0;26;20;10;26;16;4;54;0;76;0;0;0;6;2;0;0;2;4;2;4;6;8;6;4;6;14;10;0;0;2;6;10;10;8;0;4;4;0;12;2;0;0;6;12;0;2;8;2;8;6;6;6;0;0;2;0;0;28;0;8;0;2;0;6;0;0;0;4;0
york;0;0;0;18;10;94;24;2;8;18;14;8;28;26;18;34;34;4;2;16;22;2;0;14;16;16;6;2;2;0;0;12;12;12;14;8;14;14;12;0;0;0;24;6;12;8;4;6;18;8;18;10;10;16;12;12;8;16;2;10;4;6;8;18;4;14;10;2;10;14;14;16;16;6;8;16;10;14;10;14;18;4;6;6;4;2;14;2;8;8;10;14;4;2;8;6;16;8;6;2
watch;0;0;0;0;330;6;18;186;200;2;4;198;0;2;4;0;6;134;140;4;0;2;0;0;4;0;0;2;2;108;0;0;0;0;0;0;0;16;0;88;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0
briefing;0;0;0;0;0;0;0;202;208;0;2;176;0;0;4;0;0;132;140;0;0;0;0;0;2;0;0;0;0;108;0;0;0;0;16;0;0;4;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;24;0;2;16;22;2;16;24;4;22;20;6;0;12;16;4;0;14;2;10;10;2;2;0;0;8;14;10;12;12;22;6;8;0;0;0;10;0;2;12;22;4;26;6;12;10;4;10;16;4;8;4;4;4;20;4;10;16;4;8;8;2;6;8;2;6;8;4;10;10;8;12;6;12;12;6;4;6;10;12;6;16;2;6;4;10;2;2;4;4;4;0;4;8
yorkers;0;0;0;0;0;0;0;0;4;10;16;8;16;10;10;22;12;2;0;14;2;2;0;0;14;10;10;14;20;0;0;18;8;10;14;6;8;10;10;0;0;0;6;26;42;2;0;8;12;6;6;2;8;2;12;0;16;20;14;2;6;12;8;4;2;10;2;6;10;10;2;0;4;8;4;8;6;14;6;10;10;4;0;4;8;2;10;4;12;6;2;4;2;4;0;2;6;0;2;4
daily;0;0;0;0;0;0;0;0;202;0;2;40;4;2;2;0;0;0;0;0;2;0;2;2;12;2;2;0;0;106;0;2;4;0;16;6;0;2;2;86;0;0;2;6;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;6;4;0;4;4;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0
giving;0;0;0;0;0;0;0;0;0;0;2;46;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;106;0;0;0;0;16;0;0;12;2;88;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
ny;0;0;0;0;0;0;0;0;0;0;14;0;14;12;12;14;26;0;0;10;4;2;6;16;12;12;4;2;2;0;0;8;10;2;2;8;2;4;6;0;0;0;14;2;6;10;8;6;10;2;4;4;4;2;12;4;4;0;6;0;2;2;8;8;4;10;8;12;8;4;2;12;6;2;12;14;0;4;4;2;4;6;2;10;8;4;10;2;4;8;4;6;6;2;4;2;8;2;2;8
health;0;0;0;0;0;0;0;0;0;0;0;0;14;18;18;20;8;2;2;4;20;0;2;8;2;14;42;6;2;0;0;4;0;8;4;2;10;4;2;2;0;0;6;0;14;10;6;14;2;8;8;10;6;6;8;0;2;8;0;10;14;2;10;6;34;8;14;12;2;10;0;4;6;2;2;2;2;4;2;14;0;10;6;2;0;0;2;12;6;0;10;0;12;0;0;0;4;4;2;2
live;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;132;136;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;10;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;18;8;0;0;6;4;0;0;8;14;6;8;6;6;0;0;8;6;8;8;20;8;0;8;0;0;0;2;6;10;8;4;8;8;4;10;2;8;6;4;6;6;8;4;0;6;8;8;6;0;6;4;10;0;4;4;2;2;6;2;4;0;0;4;4;2;4;0;0;2;4;2;4;0;4;4;4;0;4;10;12;0;0;6;4
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;12;16;0;0;4;8;2;2;18;18;0;10;0;0;0;0;4;18;2;0;6;4;4;10;0;0;0;2;0;0;0;2;0;2;0;8;16;0;10;6;0;2;4;2;10;6;0;4;8;2;2;0;6;0;6;0;0;6;2;28;0;0;2;2;2;4;0;2;0;0;2;0;4;2;0;8;0;4;0;4;4;0;0;0;0
nys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;12;0;0;36;14;0;0;12;8;8;8;0;0;0;0;10;10;0;2;16;4;20;6;0;0;0;4;2;4;6;2;6;4;4;2;12;4;10;12;8;0;6;2;8;0;2;2;4;6;4;6;2;0;6;6;2;6;2;8;0;8;6;4;12;4;8;4;4;0;2;0;0;22;0;8;2;4;2;8;6;2;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;6;10;0;2;12;4;4;8;4;4;0;0;28;8;18;4;2;6;2;8;0;0;0;2;0;4;2;2;6;6;8;14;4;6;6;6;6;16;6;0;2;6;2;8;12;4;4;10;4;8;10;4;0;2;4;4;4;10;0;6;10;0;4;4;0;0;0;0;4;0;6;8;4;6;0;0;0;4;4;2;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;0;2;26;12;0;2;0;2;0;0;4;6;2;2;0;2;4;8;0;0;0;6;2;2;0;2;2;6;2;6;10;0;0;12;0;2;4;2;2;2;2;2;6;2;2;6;8;6;8;2;4;0;2;0;6;2;2;4;0;0;2;2;4;0;10;0;0;0;6;8;2;0;8;2;2;0;0;4;0
updates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
holding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;4;0;2;0;0;0;0;8;10;6;4;20;2;28;0;0;0;0;0;2;2;4;2;2;4;0;2;2;0;4;8;2;8;10;0;0;2;4;4;0;2;0;0;0;0;0;4;0;0;0;0;2;0;8;4;4;6;0;0;0;0;0;0;2;32;0;4;0;0;0;4;2;4;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;20;8;8;4;0;0;4;0;8;10;2;6;0;8;0;0;0;0;0;8;4;8;8;6;2;4;4;0;6;6;2;0;0;6;38;2;2;4;28;10;12;8;4;0;4;2;10;2;2;0;2;0;6;2;4;2;6;6;4;0;0;0;2;0;0;2;2;2;0;6;0;2;0;0;8
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;2;0;0;0;2;2;0;108;0;2;0;0;2;0;0;0;0;94;94;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;2;2;0;2;0;2;0;2;4;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0
closed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;108;4;2;0;0;2;0;2;0;0;92;92;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;4;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;0;0;0;4;2;2;0;0;8;2;46;0;0;0;6;0;0;2;0;8;0;2;2;6;2;2;6;14;8;2;0;0;4;0;0;4;6;2;8;6;2;4;4;2;4;2;8;2;0;0;0;0;0;8;4;0;2;14;0;2;0;8;2;0;4;18;0;4;0;0;2;2
covid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;4;30;6;2;32;0;22;8;2;0;0;4;36;8;4;0;2;4;0;6;6;2;8;4;6;2;10;0;2;0;2;2;0;0;2;0;0;0;8;0;0;4;2;2;0;0;2;2;0;4;0;0;0;0;0;0;0;2;0;0;2;8;4;4;4;2;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;0;0;4;4;0;16;0;6;0;0;0;2;0;6;2;0;10;2;6;0;2;2;4;2;6;0;4;12;10;0;4;2;10;6;6;10;4;2;0;0;4;0;0;0;0;4;2;0;2;0;2;14;0;0;2;0;0;0;8;0;0;6;0;4;0;0;0;4;8
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;26;0;0;4;2;4;6;0;8;2;4;0;0;0;4;0;2;4;0;6;0;6;4;2;16;2;2;2;6;6;4;6;10;4;8;4;4;0;2;12;2;2;2;6;4;8;0;0;2;6;0;0;2;6;2;0;0;0;2;8;2;0;4;2;2;0;0;0;2;0;0;0
wear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;6;0;0;0;0;0;0;2;0;0;0;4;0;0;6;2;2;0;4;4;0;12;0;0;0;0;6;4;2;8;0;6;0;8;0;0;6;0;0;4;14;0;10;0;2;4;0;2;0;2;2;4;0;0;0;4;6;0;0;0;2;4;0;0;0;0;4;0;2
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;4;0;0;0;4;2;0;2;0;2;2;4;4;0;14;0;0;0;4;6;6;0;4;0;4;0;4;0;0;8;0;0;4;4;2;8;0;0;4;2;4;0;2;0;4;0;0;0;2;4;0;0;0;2;0;2;0;0;0;2;0;2
1130am;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
captioning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;28;14;8;2;0;2;0;0;0;0;0;2;0;0;16;6;22;8;2;6;6;6;4;16;6;6;4;2;2;8;6;2;0;0;4;0;2;30;0;2;8;4;2;0;6;4;6;2;2;6;2;2;0;0;0;0;0;10;4;2;0;0;6;0;0;2;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;42;4;32;2;0;0;0;0;24;0;0;0;0;0;0;4;4;0;6;2;0;4;4;0;0;0;0;2;2;0;0;2;0;2;0;2;0;2;0;8;2;2;2;2;2;8;0;2;0;0;0;0;0;8;2;2;0;0;2;10;2;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;2;8;0;0;0;0;0;2;0;0;2;0;12;2;32;4;0;8;4;0;2;12;4;12;6;4;2;6;8;2;0;0;8;2;2;16;0;0;8;0;2;2;2;4;2;0;2;4;2;0;0;0;4;0;0;2;0;6;0;2;2;0;2;2;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;2;0;0;2;0;0;0;0;6;4;22;6;0;2;8;0;2;0;6;16;6;2;6;6;2;0;0;0;2;0;4;10;0;0;6;0;2;6;4;2;0;0;2;4;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;2;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;24;0;0;4;0;0;0;4;0;0;10;12;0;4;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;4;0;8;0;2;6;2;0;0;0;0;0;0;10;0;0;0;0;0;8;6;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;2;2;4;6;4;2;4;6;4;2;0;6;4;4;2;4;8;2;4;4;4;0;6;2;14;2;2;2;8;0;2;2;6;4;0;0;2;2;10;2;0;2;2;6;0;2;2;4;4;4;2;0;0;4;6;4
