;new;watch;briefing;#coronavirus;daily;giving;york;live;state;yorkers;people;covid;holding;ny;updates;testing;mask;1130am;health;wear;available;workers;et;states;closed;asl;reopening;interpretation;captioning;nys;yesterday;thank;help;lost;tests;federal;positive;police;public;reopen;government;#newyorktough;covid19;stay;distancing;essential;phase;work;nyc;social;lives;may;law;1;facts;virus;press;working;masks;pandemic;support;order;moment;region;across;reform;cant;home;still;together;curve;good;country;begin;spread;executive;hospitalizations;crisis;change;safe;protect;face;infection;update;tested;thing;ventilators;without;frontline;stop;cases;call;show;honor;came;use;data;regions;act;americans
new;0;10;4;4;4;2;188;6;62;122;30;42;2;22;0;36;28;0;22;18;4;18;0;22;0;0;32;0;0;20;32;16;28;42;8;4;8;6;18;20;8;12;24;12;18;14;26;12;18;14;4;18;6;18;14;14;2;8;16;18;8;16;2;12;16;6;6;4;20;10;16;6;8;16;2;16;14;10;4;8;2;12;8;2;18;12;4;8;4;6;6;6;10;2;0;8;4;10;4;4
watch;0;0;310;232;186;190;8;166;2;2;0;4;124;0;118;0;2;108;2;2;0;0;88;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
briefing;0;0;0;244;200;202;4;160;0;0;0;2;124;0;116;0;0;108;2;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#coronavirus;0;0;0;0;122;128;0;124;0;4;2;0;120;0;118;0;0;74;0;0;0;0;76;0;0;0;0;0;0;4;4;0;2;2;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
daily;0;0;0;0;0;200;2;40;0;0;4;12;0;0;0;2;0;106;2;0;0;2;86;0;0;0;2;0;0;2;6;2;0;0;4;2;6;0;2;2;2;0;0;14;0;2;0;0;2;0;0;4;0;4;2;0;38;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0
giving;0;0;0;0;0;0;2;42;0;0;0;2;0;0;2;0;2;106;2;2;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;14;0;0;0;0;0;0;0;0;0;0;2;0;36;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;6;50;10;18;16;2;12;0;16;2;0;4;2;2;12;0;20;0;0;24;0;0;4;6;8;14;10;4;4;6;2;0;16;2;2;12;4;4;10;14;8;12;2;2;10;4;12;4;10;2;4;10;8;8;2;2;8;10;4;2;2;4;6;4;6;6;12;2;2;2;6;4;6;2;4;2;0;10;4;2;4;0;6;6;6;4;2;0;2;4;10;2;4
live;0;0;0;0;0;0;0;0;0;0;2;2;120;0;116;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;36;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;8;14;2;0;14;0;16;2;0;12;2;2;10;0;16;0;0;10;0;0;2;0;10;12;2;6;12;10;12;4;8;6;4;16;0;4;4;6;6;6;4;4;6;8;8;4;6;0;6;4;4;6;16;0;2;14;10;2;2;0;4;2;0;6;4;0;16;0;6;4;4;4;0;0;0;8;2;6;6;4;0;6;10;4;4;2;2;8;10;8;2
yorkers;0;0;0;0;0;0;0;0;0;0;10;14;0;4;0;6;20;0;8;14;2;0;0;2;0;0;6;0;0;2;26;10;4;36;2;0;0;0;10;4;6;10;6;8;8;0;10;2;2;8;4;6;0;8;10;4;0;2;0;8;4;2;2;4;6;0;4;0;12;4;16;0;4;8;0;2;6;4;0;2;4;6;2;0;4;8;2;0;2;0;0;0;4;2;0;6;2;2;2;0
