;oregon;health;state;oregonians;work;change;together;access;climate;republicans;flooding;communities;people;voting;ready;help;future;response;thank;show;action;recovery;voter;oregons;clear;crisis;@oregonguard;fire;continue;president;ensure;umatilla;due;local;country;fighting;care;public;place;story;damage;rights;please;critical;jobs;making;season;team;million;emergency;taking;capitol;safe;resources;pass;warming;policy;2020;comes;commitment;efforts;robotics;states;eligible;wildfire;voters;great;shut;black;working;important;compromise;session;children;committed;disappointed;foster;forest;students;walked;government;happy;away;families;ballot;could;coronavirus;responders;vote;officials;welcome;thoughts;learning;happened;matter;walk;believe;history;inspire;victory
oregon;0;6;4;8;6;6;6;4;4;0;2;6;0;2;4;2;6;0;2;0;4;2;2;2;0;4;0;0;2;2;2;2;2;0;4;4;2;0;2;0;2;2;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;2;0;2;0;0;2;0;2;2;0;0;4;2;0;0;2;0;2;2;2;2;0;0;0;2;4;2;2;0;0;0;2;2;0
health;0;0;0;8;2;4;0;2;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;4;0;0;0;2;2;0;0;2;0;4;4;4;0;0;0;0;0;2;0;0;0;2;2;0;4;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0
state;0;0;0;2;2;4;2;2;0;4;6;2;4;2;4;2;2;2;4;2;2;4;2;0;2;0;4;0;6;0;0;4;2;4;0;0;2;0;0;0;0;0;0;4;6;2;0;2;0;4;0;4;2;2;0;0;0;0;0;4;0;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;2;2;2;0;2;0;4;0;0;0;0;2;0;2;0;0;0;2;2;4;2;0;0;2
oregonians;0;0;0;0;6;0;8;0;0;0;2;4;2;0;2;6;2;4;2;0;0;2;0;0;0;2;4;0;0;2;2;0;0;2;0;2;0;0;2;0;6;0;2;0;0;2;0;2;4;0;4;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;2;4;2;0;2;0;2;0;0;0;0;0;0;0;0
work;0;0;0;0;0;2;8;0;2;4;0;4;0;0;2;0;2;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0
change;0;0;0;0;0;0;2;0;10;0;2;0;2;0;0;0;6;0;2;0;4;2;0;4;4;4;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0
together;0;0;0;0;0;0;0;2;2;0;0;4;2;2;0;2;4;2;0;0;2;2;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2
access;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;8;0;0;0;0;0;2;2;4;0;0;0;4;4;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
climate;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;4;0;0;4;4;4;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
republicans;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;4;2;0;0;4;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
flooding;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;6;2;2;0;0;2;0;2;0;0;0;2;2;4;4;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;4;2;0;0;0;0;0;2;0;2;0;2;0;4;0;0;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;4;0;2;0;4;0;0;2;2;4;2;2;2;2;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0
voting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4
