Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
"This is no time for Oregonians to lose their homes or businesses. Thanks to legislators, today I extended the residential &amp; commercial eviction bans through Sept 30. Renters can repay back rent through March 31, 2021 without late fees or being reported to credit agencies.",300,2020-06-30 20:05:57,Twitter Web App,995,192,OregonGovBrown,1278057203237175297,,3023272478,False,https://t.co/sgFIIEcaWe,en,June,Q2,"['oregonians', 'lose', 'homes', 'businesses', 'thanks', 'legislators', 'extended', 'residential', 'commercial', 'eviction', 'bans', 'sept', '30', 'renters', 'repay', 'rent', 'march', '31', '2021', 'without', 'late', 'fees', 'reported', 'credit', 'agencies']"
"In Oregon, voting from home has bipartisan support. Take it from Republican @OregonSOS Bev Clarno. While COVID-19 has disrupted in-person elections around the country, Oregon had record turnout for the May primary, and no one had to risk their health to cast their ballot.",296,2020-06-30 04:08:01,Twitter Web App,1174,320,OregonGovBrown,1277816132418719744,,3023272478,False,https://t.co/wWLUyrsevL,en,June,Q2,"['oregon', 'voting', 'home', 'bipartisan', 'support', 'take', 'republican', '@oregonsos', 'bev', 'clarno', 'covid19', 'disrupted', 'inperson', 'elections', 'country', 'oregon', 'record', 'turnout', 'may', 'primary', 'risk', 'health', 'cast', 'ballot']"
"Since the beginning of this pandemic, grocery employees have worked selflessly to keep Oregonians fed. The Northwest Grocery Association is issuing an ""urgent call to the public"" to wear a mask, no matter the grocery store. Please help keep our grocery employees and stores safe.",279,2020-06-29 23:40:20,Twitter Web App,3732,758,OregonGovBrown,1277748770034221056,,3023272478,False,,en,June,Q2,"['beginning', 'pandemic', 'grocery', 'employees', 'worked', 'selflessly', 'oregonians', 'fed', 'northwest', 'grocery', 'association', 'issuing', 'urgent', 'call', 'public', 'wear', 'mask', 'matter', 'grocery', 'store', 'please', 'help', 'grocery', 'employees', 'stores', 'safe']"
"Please keep your 4th of July celebrations small &amp; local. We saw a lot of new COVID-19 cases after Memorial Day weekend. Another spike could put Oregon in a dangerous position of our hospitals being overwhelmed by new cases and hospitalizations within weeks. Be smart, please.",279,2020-06-29 21:01:20,Twitter Web App,1036,158,OregonGovBrown,1277708756814450689,3023272478.0,3023272478,False,,en,June,Q2,"['please', '4th', 'july', 'celebrations', 'local', 'saw', 'lot', 'new', 'covid19', 'cases', 'memorial', 'weekend', 'another', 'spike', 'could', 'put', 'oregon', 'dangerous', 'position', 'hospitals', 'overwhelmed', 'new', 'cases', 'hospitalizations', 'within', 'weeks', 'smart', 'please']"
"I do not want to have to close down businesses again like other states are now doing. If you want your local shops and restaurants to stay open, then wear a face covering when out in public. It's up to all of us what happens next.",230,2020-06-29 21:01:20,Twitter Web App,1795,363,OregonGovBrown,1277708756042706945,3023272478.0,3023272478,False,,en,June,Q2,"['close', 'businesses', 'states', 'local', 'shops', 'restaurants', 'stay', 'wear', 'face', 'covering', 'public', 'happens', 'next']"
"Keeping Oregonians safe is my top priority. Over the last month, COVID-19 spread at an alarming rate in both urban and rural counties. That's why I'm requiring face coverings in indoor public places in ALL counties, effective 7/1. We can &amp; must reduce the spread of this disease.",307,2020-06-29 21:01:20,Twitter Web App,4486,1356,OregonGovBrown,1277708754742415361,,3023272478,False,https://t.co/txZyucIsqm,en,June,Q2,"['keeping', 'oregonians', 'safe', 'top', 'priority', 'month', 'covid19', 'spread', 'alarming', 'rate', 'urban', 'rural', 'counties', 'requiring', 'face', 'coverings', 'indoor', 'public', 'places', 'counties', 'effective', '71', 'reduce', 'spread', 'disease']"
"Many will continue to attack and try to chip away at reproductive rights. Here in Oregon, I will continue to defend access to the full complement of reproductive health care services for all.",191,2020-06-29 16:12:46,Twitter Web App,589,32,OregonGovBrown,1277636136601448448,3023272478.0,3023272478,False,,en,June,Q2,"['continue', 'attack', 'try', 'chip', 'away', 'reproductive', 'rights', 'oregon', 'continue', 'defend', 'access', 'full', 'complement', 'reproductive', 'health', 'care', 'services']"
"To lead thriving lives, Oregonians must have the ability to control our own bodies and make informed decisions about our health. Today, the U.S. Supreme Court's decision adhered to decades of its own precedent to maintain protections for our reproductive rights and freedom.",298,2020-06-29 16:12:46,Twitter Web App,774,64,OregonGovBrown,1277636135359934475,,3023272478,False,https://t.co/j9xZ1l3DxD,en,June,Q2,"['lead', 'thriving', 'lives', 'oregonians', 'ability', 'control', 'bodies', 'informed', 'decisions', 'health', 'supreme', 'courts', 'decision', 'adhered', 'decades', 'precedent', 'maintain', 'protections', 'reproductive', 'rights', 'freedom']"
"Pride is a time to celebrate our successes, and also double down on our efforts to ensure that everyone in our communities has the opportunity to unabashedly be themselves, here in Oregon and across the country. #PrideDay",245,2020-06-29 01:31:00,Twitter Web App,213,27,OregonGovBrown,1277414229331423232,,3023272478,False,https://t.co/9raFZs8nIa,en,June,Q2,"['pride', 'celebrate', 'successes', 'double', 'efforts', 'ensure', 'everyone', 'communities', 'opportunity', 'unabashedly', 'oregon', 'across', 'country', '#prideday']"
"Today, on June 28th, 1969, a riot started at the Stonewall Inn. The riots were led by black, trans, and bi women, to the continued traditions of this spirited celebration, it’s important to celebrate the rich history of all that has created pride in our communities.",290,2020-06-29 01:30:31,Twitter Web App,705,69,OregonGovBrown,1277414109068185601,,3023272478,False,https://t.co/LzWRY0Db7z,en,June,Q2,"['june', '28th', '1969', 'riot', 'started', 'stonewall', 'inn', 'riots', 'led', 'black', 'trans', 'bi', 'women', 'continued', 'traditions', 'spirited', 'celebration', 'important', 'celebrate', 'rich', 'history', 'created', 'pride', 'communities']"
