;people;america;care;trump;end;war;pay;health;working;social;americans;corporate;workers;year;american;big;billion;security;energy;medicare;tax;wall;jobs;street;country;1;congress;president;taxes;act;job;companies;wage;fight;million;richest;half;system;government;money;take;bill;drug;americas;protect;billionaires;living;pass;power;trade;rich;create;class;universal;millions;0;greed;live;share;paid;united;breaks;constitution;school;die;corporations;water;human;save;change;thousands;hundreds;insurance;families;climate;could;billions;industry;union;world;states;planet;justice;work;good;instead;rate;rest;50;air;wealth;college;countries;believe;trumps;weapons;children;renewable;fuel;means
people;0;18;10;4;4;6;8;4;18;4;6;6;8;2;6;2;4;2;0;8;6;4;6;4;0;2;4;2;0;6;4;4;2;8;8;2;10;4;2;2;2;0;0;2;8;6;4;2;0;0;2;4;4;2;0;0;2;8;2;0;2;4;2;4;4;2;0;4;0;4;0;0;4;4;0;2;4;2;2;4;2;0;8;2;2;2;2;2;4;2;6;4;2;0;2;2;2;0;0;0
america;0;0;8;4;12;0;8;6;8;0;2;10;8;8;0;0;6;0;2;6;10;4;4;4;2;4;2;0;4;2;0;6;8;2;14;8;6;2;4;0;2;2;2;4;2;2;4;0;2;0;6;2;4;2;0;6;2;2;4;6;4;6;2;4;2;6;0;4;2;4;2;0;2;4;0;0;4;2;2;4;4;0;4;0;2;2;0;4;4;0;4;4;4;2;0;0;4;0;0;2
care;0;0;0;0;2;0;2;26;0;0;4;0;2;6;6;0;2;0;0;14;0;0;2;0;2;2;0;0;0;0;2;2;2;0;2;2;2;4;0;2;2;0;4;0;0;0;4;2;0;0;2;0;0;8;0;0;0;4;0;2;4;0;0;0;4;0;0;8;2;0;2;0;6;2;0;2;0;2;0;4;4;0;4;2;0;4;2;6;2;0;0;2;4;2;0;0;2;0;0;6
trump;0;0;0;0;6;10;2;0;4;4;2;2;0;0;0;0;6;4;0;4;6;2;0;2;6;6;12;10;2;6;0;2;0;2;0;2;0;2;2;0;4;6;2;0;4;2;0;4;8;0;0;2;0;0;0;2;0;0;0;2;0;2;10;0;2;0;0;0;0;0;4;4;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0
end;0;0;0;0;0;8;4;2;2;0;4;6;2;4;0;2;4;0;2;2;6;4;2;4;0;4;4;0;2;2;2;2;0;2;4;2;0;0;2;2;4;4;4;4;2;0;0;0;4;0;2;0;2;2;0;6;6;0;2;4;2;2;2;2;0;0;2;0;2;0;4;2;0;0;2;2;4;2;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;4;2;2;2
war;0;0;0;0;0;0;2;0;4;0;2;2;2;0;2;0;2;0;0;0;2;0;2;0;4;0;6;6;0;4;0;0;2;6;0;2;4;0;0;0;2;4;0;6;0;2;2;4;4;2;2;0;4;2;0;0;0;0;0;0;0;0;6;2;4;0;0;0;0;0;2;2;0;0;0;6;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0
pay;0;0;0;0;0;0;0;0;4;4;4;2;2;8;0;0;2;4;0;2;8;4;4;4;2;6;0;0;8;4;0;4;0;2;4;6;2;4;0;0;2;2;0;0;0;6;2;2;2;0;2;2;6;2;0;4;2;0;8;2;2;2;0;4;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;2;4;2;2;0;0;0;0;0;0;0;2;0;0;2
health;0;0;0;0;0;0;0;0;0;0;4;0;2;6;6;0;0;0;2;12;0;0;4;0;2;2;0;0;0;0;2;2;2;0;2;2;2;6;0;0;2;0;4;0;0;0;4;2;0;0;2;2;0;8;2;0;0;4;0;2;4;0;0;0;2;0;2;4;4;2;2;0;6;2;2;2;0;2;0;4;4;2;2;2;2;2;2;6;2;2;0;2;2;2;0;0;2;0;2;6
working;0;0;0;0;0;0;0;0;0;4;2;6;8;0;2;2;6;2;2;0;6;6;2;6;0;2;2;0;6;4;2;2;4;2;4;4;8;0;2;0;0;0;0;6;8;2;4;0;0;2;4;2;10;0;0;2;4;2;4;0;0;4;0;0;0;4;0;0;0;2;0;0;0;8;0;2;2;0;4;0;0;0;2;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;14;0;4;2;4;0;4;2;2;2;0;2;4;4;2;0;0;0;0;2;0;2;0;2;0;2;0;6;4;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;2;0;10;2;6;0;0;2;2;2;2;2;2;0;4;4;0;2;2;2;4;0;2;2;2;2;0;0;2;0;4;4;2;0;2;2;2;2;0;4;2;2;4;4;0;0;0;2;0;0;0;0;2;2;0;0;4;4;0;2;2;2;0;0;0;2;4;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;2;0;0;2;2;0
