;people;health;workers;care;country;trump;america;american;americans;crisis;war;pandemic;million;congress;working;pay;millions;jobs;end;act;paid;sick;coronavirus;medicare;stand;cannot;protect;president;corporate;government;families;lives;medical;senate;world;billion;states;job;guarantee;richest;system;human;economic;stop;leave;provide;corporations;wage;united;tax;trumps;security;year;fight;federal;wall;street;social;pass;together;billionaires;1;change;benefits;put;debt;afford;big;legislation;enough;free;bill;work;greed;fossil;worker;climate;unemployment;support;live;justice;minimum;emergency;fighting;power;postal;history;lost;without;everyone;new;protective;money;cant;radical;15;living;children;paycheck;thousands
people;0;68;46;66;34;36;50;74;26;22;24;28;32;28;56;24;28;26;24;20;10;16;22;32;30;16;32;12;16;14;24;24;12;8;20;16;18;20;16;10;18;18;22;12;4;20;10;10;14;20;6;6;4;24;10;12;12;8;12;28;18;12;14;6;18;16;14;4;14;10;6;4;14;12;8;4;4;10;8;22;18;6;2;10;6;2;8;12;14;6;6;8;12;8;12;14;14;8;10;6
health;0;0;46;170;32;14;24;42;36;46;6;32;32;18;18;14;32;36;10;16;12;28;26;60;6;20;18;10;4;12;14;14;24;12;12;10;20;16;24;6;34;26;20;2;14;22;6;6;14;2;6;4;12;6;8;4;8;0;18;8;4;6;2;4;6;0;8;2;8;6;14;12;14;8;4;6;2;6;14;6;6;4;12;8;2;0;2;12;16;16;10;12;6;8;6;6;12;8;2;10
workers;0;0;0;38;28;22;30;20;8;18;4;30;24;10;26;32;18;30;6;20;48;54;10;12;12;12;24;12;28;8;6;22;30;6;8;8;12;18;30;24;10;8;10;10;40;14;16;16;6;14;2;8;10;8;2;2;2;2;6;2;8;6;6;20;14;2;12;4;8;10;6;4;12;2;8;12;0;10;6;4;8;14;8;10;0;12;4;4;10;4;2;32;2;4;12;12;6;4;10;12
care;0;0;0;0;30;16;24;34;18;36;6;16;20;10;14;10;20;28;4;8;12;22;20;46;8;14;10;2;6;8;12;8;14;6;8;6;18;16;20;6;30;28;14;0;10;18;2;4;14;4;0;4;8;6;4;2;4;0;12;6;2;6;0;4;2;0;4;2;4;4;10;12;6;8;2;2;0;6;12;4;4;4;12;8;0;0;2;8;10;10;6;12;6;2;2;6;8;4;0;6
country;0;0;0;0;0;18;20;22;10;18;16;16;14;8;22;10;12;12;6;4;10;12;14;8;10;10;14;10;6;8;16;10;12;12;18;6;8;4;8;38;6;4;8;6;6;12;6;0;10;2;6;2;0;12;6;4;4;4;2;2;8;2;2;6;2;6;10;0;4;4;10;0;4;4;2;8;2;2;8;14;6;0;2;2;4;2;20;4;0;4;4;12;6;8;6;2;2;6;6;0
trump;0;0;0;0;0;0;10;12;22;10;30;20;10;34;12;6;6;10;12;26;4;6;12;6;12;10;12;46;4;12;6;14;10;20;4;10;8;4;2;4;6;4;4;20;0;6;8;0;6;8;6;12;4;8;4;2;2;8;10;2;8;10;0;10;4;0;0;2;12;2;6;12;2;2;4;0;0;8;4;0;2;0;6;10;12;10;2;4;8;6;2;6;0;4;0;2;0;6;2;10
america;0;0;0;0;0;0;0;8;8;22;0;12;26;8;12;24;12;10;20;12;26;18;8;10;10;6;6;2;20;10;10;10;12;8;12;10;14;8;22;16;8;8;16;6;16;8;10;14;16;18;2;2;10;8;6;6;6;0;2;6;4;14;6;16;8;2;2;4;2;8;2;6;6;6;2;28;4;4;8;8;10;16;8;6;2;2;8;4;2;8;2;8;6;2;8;16;10;6;12;6
american;0;0;0;0;0;0;0;0;8;10;14;4;6;22;20;4;14;14;10;12;6;16;6;16;6;12;16;10;4;4;18;16;12;10;6;4;2;14;8;4;8;8;10;6;4;8;8;4;6;6;8;8;8;6;4;8;8;4;8;2;4;6;4;8;4;4;4;4;10;4;10;6;4;4;2;4;4;6;14;4;0;0;4;4;2;0;10;2;8;2;4;6;4;2;2;0;6;8;4;10
americans;0;0;0;0;0;0;0;0;0;20;6;10;22;12;20;14;34;20;12;8;4;2;14;10;10;18;10;8;4;2;10;10;4;6;6;6;0;4;4;8;4;6;8;6;0;6;6;0;2;10;8;2;10;4;2;4;6;2;8;4;14;10;2;8;2;4;4;8;6;6;2;10;8;2;8;0;2;12;2;2;4;0;6;4;4;6;2;10;10;4;6;0;6;6;8;2;8;2;6;6
crisis;0;0;0;0;0;0;0;0;0;0;4;20;14;16;10;16;8;18;4;16;4;6;20;10;8;4;8;0;4;12;10;6;14;10;8;2;2;0;18;8;2;10;24;2;4;10;6;2;2;4;4;6;2;2;16;2;2;0;10;4;4;6;2;6;8;2;4;2;8;12;4;12;0;2;0;8;6;8;8;4;0;2;10;2;2;2;8;8;6;8;6;4;0;2;0;0;2;2;12;2
