;health;people;workers;care;country;coronavirus;sick;american;paid;medical;leave;crisis;52;america;corporate;trump;protect;congress;americans;guarantee;working;lives;medicare;protective;millions;pay;stand;government;work;families;put;corporations;together;debt;public;pandemic;bill;gear;needs;richest;war;student;world;afford;senate;job;system;treatment;end;million;act;year;disease;billionaires;worker;think;worry;economic;life;cannot;safe;ventilators;fighting;centers;states;welfare;major;children;free;provide;help;billion;cant;without;social;wall;use;response;immediately;checks;jobs;human;tolerate;education;tax;whole;15;radical;street;college;facing;vulnerable;pfas;republican;lowincome;dollars;sanctions;federal;united;control
health;0;22;16;40;6;12;10;20;4;12;4;12;0;4;4;2;10;8;6;4;8;4;16;8;4;4;2;6;6;4;2;2;4;0;4;4;6;6;8;2;2;0;0;6;0;6;6;8;2;6;6;4;6;2;2;4;4;8;2;4;4;4;4;8;2;2;2;4;6;6;0;2;4;4;0;4;2;2;6;2;0;4;2;2;0;2;4;2;4;0;4;6;2;0;4;2;0;2;0;8
people;0;0;6;16;10;8;4;22;2;6;2;12;0;6;4;6;14;8;4;4;10;8;8;6;2;6;4;4;4;6;4;2;6;2;2;2;4;4;4;2;2;2;4;4;0;2;6;0;4;0;2;2;4;2;0;6;6;2;2;0;2;0;2;4;4;0;0;0;0;4;2;0;2;2;0;4;4;2;2;0;2;2;2;4;2;2;6;4;4;0;0;4;0;4;6;6;0;4;6;2
workers;0;0;0;8;12;6;24;8;20;14;18;2;2;12;14;4;6;2;2;12;4;4;4;16;4;8;4;0;4;2;6;4;0;0;2;4;4;14;2;6;0;0;4;2;2;4;4;2;0;2;6;2;0;2;4;2;2;2;2;4;8;10;0;0;6;4;4;2;2;2;2;2;2;4;0;2;2;0;6;2;6;0;2;0;4;4;4;2;2;0;4;2;0;4;0;4;0;0;2;0
care;0;0;0;0;4;6;6;12;2;6;2;10;0;2;2;6;8;4;2;0;6;2;12;6;2;0;0;2;0;4;0;0;2;0;0;4;6;6;4;2;2;0;0;4;0;4;6;0;0;4;2;2;2;2;0;2;2;4;0;0;4;2;2;4;0;2;2;2;2;4;0;0;2;2;0;2;0;2;2;0;0;4;0;0;0;0;4;0;2;0;2;2;0;0;4;0;0;0;0;4
country;0;0;0;0;0;2;6;14;6;8;4;4;0;4;0;2;10;0;6;4;8;4;2;8;2;2;0;2;2;8;0;2;2;0;0;2;0;4;2;10;0;0;6;2;2;2;2;2;2;4;0;0;0;2;2;2;2;2;2;2;2;6;2;0;4;0;6;2;2;4;2;0;0;0;0;2;2;2;2;0;6;0;2;2;0;2;0;2;2;0;4;2;2;0;2;2;0;2;6;2
coronavirus;0;0;0;0;0;0;10;2;8;4;6;10;0;4;8;8;6;2;2;4;2;4;4;2;6;2;2;0;4;0;10;0;8;0;2;2;6;2;6;0;6;0;2;0;2;2;0;8;6;2;0;0;4;0;2;2;2;4;2;4;0;0;2;2;2;2;2;0;6;2;0;2;0;4;0;0;2;8;2;0;0;4;6;0;0;0;0;0;0;0;4;2;0;4;0;0;4;2;2;2
sick;0;0;0;0;0;0;0;8;28;10;26;2;2;12;4;2;6;2;0;14;6;2;2;10;4;6;2;2;6;0;0;4;0;2;2;4;2;8;0;2;0;2;4;2;2;4;2;4;0;0;2;0;2;0;8;0;0;2;0;2;6;2;0;2;2;0;4;0;4;4;0;0;0;4;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;2;2
american;0;0;0;0;0;0;0;0;2;8;2;4;0;2;2;0;12;10;4;2;10;6;6;6;6;0;0;0;4;6;0;4;0;2;0;0;4;2;6;4;2;2;2;0;0;6;8;2;2;4;4;2;2;4;0;6;4;2;2;0;2;4;0;2;2;0;2;2;4;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;2;2;0;0;2;2;2;2;0;0;4;8;0;2;4;0
paid;0;0;0;0;0;0;0;0;0;6;28;2;2;14;6;0;4;2;0;16;2;2;0;6;2;4;2;2;4;0;0;4;0;0;2;2;2;6;0;2;0;0;4;2;2;2;0;2;0;0;0;0;2;0;10;0;0;2;0;2;6;0;0;2;2;0;6;0;2;6;0;2;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;2
medical;0;0;0;0;0;0;0;0;0;0;4;4;2;10;2;6;8;0;0;6;2;4;0;6;2;2;0;2;6;0;0;0;2;6;0;2;4;4;0;2;2;4;4;0;2;2;2;2;0;2;8;0;0;0;6;0;2;2;2;2;0;6;0;0;2;0;4;0;2;4;0;0;2;2;2;0;4;0;4;2;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0
