;trump;states;united;great;new;people;help;administration;house;state;american;news;president;campaign;history;working;presidential;obama;government;senator;university;donald;thank;saudi;department;whether;nfl;love;country;fbi;million;court;story;york;announce;russia;released;areas;amazing;prince;reports;combat;texas;justice;election;2016;national;business;wife;man;california;murder;military;line;death;lamborghini;republican;washington;san;senate;population;conference;americans;proud;big;trumps;complete;service;charges;arabia;dc;night;deaths;hard;records;crime;may;coast;fact;franchise;issued;conservative;carolina;singapore;human;numerous;protect;white;monday;held;used;2017;law;best;party;forward;happened;bernie;russian;#maga
trump;0;4;4;4;8;0;2;8;2;2;2;4;6;6;4;0;2;0;2;0;2;8;0;2;0;2;0;0;0;2;2;2;4;4;2;4;2;0;0;0;2;0;0;0;4;4;0;4;0;0;0;0;0;4;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0
states;0;0;24;4;2;2;6;6;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;2;0;2;2;0;2;2;2;0;2;4;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
united;0;0;0;4;2;2;6;6;0;4;0;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;2;0;2;2;0;2;2;2;0;2;4;0;0;0;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;2;2;4;4;4;2;0;6;0;0;0;6;0;0;0;0;0;0;2;0;0;4;0;0;6;0;0;0;4;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0
new;0;0;0;0;0;4;0;2;4;0;4;4;2;2;8;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;0;10;2;2;2;0;0;0;2;0;0;2;0;2;2;2;2;2;0;0;2;2;0;0;0;2;2;0;0;0;6;2;2;0;2;0;0;0;2;2;0;0;2;2;2;2;0;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0
people;0;0;0;0;0;0;0;0;2;2;4;2;2;0;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;4;2;0;0;2;0;4;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0
help;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;2;0;6;0;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;2;4;2;2;0;0;2;2;0;4;2;0;0;0;0;2;2;0;0;0;0;2;2;2;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;2;6;0;2;0;2;0;0;4;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
