;states;united;people;trump;president;house;new;great;fight;year;world;white;state;democrats;american;supreme;man;court;largest;fbi;york;black;china;washington;senate;campaign;support;embassy;department;access;russian;women;best;disaster;nike;obama;good;team;city;called;morning;power;lives;may;radical;local;night;announce;proud;win;administration;history;beautiful;1;start;feeling;north;carry;celebrate;government;ufc;stop;seahawks;media;close;family;work;election;think;national;anniversary;troops;help;dc;gop;high;case;attack;following;killed;press;second;scrolls;2016;mexico;source;head;jobs;uespwiki;serve;building;community;powerful;movement;law;big;country;news;dakota;put
states;0;22;6;2;6;0;4;0;0;2;2;0;2;0;0;6;0;6;2;0;2;0;4;2;0;0;4;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;2;2;0;2;2;0;0;6;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;4;0;0;2
united;0;0;4;0;4;0;2;0;0;2;2;0;0;0;0;4;0;4;2;0;2;0;4;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0;0;2;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;4;0;0;2
people;0;0;0;2;4;0;4;2;0;0;0;0;2;0;2;2;0;2;0;2;4;2;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0;0;2;2;0;2;2;2;0;2;0;2;2;2;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0
trump;0;0;0;0;14;10;2;2;2;0;2;6;0;4;2;0;2;0;0;4;0;0;0;2;4;6;0;0;0;2;6;0;0;0;0;2;0;0;0;0;2;4;0;0;2;0;0;0;0;2;2;0;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
president;0;0;0;0;0;4;2;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;4;2;2;4;0;0;0;2;4;0;0;0;0;2;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
house;0;0;0;0;0;0;0;0;2;0;0;10;0;2;0;0;4;0;0;2;0;0;0;2;4;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;8;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0
fight;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
