;trump;people;president;new;great;house;united;states;american;democrats;obama;white;government;former;administration;russia;york;republican;state;donald;man;news;fbi;working;job;trying;federal;campaign;thank;best;2016;election;times;presidential;washington;world;party;post;j;russian;think;real;2018;committee;says;americans;help;bill;economy;senate;intelligence;million;important;national;history;called;hard;free;away;justice;big;happy;money;forward;group;police;department;good;latest;love;america;reserve;country;thing;fight;office;night;happened;democrat;place;media;senator;nfl;hearing;impeachment;voted;saturday;year;dead;left;cost;war;story;women;hillary;trade;order;win;old;powerful
trump;0;2;24;14;8;14;2;4;2;10;8;10;2;12;8;8;2;14;2;28;6;8;12;4;4;4;4;16;0;2;4;6;0;8;8;2;4;4;14;8;0;0;0;4;4;2;2;4;0;2;4;2;2;2;2;2;4;2;2;0;2;8;2;2;0;0;2;0;2;2;4;2;2;4;2;4;4;2;2;0;0;0;0;0;2;2;4;0;2;6;0;2;6;2;2;0;4;0;0;0
people;0;0;6;4;12;6;6;6;26;6;2;4;10;0;2;4;0;2;2;0;10;0;2;2;0;2;6;2;6;2;4;4;0;2;2;6;2;2;2;2;4;2;0;2;0;6;4;4;4;2;0;2;4;4;2;2;2;0;0;2;8;0;2;4;0;2;0;4;2;2;2;2;2;0;2;0;0;0;0;4;0;2;0;2;2;8;0;0;2;0;2;2;4;2;2;0;2;6;0;2
president;0;0;0;10;8;6;8;6;4;4;12;4;0;14;0;8;6;6;6;8;0;8;6;2;4;4;0;6;2;4;8;8;4;8;4;2;2;2;4;6;0;2;0;0;6;2;4;6;2;0;0;0;0;2;2;0;2;4;2;2;0;4;2;0;0;0;2;0;4;0;0;0;4;4;0;0;4;2;2;2;0;2;0;0;2;0;0;4;0;4;0;2;2;2;2;0;2;2;2;0
new;0;0;0;0;4;8;0;0;4;6;6;6;2;6;6;4;28;6;4;2;0;2;6;4;6;6;2;6;0;2;0;0;16;4;0;2;4;0;2;4;2;2;2;2;4;6;2;2;4;0;0;0;0;0;0;4;0;4;2;2;4;2;0;2;0;2;4;2;0;2;2;2;2;0;0;4;0;0;4;0;2;2;2;0;0;2;2;0;0;0;0;0;4;2;2;0;0;0;0;2
great;0;0;0;0;0;6;2;4;12;2;2;8;2;2;4;0;2;6;4;2;8;6;0;6;6;4;6;2;10;2;6;8;0;2;0;2;0;0;4;0;0;0;0;0;0;2;2;2;4;2;0;2;2;0;0;0;4;0;4;0;2;2;0;6;2;0;0;2;2;6;8;4;0;4;2;2;4;2;0;4;0;6;0;0;0;2;0;6;2;0;0;2;0;2;0;0;0;2;4;2
house;0;0;0;0;0;0;0;0;6;10;2;20;0;8;4;2;0;0;4;0;2;2;2;6;2;6;0;6;0;2;4;6;0;2;4;0;0;4;0;4;0;0;0;6;0;2;2;6;2;4;4;0;0;2;0;2;6;0;4;2;2;2;4;4;2;0;2;2;0;2;2;0;0;0;0;6;4;0;6;2;0;2;0;0;6;4;4;0;4;2;0;2;6;4;2;0;0;4;0;0
united;0;0;0;0;0;0;0;40;4;2;0;0;4;0;2;6;2;0;2;2;0;0;0;0;2;2;2;2;2;2;2;2;0;4;2;4;0;2;2;2;2;0;0;4;0;2;2;2;4;4;0;2;2;2;2;2;0;0;0;2;4;0;2;2;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;6;0;0;2;0
states;0;0;0;0;0;0;0;0;4;2;0;0;6;0;4;6;2;0;4;0;0;0;0;2;2;2;4;4;2;2;2;2;0;4;2;4;0;2;0;2;2;0;0;4;0;2;2;2;4;4;0;4;2;2;2;2;2;0;0;2;4;0;2;2;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;6;2;0;2;0
american;0;0;0;0;0;0;0;0;0;4;4;4;4;4;6;2;0;4;0;0;4;0;0;2;0;2;0;0;2;0;2;2;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;4;2;2;0;0;4;4;2;0;2;0;2;4;2;0;0;2;0;0;0;0;0;2;4;0;0;0;2;0;0;2;0;2;0;0;0;2;2;4;0;0;4;0;0;2;2;4;0;0;2;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;4;2;4;2;4;0;0;6;6;0;10;0;4;0;0;2;6;2;0;2;0;2;0;2;4;0;0;0;2;0;0;2;4;0;2;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;4;0;4;0;0;0;4;0;2;2;6;0;0;0;0;0;2;2;2;0;0
