;people;great;president;states;new;american;united;state;news;love;republican;trump;federal;court;country;huge;story;world;called;away;working;national;proud;police;left;destruction;government;thing;woman;fraud;party;house;part;days;virginia;china;pretty;governor;family;win;congress;may;santa;bill;ruling;announce;lives;together;thank;week;science;voter;fox;another;take;south;best;military;michael;shooting;media;america;gay;university;campaign;supreme;breaking;trying;orlando;stars;care;gave;arts;killed;show;announced;looks;vikings;hear;could;council;john;marvel;good;whether;prime;deal;believe;looking;democratic;beautiful;giving;seen;young;frc;step;history;copy;supporter;strong
people;0;10;4;6;2;12;6;2;4;4;4;2;2;2;4;2;0;0;0;2;2;4;0;2;4;4;2;6;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;2;2;2;0;4;2;0;2;0;0;2;0;0;4;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0
great;0;0;4;4;2;4;4;4;2;4;4;2;2;0;2;2;0;0;0;4;0;4;0;2;2;0;0;4;0;2;4;0;2;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;2;0;0;4;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;6;2;2;2;0;0;0;2;0;2;0;0
president;0;0;0;6;2;2;6;0;2;0;0;8;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;2;2
states;0;0;0;0;2;4;18;2;0;0;2;2;0;0;2;0;0;2;0;2;2;0;2;2;0;4;2;4;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;2;0;2;0;4;4;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0
new;0;0;0;0;0;0;0;0;4;4;2;2;2;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;4;2;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0
american;0;0;0;0;0;0;4;0;2;0;2;0;0;2;2;2;0;2;2;0;0;2;2;0;0;2;0;4;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
united;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;4;2;4;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;2;0;2;0;4;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;2;0;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;2;0;0;0;0;2;0;0
love;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
