;people;states;great;president;united;new;trump;national;american;house;federal;government;white;news;huge;world;state;administration;republican;washington;obama;fbi;working;best;party;love;america;campaign;americans;country;part;thing;called;hard;man;away;week;thank;democratic;presidential;looking;police;show;may;story;democrats;hillary;strong;york;donald;proud;former;court;win;media;believe;election;number;military;bernie;committee;system;making;life;trying;economy;dnc;businesses;department;2016;governor;left;forward;men;account;greatest;special;billion;according;continue;whether;family;justice;end;care;announce;help;days;bill;finally;big;law;senate;set;year;woman;stronger;could;shooting;democrat
people;0;12;12;8;10;6;4;4;22;0;4;6;0;6;6;2;4;2;6;0;0;4;4;4;8;8;4;6;0;6;2;12;0;4;2;2;2;4;2;0;2;2;0;2;2;0;4;0;4;0;4;2;2;0;2;2;4;2;0;2;0;0;0;4;0;2;2;0;0;2;2;4;2;0;0;2;2;0;4;2;2;0;0;2;0;0;0;4;4;4;0;0;0;0;0;0;0;2;2;2
states;0;0;8;8;58;6;8;6;6;2;2;6;0;2;0;8;2;6;6;4;0;2;2;6;6;0;10;4;2;2;0;4;0;2;0;4;2;2;2;0;0;2;0;2;0;2;2;0;0;0;4;0;0;0;4;2;0;2;2;2;0;2;2;2;2;2;2;0;2;0;2;2;2;0;0;2;0;0;0;2;0;2;2;0;0;0;2;2;2;0;2;4;0;0;2;0;4;2;0;4
great;0;0;0;14;8;10;4;12;6;2;4;0;4;4;4;2;8;0;6;4;0;0;2;8;4;8;6;2;4;2;4;6;0;4;4;4;4;2;2;0;6;2;2;2;0;2;4;2;4;2;4;0;0;0;0;2;0;6;4;2;0;0;0;4;4;2;2;6;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;0;4;0;2
president;0;0;0;0;8;6;20;12;4;10;2;6;8;2;0;0;0;4;2;4;4;4;10;2;2;0;0;2;4;2;4;0;4;2;4;2;0;2;4;0;4;0;0;2;0;2;4;4;4;4;0;4;0;0;6;2;0;0;2;2;4;0;0;2;2;0;4;4;2;0;2;0;2;0;0;4;2;4;0;4;2;0;2;2;0;0;0;0;4;0;2;0;0;0;0;2;0;2;2;2
united;0;0;0;0;0;4;6;4;6;2;0;6;0;0;0;8;2;6;4;2;0;2;2;8;6;0;10;4;2;2;0;4;0;2;0;4;2;2;2;0;0;0;0;2;0;2;2;2;0;0;4;0;0;0;4;4;0;2;2;2;0;2;2;2;2;2;2;0;2;0;0;2;2;0;0;2;0;2;0;2;0;2;2;0;0;0;2;4;2;0;2;2;0;0;0;0;4;2;0;4
new;0;0;0;0;0;0;10;6;0;2;2;0;2;6;4;0;6;2;4;2;2;4;2;2;0;4;0;0;6;0;2;0;2;0;2;2;0;6;0;0;8;2;2;0;4;2;2;2;18;0;2;6;0;4;0;2;0;2;0;0;2;4;0;0;0;0;0;2;2;0;6;0;2;2;0;0;0;4;6;0;4;2;2;0;0;0;2;2;2;0;2;2;0;4;4;0;0;0;0;0
trump;0;0;0;0;0;0;0;8;0;4;2;4;2;6;0;0;2;6;0;4;0;10;0;0;4;0;0;10;6;0;4;0;0;0;0;2;0;2;2;4;4;2;0;0;0;4;0;2;4;12;0;6;2;2;2;2;4;0;2;0;4;2;0;0;4;0;2;2;4;4;0;2;0;0;0;0;4;4;4;0;6;4;6;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;4
national;0;0;0;0;0;0;0;0;6;2;4;0;0;0;0;2;0;4;6;2;0;2;2;4;2;2;2;4;4;2;0;2;0;0;2;4;2;2;10;2;2;2;0;0;2;2;4;0;2;4;4;4;0;0;2;0;4;0;0;4;12;0;0;2;4;0;8;0;0;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0
american;0;0;0;0;0;0;0;0;0;4;2;0;4;4;6;2;0;2;2;2;2;2;0;6;0;0;2;0;0;4;0;6;2;2;2;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;4;4;2;0;2;0;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;2;0;2;0;2;2;0;2;2;0;0;0;0;2;2;0;0;2;2;0;2;0;0;4;0;0
house;0;0;0;0;0;0;0;0;0;0;0;2;24;0;0;0;2;2;4;2;8;2;4;0;2;0;2;0;2;0;0;0;4;0;2;0;0;0;0;2;2;0;2;0;0;4;0;2;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;4;2;0;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;2;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;4;8;0;4;4;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;2;4;0;2;4;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;2;2;2;0;2;0;2;0;2;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;4;2;6;4;0;0;0;0;2;2;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;2;4;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;2;2;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;6;0;2;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;6;4;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;4;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
