;united;states;trump;president;federal;new;great;people;donald;administration;working;government;help;white;thank;justice;news;left;law;forward;national;house;friday;show;months;says;february;fact;fake;russian;man;3d;end;added;work;hard;printed;products;leader;military;run;still;six;question;may;deal;havent;love;looking;asked;clear;put;support;america;forced;took;iran;excited;area;dog;continue;china;good;use;argued;city;team;global;greatest;year;poverty;mlb;release;mike;judge;world;department;caught;russia;arrest;norfolk;2011;take;several;center;best;conference;american;could;leaders;reserve;yetyou;transcript;southern;george;3;economy;pompeo;daily;trade
united;0;32;6;8;2;2;6;2;2;2;4;0;2;0;0;2;0;4;0;4;4;0;2;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;4;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;4;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0
states;0;0;6;8;4;2;6;2;2;2;4;2;2;0;0;2;0;4;0;4;4;0;2;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;2;4;0;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;4;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0
trump;0;0;0;14;2;2;2;4;10;4;2;0;0;2;0;0;0;0;0;2;6;4;4;0;0;2;0;2;0;6;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
president;0;0;0;0;4;0;0;2;8;2;4;0;0;2;0;0;2;0;0;4;4;4;4;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;2;2;4;2;0;4;0;2;2;0;0;0;0;0;2;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;2;2;0;0;0
new;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;2;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;2;4;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
great;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0
people;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0
