;new;president;trump;great;people;states;united;quotes;house;news;job;economy;state;illegal;world;may;transcript;order;china;campaign;history;american;white;santa;country;election;military;2016;texas;good;week;office;vote;federal;signed;photo;friend;final;help;following;millions;presidential;thank;department;york;nba;submariner;announce;north;attack;republican;obama;justice;rates;america;carolina;sunshine;chinese;cannabis;report;1;excited;saturday;copy;able;making;trying;senator;cruz;supposed;latest;market;flint;proud;deal;criminal;big;coast;free;americans;ive;series;austin;formamy;reserve;source;economic;killed;administration;home;golden;thing;rush;goodman;night;paying;smith;congress;victory;used
new;0;2;0;2;0;4;4;0;2;0;2;0;0;0;2;2;4;2;0;0;0;0;2;2;2;2;0;2;0;0;6;2;0;0;2;0;4;2;0;0;0;2;2;2;4;0;0;4;0;0;2;0;2;0;2;0;0;0;2;0;2;4;0;2;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0
president;0;0;18;0;8;6;6;0;10;0;6;2;0;2;0;0;2;4;2;2;2;2;6;0;2;0;2;0;4;0;0;2;0;0;2;2;0;0;0;2;2;0;4;0;0;0;0;2;6;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;2;2;0;4;0;2;2;2;0;4;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0
trump;0;0;0;2;2;2;4;0;8;6;2;4;0;2;0;0;2;2;2;4;2;0;4;0;2;2;2;2;2;0;0;0;0;0;2;2;0;0;0;2;2;2;2;0;2;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;2;2;0;0;2;0;0;0;6;0;2;0;0;2;0;0;0;2;0;0;2;2
great;0;0;0;0;6;2;2;0;2;0;4;0;0;0;2;2;0;0;0;0;0;2;2;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;2;4;4;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0
people;0;0;0;0;0;0;0;0;2;0;2;2;2;2;2;0;0;4;2;0;4;4;2;0;2;2;0;2;2;2;0;0;0;0;2;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
states;0;0;0;0;0;0;18;0;2;0;6;0;0;4;8;2;0;2;4;0;0;2;2;0;2;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
united;0;0;0;0;0;0;0;0;2;2;6;0;0;4;8;2;0;2;4;2;2;2;2;0;2;2;2;2;0;2;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
quotes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;2;10;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
news;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;2;2;0;0;0;0;2;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2
job;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;2;2;0;2;2;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0
