;great;trump;president;people;states;united;new;media;national;federal;country;american;government;obama;administration;2015;house;thing;washington;thank;news;state;man;donald;may;left;former;world;fbi;act;white;story;nfl;party;military;democrats;article;big;supreme;fake;another;love;2016;support;russia;good;police;massive;fact;copy;shooting;general;players;campaign;case;transcript;week;city;killed;bill;russian;law;election;justice;young;latest;accused;formamy;working;investigation;post;bernie;million;james;court;york;presidential;job;americans;days;goodman;step;illegal;final;team;official;rush;dr;important;help;best;history;minister;prime;months;incredible;fight;following;decision;source
great;0;12;10;22;10;8;4;6;6;0;14;4;2;4;4;0;2;4;4;8;8;12;4;4;0;2;2;0;2;0;2;6;4;6;2;4;0;4;0;8;4;4;4;0;2;4;4;0;2;0;0;2;4;2;0;0;0;0;0;0;0;2;2;2;4;4;2;0;4;0;0;2;0;0;0;2;4;8;0;0;0;4;0;0;4;0;0;0;2;2;2;4;0;0;0;2;0;0;0;0
trump;0;0;52;10;6;4;8;8;14;2;2;0;2;12;8;0;6;8;8;4;6;2;2;22;4;2;4;0;8;2;4;4;0;2;0;4;0;4;2;2;4;2;2;4;6;4;2;0;2;4;2;4;0;14;2;4;2;0;2;2;4;2;2;0;2;8;4;4;4;4;4;2;2;6;0;6;4;2;4;6;4;4;2;4;2;0;4;0;0;2;2;0;8;8;2;0;2;2;4;0
president;0;0;0;12;14;12;10;8;6;2;4;4;4;10;6;0;4;8;6;2;6;2;4;10;2;0;8;2;6;2;2;4;0;0;0;2;0;6;2;6;6;0;0;4;0;0;2;2;4;2;0;2;0;4;2;4;2;0;2;2;4;0;2;0;4;4;2;2;6;4;2;2;4;4;0;6;0;6;4;2;2;2;2;2;2;2;2;0;0;2;2;2;8;8;4;0;4;2;4;0
people;0;0;0;0;10;8;4;8;4;2;8;14;2;2;2;0;0;0;2;4;4;6;0;0;0;4;0;4;2;0;0;4;2;2;4;4;0;0;2;4;2;6;0;2;2;6;2;0;4;0;0;4;2;2;0;0;0;0;4;0;0;0;4;4;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4;0;0;4;0;0;0;4;4;2;2;2;2;0;0;4;0;2;0
states;0;0;0;0;0;50;2;0;0;2;6;2;2;4;2;0;0;4;2;4;0;6;0;2;4;2;0;4;2;4;0;0;0;4;2;0;0;2;0;0;0;2;2;0;2;0;0;0;0;6;0;4;0;0;0;4;0;2;0;2;2;0;2;0;0;0;4;4;4;2;0;0;2;0;0;0;0;0;2;0;4;0;2;4;0;0;4;0;0;4;2;2;4;4;0;0;6;0;2;0
united;0;0;0;0;0;0;2;0;0;2;6;2;2;2;0;0;0;2;2;4;0;4;0;0;4;2;0;4;2;4;0;0;0;4;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;6;0;4;0;0;0;4;0;2;0;2;2;0;2;0;0;0;4;4;4;2;0;0;2;0;0;0;0;0;2;0;4;0;2;4;0;0;4;2;0;4;0;2;2;2;0;0;6;0;0;0
new;0;0;0;0;0;0;0;4;6;0;0;2;4;6;2;0;4;6;4;4;6;2;4;2;2;2;0;0;2;0;4;4;2;2;0;2;2;2;0;4;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;0;2;0;0;0;2;4;0;2;0;0;12;0;2;4;0;0;2;2;0;0;0;0;6;0;2;2;0;0;2;2;2;0;0;2;0
media;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;6;2;2;0;0;4;2;0;2;0;0;4;2;0;2;0;0;0;0;8;2;0;0;0;0;2;4;0;4;0;0;2;2;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;4;2;0;0;0;8;0;2;6;2;4;0;4;2;4;0;0;2;0;0;0;0;2;2;6;0;6;2;0;4;2;0;0;0;2;0;0;0;2;0;0;2;6;0;4;0;0;0;0;0;0;2;4;0;2;2;0;0;8;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;2;4;0;2;4;0;2;2;2;0;0;4;2;0;0;0;0;4;0
