;people;trump;states;great;united;federal;world;president;new;country;news;campaign;fake;government;administration;state;house;national;republican;media;working;happened;love;possible;please;presidential;candidate;illegal;shooting;usa;election;little;russia;white;death;decision;war;security;trying;partner;democratic;massive;russian;countries;islamic;party;department;democrats;agency;congressional;bill;texas;trade;hoax;friend;dangerous;may;year;million;job;told;obama;lot;decided;tax;hope;organization;power;thank;tremendous;fbi;wrote;james;2016;community;continue;illegally;senate;passed;congressman;donald;tell;qualified;wonderful;man;gift;put;investigating;happy;press;left;american;alien;hated;hillary;story;street;reserve;north;wall
people;0;2;2;2;2;2;4;2;4;6;4;4;4;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;2;0;2;2;2;0;0;0;4;0;2;0;2;2;2;2;0;0;0;0;2;2;4;0;2;0;0;2;4;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;2;0;2;0;0;0;2;0;0
trump;0;0;2;2;2;0;0;6;2;0;4;10;2;2;2;2;2;6;2;0;0;2;0;0;0;6;2;0;0;0;2;0;4;2;0;2;2;4;2;2;4;0;2;0;0;0;0;2;4;2;2;0;0;0;0;0;2;0;4;0;2;0;2;0;2;0;2;2;0;0;4;0;4;4;2;0;0;2;2;0;6;0;0;0;0;0;2;2;2;2;0;0;0;0;6;2;0;0;2;2
states;0;0;0;0;22;4;6;4;2;4;0;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;2;0;2;0;0;2;4;4;0;4;6;2;0;0;2;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0
great;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0
united;0;0;0;0;0;4;6;4;2;4;0;0;0;2;0;0;4;0;0;0;0;0;0;4;0;0;2;0;2;0;0;2;4;4;0;4;6;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;0
federal;0;0;0;0;0;0;2;2;2;0;2;0;2;6;2;2;0;0;0;2;2;2;0;2;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;6;2;0
world;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;2;2;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
president;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;2;0;0;2;0;0;2;0;0;0;0;2;4;0;0;4;0;4;2;0;0;0;4;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2
new;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;4;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
