;great;president;people;united;states;new;city;trump;working;political;best;american;world;department;thing;americans;latest;biggest;week;national;country;york;work;following;show;white;million;patients;officially;reporting;report;clinic;fbi;donald;house;turn;thousands;senate;night;care;hard;mayo;closely;washington;job;friends;heroes;search;incredible;state;administration;security;2011;federal;amazing;expand;destroy;democrats;class;obama;investigation;shows;court;failing;check;debate;fact;power;media;california;election;information;announce;highly;jobs;military;times;start;team;happy;economy;labor;valley;acquired;case;republican;hope;might;star;battle;full;police;recently;important;heard;forward;fake;river;helping;john
great;0;2;6;2;2;0;0;0;2;2;6;2;0;0;2;2;0;2;0;0;2;0;6;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;4;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;2
president;0;0;2;2;2;2;0;12;2;2;0;0;0;2;2;0;0;0;4;0;0;0;2;2;2;4;0;0;0;4;0;0;2;4;4;0;0;0;4;0;2;0;2;4;2;0;0;0;2;0;0;0;0;0;2;2;2;2;0;2;2;0;0;2;0;0;2;0;6;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;4;0;0;2
people;0;0;0;8;6;0;0;2;2;0;4;4;4;0;2;4;0;0;2;0;4;0;4;0;0;2;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
united;0;0;0;0;18;0;0;2;0;0;2;0;6;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;4;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
states;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;4;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;0;0;0;2;6;0;4;0;0;0;0;0;2;4;0;2;0;0;10;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;6;0;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
city;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0
trump;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;0;4;0;0;2;8;2;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;6;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;2;6;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0
political;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
