;president;great;new;trump;united;states;trying;fbi;people;news;republican;administration;white;american;america;democrats;house;york;help;fake;state;men;working;national;country;obama;city;big;article;plan;washington;party;man;government;deal;investigating;world;best;aid;americans;federal;information;fight;black;office;nothing;nfl;arizona;media;committee;wisconsin;protection;real;act;life;bill;part;dnc;businesses;may;pay;women;thank;war;doj;building;2016;asked;school;investigation;draft;taking;source;left;male;possible;looking;enhance;agency;report;issue;worse;room;republicans;environmental;program;mutual;problem;friends;million;crime;minnesota;20;military;1;coming;wwe;michigan;complete;told
president;0;4;0;10;8;8;0;6;4;4;2;2;6;2;0;2;4;0;0;4;0;2;0;2;0;4;0;2;0;0;0;0;0;2;2;4;0;0;0;2;2;2;2;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;4;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
great;0;0;2;8;4;4;2;0;6;2;0;0;2;4;2;2;2;0;0;2;0;2;0;2;4;0;0;0;2;0;0;2;2;0;2;0;2;2;0;2;2;2;2;0;0;2;0;0;6;0;0;0;0;2;2;0;2;0;0;2;0;2;4;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0
new;0;0;0;4;2;2;2;2;4;2;2;2;2;0;0;2;2;10;2;2;4;2;2;0;0;2;2;2;0;2;6;2;0;0;2;2;2;0;0;4;0;0;0;0;4;2;2;2;2;0;4;0;0;2;2;2;2;0;0;2;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;2
trump;0;0;0;0;0;0;4;2;2;8;2;10;8;0;0;0;6;0;0;6;2;0;0;2;0;2;0;2;0;2;0;0;0;2;2;2;0;2;0;0;0;4;0;0;0;2;0;0;6;2;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;2;2;4;0;0;0;4;0;0;4;2;0;2;2;0;4;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0
united;0;0;0;0;0;18;2;2;0;2;0;0;2;2;2;2;2;0;2;2;4;0;4;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0
states;0;0;0;0;0;0;4;2;0;2;0;0;0;0;2;2;0;0;2;2;2;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0
trying;0;0;0;0;0;0;0;0;2;4;2;4;0;0;0;2;0;0;0;4;2;2;0;0;2;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
people;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;8;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0
