;great;new;states;president;people;united;trump;media;job;fbi;state;former;post;york;administration;house;big;russia;country;government;thank;may;white;community;million;news;american;fake;michael;democrats;campaign;copy;washington;found;health;congress;pennsylvania;russian;book;dr;announce;help;wednesday;incredible;deal;thousands;monday;complete;james;win;good;proud;forward;love;tell;national;friends;world;lot;safe;service;use;vote;release;obama;everyone;attack;team;illegal;womens;criminal;university;public;senate;powerful;formamy;california;police;best;picture;special;social;military;drug;released;men;@oann;per;department;federal;year;current;race;treated;iran;serious;money;amazing;man;women
great;0;8;0;6;6;0;2;2;8;0;10;2;2;6;2;2;4;0;0;0;4;0;0;0;0;2;6;2;0;6;0;0;4;0;4;2;4;0;0;4;4;0;0;4;0;0;0;2;0;4;0;4;0;2;0;0;2;2;2;2;2;0;2;2;0;4;0;4;0;2;0;2;2;2;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;0;0;0;2;4;2;2
new;0;0;2;6;0;2;6;2;4;2;2;2;4;10;2;2;2;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;2;0;0;0;0;2;2;0;2;0;2;2;0;0;2;2;0;2;2;2;0;2;2;0;4;2;2;2;0;2;0;2;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;4;2;4;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;2
states;0;0;0;6;2;26;0;0;2;2;0;2;2;2;2;2;4;0;2;2;2;0;2;4;0;2;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0
president;0;0;0;0;0;6;12;4;0;2;2;6;2;2;0;2;0;2;0;4;0;4;2;2;0;4;4;2;4;2;2;2;2;0;0;2;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;2;4;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0
people;0;0;0;0;0;2;2;0;2;0;2;0;2;0;2;2;2;2;0;2;2;0;0;0;2;0;4;0;0;2;0;0;2;0;2;2;4;2;2;2;2;2;0;2;0;2;0;2;0;2;2;2;2;2;0;0;0;0;4;0;4;0;2;0;2;0;0;0;0;2;2;4;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;2;2
united;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;2;4;0;2;2;2;0;2;2;0;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0
trump;0;0;0;0;0;0;0;2;0;2;2;4;0;0;4;4;0;4;0;0;0;4;4;0;0;0;0;0;0;2;4;4;2;2;0;2;0;2;2;0;0;2;4;4;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;0;4;2;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0
media;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;6;2;6;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0
job;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;4;0;0;0;4;2;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;4;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;4;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
post;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;8;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0
