;trump;president;man;people;states;united;new;american;great;house;news;clinton;senate;election;administration;democrats;government;white;times;good;york;radical;left;federal;history;country;americans;campaign;world;hillary;2016;washington;greatest;attack;away;hard;donald;obama;syrian;department;2017;act;china;fact;nothing;dnc;heart;shooting;matter;bernie;killed;media;historic;person;post;side;jerusalem;number;situation;released;family;dangerous;may;senator;trumps;military;decision;sunday;gun;sanders;work;thing;fake;party;article;face;night;2015;pleased;economy;weapons;job;republican;use;powerful;video;presidential;best;guy;fire;report;russia;university;speech;full;continue;friend;book;brown;state
trump;0;18;0;4;0;0;6;4;4;6;2;6;0;2;4;2;0;6;2;0;2;0;2;0;0;2;2;4;0;4;4;6;0;0;0;0;6;2;2;0;4;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;4;0;2;2;0;2;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
president;0;0;0;2;2;2;6;0;2;8;4;6;2;2;2;2;0;6;4;2;2;0;0;0;2;0;2;2;0;4;4;4;2;0;2;4;8;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;2;4;0;0;2;0;4;2;2;0;0;2;2;2;2;2;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;2
man;0;0;0;0;2;4;0;2;4;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0
people;0;0;0;0;2;2;0;2;4;2;0;2;2;2;4;4;4;2;0;0;0;2;2;0;0;0;0;0;4;2;2;0;2;2;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0
states;0;0;0;0;0;22;2;4;2;0;2;0;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;0;2;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;4;0;0;0;0;4;2;0;0;2
united;0;0;0;0;0;0;2;4;2;0;2;0;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;2;2;0;0;2;0;2;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;2;0;0;4;0;0;0;0;4;2;0;0;2
new;0;0;0;0;0;0;0;0;4;4;2;2;2;0;2;0;0;2;8;4;12;4;2;2;0;0;2;0;0;2;2;4;0;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;2;0;2;4;2;0;0;0;2;2;2;0;2;0;2;0;0;0;2;4;0;2
american;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2
great;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0
house;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;4;0;8;0;0;0;4;4;0;2;0;0;0;0;2;2;4;0;4;0;0;2;2;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;0;2;2;2;0;2;2;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0;4;2;2;0;0;0;2;0;2;6;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;10;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;2;0;4;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;2;0;0;2;2;0;6;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;6;4;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;2;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
