;people;states;united;president;great;american;trump;world;news;bernie;federal;man;state;administration;house;massive;fbi;strong;obama;police;thing;lot;department;sanders;big;free;end;national;donald;war;secretary;white;thursday;country;security;job;countries;bill;death;post;1;chicago;best;5;sending;3;provide;press;another;democrat;european;government;criminal;washington;new;health;america;sign;hope;deal;hoax;reject;j;return;foreign;food;economy;possible;6;san;completely;international;close;companies;pass;came;crime;election;players;love;case;help;greatest;voted;lawsuit;filed;spurs;without;2;nuclear;media;largest;regional;trade;liberian;obamacare;republicans;adviser;combat;primary
people;0;6;6;0;8;12;2;4;4;0;2;0;0;0;4;2;0;4;0;0;0;4;0;0;0;2;2;0;0;0;2;2;0;2;0;0;2;2;0;0;2;0;0;0;2;2;2;0;2;4;0;0;4;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
states;0;0;20;6;2;4;2;4;0;0;4;0;6;0;2;2;0;2;2;0;0;4;0;0;0;0;0;0;0;4;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;4;0;0;2;2;4;0;0;0;0;2;0;2;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2
united;0;0;0;4;2;4;2;6;0;0;0;0;4;0;4;2;0;2;0;0;0;0;0;0;0;2;2;0;0;4;2;2;2;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;4;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;0
president;0;0;0;0;2;0;4;4;2;4;2;0;2;0;4;2;0;0;2;0;0;0;2;4;4;0;2;2;2;2;0;4;4;2;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
great;0;0;0;0;0;4;0;4;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
american;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;4;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0
bernie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
